AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-114.91792	90.17587	-8.102773	-337.812	-74.125496	64.03873	-12.722282	-211.45952	88.53846	59.7	2048	3.515394449234009
-148.50908	283.99313	-9.314693	-1278.3226	-217.1405	361.3573	-15.24304	-1248.0858	110.77778	170.3	4096	7.989897012710571
-220.23358	390.2864	-13.113084	-1300.4288	-49.847633	33.781296	-15.571999	-138.45564	171.88889	39.6	6144	10.980832815170288
-141.48576	282.5482	-5.9508314	-1296.3796	-74.48715	57.840134	-7.9034944	-186.3314	107.77778	71.9	8192	14.306382894515991
-122.98941	260.7099	-7.483703	-1219.1783	-214.07678	327.33917	-6.78447	-1157.3748	105.947365	176.7	10240	18.805073261260986
-156.87784	301.0395	-0.46612334	-1081.4692	-42.930733	35.92038	-2.261996	-103.860466	145.63637	45.3	12288	21.94171929359436
-129.15848	249.10167	-3.993082	-1105.8657	-168.14764	299.01376	-31.395027	-1060.3374	116.94118	169.0	14336	26.532524585723877
-129.17715	196.9073	4.9712405	-819.8649	-171.75056	286.82	-7.8001933	-1012.5769	125.375	166.6	16384	31.110857725143433
-177.4773	360.89645	-3.6146624	-984.35406	-167.94261	277.76123	-0.01438115	-981.3865	201.33333	170.8	18432	35.70433974266052
-140.93958	261.44327	-7.737506	-992.55316	-235.28076	352.22684	-9.826806	-962.05133	134.91667	256.7	20480	41.28330445289612
-98.37009	213.09044	-15.627636	-920.05756	-228.4395	352.8108	-20.085482	-952.62506	113.3125	242.0	22528	46.647298097610474
-100.19013	221.9541	-10.2921095	-923.9655	-145.12907	272.60458	-13.997565	-958.00745	111.73333	158.0	24576	51.018826484680176
-102.288864	206.0485	-0.23812011	-919.4607	-148.85277	275.65833	-21.779428	-972.97864	109.333336	160.6	26624	55.429800510406494
-65.77659	55.00251	-0.7422017	-203.40948	-214.4685	357.4792	0.72674453	-1000.2704	69.82758	234.8	28672	60.643813610076904
-327.43582	410.7842	-15.401126	-1077.0837	-228.67154	354.10004	-11.193956	-968.35785	338.0	249.2	30720	66.05137586593628
-66.74082	66.11475	-0.5982012	-248.00748	-47.59703	49.20916	12.27131	-158.14973	68.95652	59.4	32768	69.25732183456421
-104.42761	222.55226	8.601834	-946.1655	-142.67087	246.08511	-20.64067	-872.3798	108.0625	153.8	34816	73.53796482086182
-56.19873	48.566624	-0.10750291	-223.71933	-381.25568	404.003	-27.07262	-893.95337	59.695652	437.7	36864	81.26788449287415
-219.51387	319.49603	-24.045141	-926.82306	-124.02553	216.61848	4.584171	-750.2373	244.0	157.4	38912	85.63786053657532
-94.31959	187.03435	-11.7724495	-860.69293	-291.6562	377.86984	-15.781916	-928.93256	107.36842	330.8	40960	91.96061110496521
-99.87967	220.87965	-7.975146	-859.7005	-132.13101	239.34198	-0.47307158	-837.6611	119.92308	150.3	43008	96.22473788261414
-156.26535	235.68861	-0.9863741	-849.34937	-269.27582	359.06497	0.68257403	-864.7997	173.2	318.3	45056	102.3873119354248
-106.04639	231.93323	1.9824991	-902.75	-263.25522	345.42847	-2.871752	-958.5672	116.38461	277.6	47104	108.10801386833191
-83.51776	184.42708	-0.13848656	-876.1159	-47.338776	67.57521	1.2265799	-225.73953	101.85	58.8	49152	111.24210095405579
