AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-628.7145	97.63754	-531.07697	-726.35205	-600.4291	100.27451	-440.3019	-713.615	1000.0	1000.0	2048	11.45856761932373
-610.8655	104.95221	-505.91327	-715.8177	-554.43384	84.8492	-410.89008	-684.6049	1000.0	1000.0	4096	22.162065982818604
-351.43515	63.265778	-288.16937	-414.70093	-584.5961	111.753296	-410.0626	-782.5184	1000.0	1000.0	6144	32.963176250457764
-509.7579	177.6102	-332.1477	-687.3681	-493.23492	81.73541	-346.15225	-626.3977	1000.0	1000.0	8192	43.671974420547485
-585.3246	149.86983	-435.45474	-735.1944	-454.7459	120.61001	-182.11432	-596.2447	1000.0	1000.0	10240	54.53672742843628
-446.71832	89.68346	-357.03488	-536.4018	-542.5323	66.652405	-434.36957	-660.1914	1000.0	1000.0	12288	65.19849991798401
-579.1245	59.27542	-519.8491	-638.39996	-467.75473	90.50748	-335.098	-586.32263	1000.0	1000.0	14336	76.02710556983948
-491.52548	17.52118	-474.0043	-509.04666	-493.91644	91.255615	-369.42938	-710.1366	1000.0	1000.0	16384	87.42611122131348
-412.49054	15.562149	-396.9284	-428.0527	-475.7853	103.38077	-234.29732	-596.2308	1000.0	1000.0	18432	97.57203912734985
-473.47403	48.8414	-424.63263	-522.3154	-458.85684	80.61981	-311.25003	-573.7092	1000.0	1000.0	20480	107.50974988937378
-373.6251	30.244904	-343.3802	-403.87	-420.47275	110.36974	-222.19952	-550.9093	1000.0	1000.0	22528	117.464022397995
-380.17157	61.34413	-318.82745	-441.51572	-374.85995	104.29949	-215.12367	-547.32837	1000.0	1000.0	24576	127.56861543655396
-489.78992	48.168396	-441.62152	-537.9583	-389.7484	104.82358	-233.25795	-568.27325	1000.0	1000.0	26624	137.48766779899597
-359.302	131.35796	-227.94403	-490.65994	-418.29794	90.02468	-243.09924	-570.6488	1000.0	1000.0	28672	147.47474813461304
-534.4508	99.8831	-434.56772	-634.3339	-383.93463	123.47036	-216.12234	-575.69836	1000.0	1000.0	30720	157.473938703537
-368.8553	90.190674	-278.6646	-459.04596	-370.08292	88.53691	-228.82382	-490.24756	1000.0	1000.0	32768	167.4293508529663
-318.67267	96.18734	-222.48534	-414.86002	-382.75223	88.96149	-245.84306	-489.11725	1000.0	1000.0	34816	177.35258150100708
-437.00732	21.47873	-415.5286	-458.48605	-374.81625	84.95025	-209.7386	-468.58383	1000.0	1000.0	36864	187.3325173854828
-503.9125	33.240204	-470.6723	-537.1527	-405.6308	54.2152	-310.05405	-477.282	1000.0	1000.0	38912	197.29206538200378
-312.15094	17.055878	-295.09506	-329.20682	-383.47757	107.3518	-202.07239	-559.87463	1000.0	1000.0	40960	207.23438048362732
-414.2109	38.083008	-376.1279	-452.2939	-318.47665	90.32481	-117.10424	-449.2071	1000.0	1000.0	43008	217.12631058692932
-425.2306	38.501465	-386.72913	-463.73206	-298.10352	116.84835	-126.10494	-475.23572	1000.0	1000.0	45056	227.0965874195099
-385.8321	84.61334	-301.21875	-470.44543	-325.96896	48.374496	-254.58733	-418.83868	1000.0	1000.0	47104	237.05364203453064
-229.83566	44.354378	-185.48128	-274.19003	-322.7555	99.27997	-197.20193	-500.19614	1000.0	1000.0	49152	247.06891012191772
-95.21621	26.772987	-68.44322	-121.9892	-242.19844	79.14231	-93.14668	-351.6742	1000.0	1000.0	51200	257.00094270706177
-201.67621	39.061607	-162.6146	-240.73781	-263.07623	106.35479	-145.02534	-466.25436	1000.0	1000.0	53248	267.2167458534241
-342.41345	5.791672	-336.62177	-348.2051	-244.16318	96.683876	-106.458145	-408.0604	1000.0	1000.0	55296	277.2122926712036
-282.042	116.67967	-165.36234	-398.72168	-250.5574	93.42581	-104.42536	-400.32715	1000.0	1000.0	57344	287.5703957080841
-256.8003	62.12921	-194.67108	-318.9295	-224.6191	135.81116	-6.0720344	-496.47382	1000.0	1000.0	59392	297.56717443466187
-219.9497	24.876068	-195.07364	-244.82578	-241.7404	97.75419	-95.84732	-380.41522	1000.0	1000.0	61440	307.502724647522
-78.30547	51.903206	-26.402271	-130.20868	-220.15	103.53501	-71.50803	-400.3615	1000.0	1000.0	63488	317.62873935699463
-324.40033	59.191223	-265.2091	-383.59155	-289.103	113.31441	-130.16736	-427.00296	1000.0	1000.0	65536	327.58270239830017
-210.12854	178.61406	-31.514479	-388.7426	-258.29407	112.64118	-50.187565	-395.35492	1000.0	1000.0	67584	337.49886655807495
-218.09912	84.86973	-133.22939	-302.96884	-250.69942	118.03715	-81.64714	-469.25098	1000.0	1000.0	69632	347.46243166923523
-137.21362	2.8959045	-134.31772	-140.10953	-193.44698	104.87708	-73.295876	-398.8503	1000.0	1000.0	71680	357.4256134033203
-351.41205	3.0226135	-348.38943	-354.43466	-124.03469	80.04323	-3.0846038	-256.4345	1000.0	1000.0	73728	367.3888294696808
-312.0771	177.081	-134.9961	-489.15808	-279.51727	135.21199	23.193176	-493.19485	1000.0	1000.0	75776	377.4101641178131
-131.02122	35.458805	-95.562416	-166.48003	-231.71902	116.427376	-108.696465	-452.16528	1000.0	1000.0	77824	387.4494960308075
-147.80988	20.755035	-127.05484	-168.56491	-142.92354	99.49042	-29.082481	-316.98837	1000.0	1000.0	79872	397.34131050109863
-251.07808	151.15361	-99.92448	-402.2317	-208.00948	117.09697	-63.70038	-418.15588	1000.0	1000.0	81920	407.2811744213104
-264.9809	181.54312	-83.43777	-446.52402	-211.94943	181.73701	85.09904	-513.565	1000.0	1000.0	83968	417.2839376926422
-195.37518	266.38846	71.013275	-461.76364	-218.61508	133.85536	-17.718935	-470.07346	1000.0	1000.0	86016	427.2908821105957
