AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
9.730895	4.8111763	50.133102	4.3996754	12.42854	3.3344343	19.96173	6.514571	11.477528	14.0	2048	3.0761473178863525
11.010772	5.8632603	46.580452	4.441531	11.385945	3.7270021	18.993305	5.7269483	12.387878	13.6	4096	5.896015167236328
14.009924	8.64689	65.182	5.22607	16.62688	6.953455	26.750689	5.782026	14.604317	16.3	6144	8.778218269348145
25.726156	27.949644	156.777	5.957611	80.52125	38.42013	132.47485	12.401559	20.760416	50.0	8192	12.069419145584106
44.51451	35.2392	118.492935	5.3939795	57.3633	31.359373	100.48733	11.383831	31.2	37.2	10240	15.157207250595093
66.61692	32.10431	121.59809	9.999835	82.32976	17.28897	124.139854	60.74014	41.77551	49.9	12288	18.398223400115967
86.223404	18.037601	138.35657	33.65825	89.995316	18.98574	136.19177	67.620895	51.48718	51.8	14336	21.69729208946228
102.20099	21.57216	151.41925	64.54928	117.34794	21.54672	152.09763	86.270546	61.909092	66.2	16384	25.353057622909546
119.80814	25.66577	187.10675	85.26783	106.35744	24.620913	145.9251	67.589	70.78571	59.2	18432	28.980170726776123
124.465225	34.0039	215.74135	77.00524	121.20986	37.733463	205.66556	68.23321	72.21429	67.9	20480	32.70586323738098
138.26016	37.37699	206.83505	65.27134	176.79607	27.637152	210.83577	125.43387	75.40741	92.8	22528	36.75256872177124
148.75313	35.765747	190.66797	21.358955	182.59056	45.486496	210.23808	50.319996	78.38461	99.4	24576	40.67741012573242
152.29677	61.54485	215.17546	25.01828	183.96042	26.030016	215.7789	127.7215	82.166664	97.8	26624	44.55039405822754
180.04048	34.393337	250.28685	107.30963	196.04807	28.54186	213.62599	111.457756	96.47619	103.9	28672	48.715970277786255
186.54266	38.675964	231.07762	105.04204	203.11375	9.256253	215.82504	185.03513	100.7	106.3	30720	52.87781739234924
