AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
106.80189	25.624004	178.02972	76.61214	118.15012	33.14149	187.18509	81.50312	21.967741	24.8	2048	3.694176197052002
111.53789	35.017735	287.19113	71.76292	125.37051	40.292713	189.70518	81.46731	22.808989	25.7	4096	7.114736557006836
105.56513	28.385685	193.5768	76.386795	106.73357	26.514248	152.09554	76.65171	21.638298	22.1	6144	10.427569150924683
114.39077	33.486732	219.20773	76.51616	123.6865	36.670166	203.93333	81.14719	23.45977	25.1	8192	13.790301322937012
107.814156	29.71479	211.1434	76.570656	122.301414	48.134228	223.65315	76.823814	22.076086	25.2	10240	17.202606439590454
109.03659	34.147346	250.82	76.59108	127.10238	33.425842	180.93729	81.33705	22.461538	26.0	12288	20.631492853164673
121.72714	38.59455	228.21985	76.65892	94.85948	18.951004	144.241	76.5395	24.829268	19.4	14336	23.98210334777832
113.47977	33.62557	225.04639	76.78618	107.478905	27.659958	151.22496	76.26449	23.227272	22.0	16384	27.402873754501343
119.089134	35.492588	227.31213	76.52083	103.36896	33.72471	189.34666	76.397675	24.261906	21.3	18432	30.811967134475708
118.43304	35.355976	261.9872	76.284164	99.5603	25.410692	161.90562	81.5344	24.214285	20.3	20480	34.21091866493225
117.6126	40.887825	293.3762	76.63399	114.86279	45.489742	238.10449	82.23862	23.882353	23.9	22528	37.56336760520935
122.45247	42.99939	253.23482	76.53746	137.1317	47.666573	213.1114	81.30244	24.853659	27.7	24576	40.99188804626465
128.7414	40.995907	239.88902	76.50321	120.25265	29.282454	177.29756	76.64084	26.064102	24.3	26624	44.44589877128601
134.33487	47.121056	321.593	76.50485	126.03868	29.52054	172.6399	86.57864	27.24	25.9	28672	47.90579533576965
140.76965	42.795174	235.80128	81.314606	133.53928	55.09555	240.65262	81.49055	28.492958	26.7	30720	51.39347767829895
138.09717	55.83306	397.7608	76.422874	117.455215	36.58234	197.87872	81.57331	27.890411	23.6	32768	54.7672119140625
139.35948	48.62371	316.59515	81.519424	211.00504	85.74207	381.55777	98.902504	28.194445	42.9	34816	58.4639995098114
139.7551	57.225266	312.54758	76.63317	123.72737	34.27178	184.03534	81.713165	28.194445	25.0	36864	61.90175414085388
147.07236	51.684387	320.93472	76.91716	151.0289	53.73058	254.3982	91.80433	29.68116	31.1	38912	65.45044827461243
155.67664	56.9646	354.158	81.63626	157.6624	44.493443	239.97586	92.218605	31.359375	32.0	40960	68.94651293754578
157.24686	60.779087	319.3206	81.68045	169.29214	50.31347	246.15701	88.568756	31.507692	33.9	43008	72.53049278259277
172.72362	63.994724	363.89468	76.73107	171.70871	78.48036	334.95645	90.899506	34.64407	34.0	45056	76.09709167480469
158.78874	54.34048	312.9393	81.43237	174.8953	56.016533	255.8288	112.23011	32.0	34.5	47104	79.66578769683838
167.77545	63.165104	368.85806	86.2337	158.66167	48.193043	262.9915	81.42199	33.516666	32.4	49152	83.23813581466675
200.69519	67.13869	363.76855	86.225845	171.40187	66.136505	306.94507	92.24104	40.24	34.8	51200	86.82315635681152
209.34557	63.326027	357.2278	87.89372	189.3685	40.777843	248.4088	118.16501	41.183674	37.8	53248	90.44586372375488
200.27487	68.41577	336.3265	81.34453	266.7392	61.93877	361.8253	166.58138	39.882355	53.4	55296	94.24195289611816
225.14346	74.57706	392.09216	99.70585	256.555	57.52532	352.06635	131.0515	44.5	49.3	57344	98.00121116638184
236.03162	75.59918	408.7433	99.19044	207.15837	62.700134	293.0708	96.82674	46.744186	42.1	59392	101.71691656112671
232.9922	82.63274	416.32883	76.70374	245.43591	53.53051	310.7028	137.16302	45.590908	48.1	61440	105.48531532287598
226.59077	77.88672	398.63287	98.779724	265.0716	108.09217	400.67743	86.51065	44.622223	51.4	63488	109.37741279602051
266.82007	94.670235	497.65036	92.62629	287.39362	136.1991	642.17566	105.761665	52.307693	56.1	65536	113.37105894088745
253.61586	82.012665	413.3629	92.67023	307.58072	75.584145	454.39545	196.32062	49.536587	59.1	67584	117.41378664970398
281.23267	86.68963	585.7883	118.24436	276.60342	69.52909	368.22134	114.05623	55.243244	54.8	69632	121.37728595733643
278.89084	78.73913	477.7268	115.87752	301.09564	62.540123	431.04443	237.22453	54.91892	57.3	71680	125.29670548439026
287.21362	101.41995	545.2439	105.9775	328.76758	73.22499	427.3404	142.70697	56.444443	64.3	73728	129.38230156898499
288.327	90.55933	507.96558	87.32062	284.3781	60.722317	385.73416	190.64687	56.166668	56.1	75776	133.38028049468994
