AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-41.058914	2.0031815	-39.055733	-43.062096	-20.82081	7.9339285	-10.005935	-37.129456	1000.0	1000.0	2048	14.2894446849823
-30.155964	0.6683712	-29.487593	-30.824335	5.3228803	16.852747	41.337948	-14.511996	1000.0	1000.0	4096	28.44396471977234
5.5525913	1.8763268	7.4289184	3.6762648	25.008137	3.9076722	34.870575	21.411419	1000.0	1000.0	6144	42.60785222053528
20.014917	17.656038	37.670956	2.3588798	24.888945	2.1989255	27.697239	21.067108	1000.0	1000.0	8192	56.821686029434204
22.775028	0.05825901	22.833288	22.71677	25.018444	1.2322589	26.290573	21.962868	1000.0	1000.0	10240	71.23091292381287
22.894617	2.96344	25.858057	19.931177	24.330204	1.442411	26.451794	21.637325	1000.0	1000.0	12288	85.67660117149353
25.299086	0.2545967	25.553682	25.044489	24.527212	1.7935276	26.981398	21.679554	1000.0	1000.0	14336	99.97489905357361
23.465603	0.30051517	23.766117	23.165087	23.270494	1.3304641	25.525238	21.074589	1000.0	1000.0	16384	114.4282910823822
22.991417	0.8846626	23.87608	22.106754	24.886272	1.4377493	27.596485	22.536316	1000.0	1000.0	18432	128.7040433883667
25.125492	0.09764004	25.223133	25.027853	27.046804	2.1315653	30.573404	23.639263	1000.0	1000.0	20480	142.95514607429504
26.158651	1.0190964	27.177748	25.139555	31.338669	3.9161797	37.16755	25.340076	1000.0	1000.0	22528	157.22181105613708
30.880688	3.7806892	34.661377	27.099998	29.883581	7.268268	39.669224	13.151708	1000.0	1000.0	24576	171.57083249092102
28.170898	6.8961105	35.06701	21.274788	32.34797	2.4937007	35.646736	26.889748	1000.0	1000.0	26624	185.95353078842163
32.6778	1.2818766	33.959675	31.395922	31.241587	2.0735118	33.812225	27.919937	1000.0	1000.0	28672	200.29601955413818
26.74326	1.7405453	28.483805	25.002714	27.691387	3.419223	32.997967	22.843454	1000.0	1000.0	30720	214.6290159225464
27.945831	2.4217196	30.367552	25.524113	29.199371	3.1903145	33.685062	23.75113	1000.0	1000.0	32768	229.0058560371399
30.710419	1.7219133	32.43233	28.988504	28.453129	3.4352932	33.70684	23.707739	1000.0	1000.0	34816	243.3609254360199
22.836445	1.6139631	24.450409	21.222483	32.80703	2.9506686	36.733524	25.985	1000.0	1000.0	36864	257.69649934768677
31.548573	1.056385	32.604958	30.492188	35.173904	2.957645	38.1756	29.494038	1000.0	1000.0	38912	272.0249261856079
30.611568	0.38063526	30.992203	30.230932	33.537495	2.1152136	37.07827	30.95903	1000.0	1000.0	40960	286.4075050354004
35.67128	2.3292828	38.00056	33.341995	33.009968	4.0957747	38.36169	24.617159	1000.0	1000.0	43008	300.97265100479126
30.725641	0.39349937	31.11914	30.332142	34.872078	3.046335	38.695656	28.752674	1000.0	1000.0	45056	315.33445596694946
36.80333	0.39240074	37.195732	36.41093	33.078125	4.785398	39.423557	25.730894	1000.0	1000.0	47104	329.6865510940552
36.25933	4.7021227	40.961452	31.557207	33.99431	2.1003902	37.57418	30.407272	1000.0	1000.0	49152	344.05543661117554
36.7037	1.2213783	37.92508	35.482323	34.022533	2.241448	37.526985	31.577953	1000.0	1000.0	51200	358.42174220085144
34.85109	2.5884724	37.43956	32.262615	36.445995	1.9062603	40.449104	33.93615	1000.0	1000.0	53248	373.00149846076965
36.685623	2.7513504	39.436974	33.934273	36.640247	1.0422707	37.98086	34.270256	1000.0	1000.0	55296	387.5788152217865
33.471226	0.9929428	34.46417	32.478283	36.10194	2.0696368	39.067707	31.498457	1000.0	1000.0	57344	402.1013033390045
34.93692	0.7089367	35.64586	34.227985	36.41626	2.3227851	39.35255	32.63234	1000.0	1000.0	59392	416.6664218902588
37.14498	2.7003803	39.845364	34.444603	38.269173	1.9039156	41.987152	34.627445	1000.0	1000.0	61440	431.23725175857544
38.918015	0.030900955	38.948917	38.887115	36.75892	2.3791013	39.55407	33.093483	1000.0	1000.0	63488	445.84102034568787
36.142956	0.34170532	36.48466	35.80125	37.294884	0.80070597	38.28761	35.8526	1000.0	1000.0	65536	460.2276966571808
36.69674	0.70840645	37.405144	35.98833	37.14376	1.8420453	39.050262	34.3189	1000.0	1000.0	67584	474.78276443481445
37.094673	1.493124	38.587795	35.601547	36.85323	2.5904522	40.235935	31.56944	1000.0	1000.0	69632	489.3146708011627
36.912178	0.7084656	37.620644	36.203712	35.936054	1.8202165	39.195614	33.20232	1000.0	1000.0	71680	503.67989206314087
33.112682	2.6690664	35.78175	30.443617	36.396484	1.8185164	38.89471	33.49066	1000.0	1000.0	73728	518.0860686302185
37.07594	2.3740234	39.449963	34.701916	37.15606	1.690122	39.36718	33.58474	1000.0	1000.0	75776	532.4630184173584
36.302666	1.2844925	37.58716	35.018173	37.124893	2.0272408	41.039722	33.354733	1000.0	1000.0	77824	546.840847492218
37.45017	0.021263123	37.47143	37.428905	36.91382	1.7862238	39.876534	33.865444	1000.0	1000.0	79872	561.4334347248077
37.513412	0.5242481	38.03766	36.989162	37.187576	1.7434474	40.414505	34.78558	1000.0	1000.0	81920	576.0046792030334
36.74713	1.7482815	38.495415	34.99885	37.054787	1.4795849	39.521137	34.76521	1000.0	1000.0	83968	590.3967392444611
37.880997	1.8679619	39.74896	36.013035	37.30938	1.9216205	41.038647	34.579006	1000.0	1000.0	86016	604.7901182174683
37.306885	0.14618683	37.45307	37.160698	37.316658	1.9908112	40.838295	34.32016	1000.0	1000.0	88064	619.3536243438721
36.751152	0.6397419	37.390892	36.11141	36.936337	2.0041578	39.858955	32.722282	1000.0	1000.0	90112	633.9337742328644
37.00394	0.79039764	37.79434	36.213543	38.090332	1.7878072	40.048946	34.378727	1000.0	1000.0	92160	648.5528302192688
38.40935	2.1705894	40.57994	36.23876	37.20662	1.1739122	38.67336	34.315655	1000.0	1000.0	94208	663.1742646694183
37.96853	1.38624	39.354767	36.582287	37.368294	2.6136377	42.437885	32.550426	1000.0	1000.0	96256	677.7613463401794
39.622086	1.9593449	41.58143	37.66274	37.37771	1.9319116	40.575825	34.959232	1000.0	1000.0	98304	692.3447694778442
36.015015	0.47812462	36.49314	35.536892	37.690495	1.4764858	39.71982	35.48904	1000.0	1000.0	100352	706.9387998580933
36.623035	0.7621231	37.38516	35.860912	37.411003	1.7959076	40.144806	34.23537	1000.0	1000.0	102400	721.4520292282104
37.464027	0.73150444	38.19553	36.73252	37.590946	1.6451898	40.477844	35.634727	1000.0	1000.0	104448	735.8294513225555
35.485603	0.11945534	35.60506	35.36615	37.909313	2.0869663	41.35235	33.783703	1000.0	1000.0	106496	750.4286167621613
37.132824	1.1879997	38.320824	35.944824	36.735344	1.3696871	38.88229	34.651726	1000.0	1000.0	108544	765.0014562606812
38.81945	0.6053028	39.424755	38.21415	37.056847	1.5384701	39.807304	34.307423	1000.0	1000.0	110592	779.5747332572937
37.14952	2.4443378	39.593857	34.70518	37.511024	1.5579855	40.253002	35.78534	1000.0	1000.0	112640	794.1597948074341
