AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-3.3639069	2.665835	5.332051	-11.382996	-2.1875875	2.0797544	1.7207154	-5.991011	10.946524	14.0	2048	3.4530749320983887
-2.444435	2.6811032	7.8935184	-8.612061	-2.3541462	2.0090165	1.2167901	-5.61456	10.87234	10.4	4096	6.516539096832275
-1.8334863	2.6772356	13.921193	-8.994733	-1.128003	2.3369982	1.8577281	-4.353859	11.048913	10.7	6144	9.564328670501709
-0.7567696	3.1457274	14.542444	-6.514527	1.2890302	4.278822	12.280429	-2.2642152	11.866279	14.6	8192	12.734814167022705
0.6554737	3.7544072	15.962352	-6.3048882	0.80700004	2.5807753	6.7073064	-2.3321023	13.543046	15.6	10240	16.049362897872925
1.7325643	3.965374	15.61952	-5.0812154	5.003967	4.7521	14.472855	-1.3154969	15.7384615	27.4	12288	19.243586540222168
3.2872732	5.68905	39.120487	-5.4456987	5.0041203	3.710116	11.689794	-2.2782445	17.938597	21.1	14336	22.436070680618286
9.487807	9.63421	37.762444	-3.053036	16.693277	14.30116	52.530045	-0.05656284	27.780823	37.3	16384	25.917595863342285
14.989139	18.162497	111.563126	-4.7386036	23.340403	14.266829	58.089893	6.5496325	40.46	64.6	18432	29.66440773010254
36.137314	61.337933	285.21863	3.2444444	33.63102	20.198727	67.58485	4.313127	67.833336	86.0	20480	33.65584921836853
38.175552	24.261457	104.853226	5.963653	37.216064	31.46033	118.65305	5.1833105	83.708336	87.3	22528	37.628594636917114
47.618664	94.89254	415.31384	-19.465454	77.260864	99.53016	291.32986	-1.69432	108.166664	124.6	24576	42.07758045196533
91.616135	135.59283	380.0417	-22.321959	80.99135	88.56207	279.64594	-11.15872	140.28572	142.0	26624	46.74408578872681
105.00084	90.20454	295.9816	-2.4783683	194.98933	151.25296	390.3982	-13.101863	156.61539	198.7	28672	52.12734341621399
100.99286	126.981804	410.27728	-17.466309	219.42477	116.447	367.20987	30.54425	161.0	241.9	30720	58.33367872238159
189.27533	140.90422	452.6758	-13.078666	286.9069	155.02498	624.4937	47.86042	196.8	261.8	32768	64.75506019592285
238.11316	164.09703	550.86475	30.579336	267.3404	131.53418	474.0962	28.654308	254.375	228.7	34816	70.56347060203552
231.99597	164.02007	512.58136	8.005083	313.7055	97.22022	486.99435	192.85583	222.25	294.7	36864	77.32316064834595
358.08035	176.08034	635.28253	112.76202	349.26083	247.68878	941.4129	4.534918	284.2857	324.3	38912	84.36392092704773
366.60767	190.16025	639.7843	84.24303	174.33224	127.34345	362.57306	3.3304179	326.83334	171.8	40960	89.41153502464294
207.5101	88.707985	352.3798	62.533215	218.65593	78.98359	355.79068	99.65013	175.81818	181.5	43008	94.82171320915222
237.9853	63.257828	335.81906	105.80223	258.49457	84.63286	393.97305	149.80699	190.8	196.4	45056	100.2848858833313
250.8132	87.88427	389.32553	56.12896	308.87323	106.79737	446.99597	85.43541	198.6	218.2	47104	105.869469165802
320.60043	71.8882	445.66776	198.56873	274.86203	105.85371	402.0686	33.843445	221.77777	197.6	49152	111.18036389350891
288.57446	93.469574	384.8191	79.8659	221.17976	65.223145	295.55804	66.24778	215.25	145.4	51200	115.8655104637146
282.04156	87.989334	409.06784	88.04031	248.60416	105.82757	436.77286	33.234554	220.22223	175.3	53248	120.81249737739563
217.72653	49.96381	274.00406	59.93631	241.15205	40.137024	317.27408	191.32887	138.85715	149.5	55296	125.4678738117218
254.9263	114.0014	501.1707	100.580154	382.03046	260.2556	1021.79425	204.71304	216.22223	291.3	57344	131.98231410980225
298.11887	146.76274	671.75055	87.53309	309.9116	146.15848	640.50385	35.311726	220.44444	229.4	59392	137.6509108543396
314.9467	62.41784	446.59546	249.94513	286.33133	150.38022	646.4903	38.6045	230.25	205.4	61440	143.1046280860901
236.83064	92.57729	351.01767	19.106834	389.68124	210.79762	931.00214	208.8728	170.25	359.2	63488	150.48003268241882
279.85162	157.5512	574.61707	13.632386	305.11304	86.52145	487.39777	125.32982	220.66667	215.0	65536	156.22654128074646
436.27383	263.3765	943.9784	228.42108	332.03357	164.90384	691.69916	0.74902606	362.0	244.7	67584	162.25672721862793
273.65768	70.606415	374.28574	88.112526	291.5328	65.649414	439.3448	209.34166	184.54546	189.3	69632	167.5986669063568
266.55377	113.34142	495.90817	19.652903	240.07793	87.73232	383.5902	78.34467	188.88889	186.0	71680	173.09023094177246
259.82556	31.50717	308.17258	212.84596	246.27335	97.05234	393.62247	51.259865	195.16667	192.9	73728	178.4074945449829
316.3481	104.82524	592.03906	219.91211	264.61664	114.26371	543.5592	62.234295	216.0	185.3	75776	183.78374671936035
313.5388	158.0698	537.0973	36.000225	251.18713	94.026985	362.62283	15.964103	248.28572	188.7	77824	189.04343152046204
295.25558	128.53236	516.598	-7.731699	387.33014	174.06213	730.0249	225.77118	212.44444	306.2	79872	195.9422664642334
281.92926	113.155304	568.61414	141.55815	232.8978	105.16149	388.5414	50.685425	195.1	177.9	81920	200.9740114212036
428.47058	238.95407	957.6474	272.7088	322.5622	77.72534	496.64648	249.47333	341.0	240.9	83968	206.87581539154053
319.50696	63.181824	463.27377	253.121	383.17896	165.75209	753.94434	250.22614	196.8	306.9	86016	213.66281533241272
262.38275	90.82961	368.79868	19.215723	432.67108	209.35345	880.619	220.2957	203.8	338.5	88064	220.80809354782104
286.39987	125.84779	518.8456	38.690563	240.42212	53.106396	305.8704	110.41671	223.44444	161.5	90112	225.7351667881012
298.50232	124.976845	581.58765	112.947235	359.143	244.53867	1082.1584	235.8972	211.55556	243.6	92160	231.94346070289612
277.91476	51.578148	403.1148	195.09187	311.28934	68.35747	447.36957	221.44081	167.36363	222.9	94208	237.68816328048706
417.4041	291.6403	922.30554	239.91382	362.21664	120.69047	668.7103	246.59554	351.75	253.2	96256	243.81359267234802
275.77435	70.45202	439.4596	215.52129	293.93967	81.16171	463.38025	180.78496	164.5	207.6	98304	249.37158370018005
272.94598	71.7546	385.2255	80.49052	303.08475	49.82499	397.47183	258.70068	176.0	184.3	100352	254.63026022911072
275.5204	89.32509	387.26648	46.964558	283.78867	161.08333	635.6987	71.836655	185.33333	257.9	102400	260.9088180065155
306.48935	77.19554	454.9388	218.95738	338.7545	88.7237	492.22256	255.0098	204.3	223.6	104448	266.74406838417053
343.9	75.55291	519.4197	276.34662	280.74396	107.863464	531.0674	134.15714	220.625	246.2	106496	273.0358204841614
313.81787	109.38498	552.81006	154.53194	370.44672	114.236694	538.87915	202.84615	233.375	253.9	108544	279.2653126716614
306.08456	51.853386	397.97577	228.76164	302.83636	67.658646	408.78085	225.6597	185.45454	186.6	110592	284.56129264831543
247.81166	107.04749	376.53702	19.008062	335.44977	94.90224	532.7924	231.30138	169.91667	217.6	112640	290.3163752555847
264.8865	21.07284	291.65216	220.8397	272.4188	21.615782	322.9241	244.38216	145.92308	156.3	114688	295.27744340896606
312.14175	139.21701	721.9825	238.10579	277.97656	78.270386	456.01056	125.346825	194.4	187.5	116736	300.6920495033264
306.65375	91.60529	560.7524	237.37587	283.63153	106.47591	572.106	144.9906	190.8	191.9	118784	306.1291518211365
336.41434	102.9206	563.00226	243.72339	337.87183	94.45487	575.7491	237.54712	225.11111	215.3	120832	311.84116435050964
268.47507	24.000853	318.57373	240.2604	314.1133	134.1675	547.75934	90.07395	154.07692	233.5	122880	317.91914677619934
288.0768	34.954395	347.72955	234.17188	306.03357	81.83844	474.39783	201.62148	170.08333	197.3	124928	323.405953168869
274.96555	30.097277	327.48404	230.10016	307.3873	85.75631	554.9736	237.98994	157.18182	183.0	126976	328.6628177165985
338.77234	99.88909	558.92444	226.17508	274.31503	46.743362	396.4744	223.88353	214.0	159.0	129024	333.84102606773376
