AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-95.18523	129.05986	-1.9469776	-391.81946	953.73596	1.9842181	957.5948	950.77203	262.6316	1000.0	5000	21.817251682281494
-80.995476	112.69969	9.460964	-344.5077	952.8779	2.6427197	956.7439	948.19	237.58824	1000.0	10000	44.14305377006531
-68.892136	104.78553	53.243298	-404.4662	952.10974	4.7503767	960.6611	945.19775	200.0	1000.0	15000	66.02420830726624
-85.2949	133.89624	34.979244	-365.21173	953.40564	3.2970486	961.17957	948.2794	248.85	1000.0	20000	89.23726272583008
-56.22173	96.791534	45.040142	-370.8022	952.8292	2.4373255	957.40106	948.94	185.96	1000.0	25000	111.72873425483704
-88.13646	151.36539	65.250725	-393.55423	948.85	18.693096	978.03174	923.0124	456.8	1000.0	30000	218.15637493133545
140.91116	53.243073	217.55562	27.974451	834.3748	23.211483	888.2136	806.48486	639.3333	1000.0	35000	324.4784502983093
50.014557	91.57677	176.85095	-63.61302	836.1331	23.095226	872.68585	799.7878	733.6667	1000.0	40000	430.345858335495
84.11201	102.776436	278.5724	-24.119135	734.772	15.409926	769.3599	716.01886	662.875	1000.0	45000	535.8054451942444
108.11028	69.721306	236.96039	30.575235	846.4855	47.579746	892.52704	734.2595	845.1667	1000.0	50000	640.1522600650787
49.90891	46.562218	145.19391	-8.057383	546.3994	33.406746	599.2518	507.19894	531.0	1000.0	55000	743.0231728553772
207.82758	164.81409	528.75543	-8.914942	806.8519	240.46024	1000.3332	106.69301	905.8333	907.5	60000	838.7558515071869
114.78795	112.21268	458.3537	-2.7521093	713.4618	342.34772	930.9359	30.013288	371.07144	806.9	65000	936.6393082141876
115.26602	86.80783	314.11514	17.837763	703.50934	446.2056	1348.1431	28.184423	384.75	601.5	70000	1029.78670835495
272.75693	256.19943	707.36664	55.738216	1098.741	316.9738	1449.1155	331.26373	536.5	921.1	75000	1127.7381463050842
234.95317	130.04295	476.9856	122.52047	889.0013	511.71695	1644.7859	63.143528	676.2857	739.2	80000	1222.5725388526917
288.98398	188.71547	630.372	36.65405	842.6024	373.7503	1176.429	145.17058	753.1429	754.3	85000	1317.8424034118652
322.0902	178.56683	646.86676	46.14181	965.4701	568.59625	1872.1289	153.94843	723.6667	734.3	90000	1413.6635479927063
205.65775	148.03831	544.7885	4.8039284	1065.5117	333.48663	1454.5105	151.85536	585.6667	908.0	95000	1514.911788225174
239.37212	87.63656	368.30566	71.71002	947.60693	178.01904	1135.6042	497.4053	769.2857	811.9	100000	1610.1135530471802
192.12189	130.44801	373.60577	17.601978	1386.3226	272.55026	1888.2477	987.6745	547.625	1000.0	105000	1706.621215581894
482.46085	230.80804	864.4165	237.81653	559.46246	387.69315	1108.9037	135.64897	1000.0	483.9	110000	1791.1111426353455
312.7475	73.94832	438.08228	183.3508	698.61426	517.99677	1616.6779	31.16596	773.2857	557.4	115000	1877.8830094337463
450.06192	184.89984	750.417	215.79951	1010.10754	494.57394	1960.466	88.019844	701.4286	735.0	120000	1965.396957874298
316.0866	98.07436	504.0923	177.78564	853.9168	407.7977	1450.5425	211.28477	678.4286	682.2	125000	2054.1331219673157
337.18942	150.49002	520.9312	62.17356	961.15906	346.53186	1615.7714	424.40518	841.0	669.5	130000	2138.5473651885986
451.96286	237.76228	840.1298	83.56567	919.6945	375.6288	1319.9854	177.86313	844.0	754.4	135000	2226.093156814575
290.47107	151.05775	546.27344	33.612755	1071.2017	367.15564	1659.5436	225.39627	564.875	798.9	140000	2314.5384633541107
415.43106	216.73975	940.10895	31.85875	876.5514	271.31247	1123.1516	270.2542	578.1	608.0	145000	2415.3936805725098
388.73813	174.687	673.3288	115.76561	1279.6038	381.97516	2254.1704	598.7645	708.0	928.5	150000	2522.8753411769867
468.25232	144.90268	766.64124	258.02176	1406.6135	317.53925	1996.3381	900.5103	698.75	934.4	155000	2620.6773402690887
498.41617	277.42563	935.8804	15.58786	1659.4652	502.98666	2480.6638	968.326	519.6	1000.0	160000	2722.5617501735687
608.02203	351.46213	1245.3672	200.54897	702.4541	565.819	1690.4677	80.43978	772.6667	426.1	165000	2812.192718267441
565.01904	392.64417	1314.7212	78.40197	1714.4127	599.37427	2359.518	936.3869	639.0	940.1	170000	2912.4152619838715
638.28674	349.40094	1233.8442	233.05188	1771.9172	787.28766	2553.0347	213.74197	692.2857	817.2	175000	3008.613594532013
1129.168	501.8682	1679.0116	269.71704	1599.7776	711.3779	2553.8708	94.123436	848.6667	857.3	180000	3104.6920692920685
943.94025	707.1815	1970.0602	115.47477	1650.0515	847.0084	2664.7925	490.00735	762.5714	770.1	185000	3198.580398797989
699.4743	560.22095	1785.1198	129.28911	1585.5979	894.99365	2612.5652	141.80692	758.5	754.4	190000	3293.9838964939117
778.06323	591.34985	1980.2468	128.4863	1699.8528	724.81366	2576.268	260.19666	560.7778	780.2	195000	3390.2225818634033
702.8741	467.01196	1608.6412	177.58363	1927.5481	535.93677	2545.4912	1101.5852	849.6667	981.1	200000	3487.8197968006134
959.13837	657.2563	2355.6553	308.45697	2309.5918	734.0657	2930.4517	895.48047	768.7143	899.6	205000	3585.057115316391
973.0309	747.10114	2186.2979	34.788105	2107.8413	659.3613	2677.5137	652.7172	651.0	885.7	210000	3682.0296046733856
720.3815	662.4941	2247.474	115.20068	1243.7864	738.1296	2600.9028	125.96255	677.875	801.4	215000	3779.1438727378845
947.9926	677.45074	2358.8618	128.4561	2165.8735	659.93634	2897.121	1114.8507	546.25	906.6	220000	3878.4658257961273
940.0608	707.9073	2266.8687	281.02744	2378.8525	509.0373	2833.0754	1420.3	905.0	964.4	225000	3978.3035757541656
1250.6791	744.3746	2380.028	253.46373	2205.1472	724.6061	2944.8057	940.12866	749.7143	816.6	230000	4074.2441794872284
1663.3656	790.782	2328.266	476.73825	1387.3806	968.5558	3033.2288	85.76284	984.6	613.4	235000	4167.947589874268
2071.7014	492.1107	2571.145	1158.1522	2450.9138	646.41736	3067.814	1319.0634	942.6	855.4	240000	4264.587694644928
1199.1022	904.05835	2555.4973	51.46362	3202.9946	69.716736	3312.4177	3065.8657	642.5	1000.0	245000	4364.29230761528
1694.5219	1025.2527	2731.887	256.14304	2523.9229	763.2619	3338.2554	1294.703	983.0	1000.0	250000	4464.704059839249
1358.2537	808.7771	2609.3604	551.1672	1928.6609	994.75934	3451.5215	508.1342	701.7143	627.4	255000	4558.190852403641
1274.7269	525.5869	2301.0452	678.4725	2230.7312	825.41364	3266.957	596.2424	693.0	920.0	260000	4656.2607679367065
2867.164	112.36834	3029.6611	2704.5103	2004.541	1020.2198	3304.8916	364.8772	1000.0	817.2	265000	4753.313382387161
2325.3577	982.5366	3068.8916	329.19318	2576.6587	1030.4825	3627.4946	886.7291	850.5	806.8	270000	4848.71200466156
2127.005	770.3176	3068.9656	695.6551	3281.6726	322.61197	3638.6785	2380.045	716.7143	980.1	275000	4947.637016057968
1951.9834	1144.6678	3179.357	326.3568	3557.9858	351.9219	3864.9583	2547.4038	872.6667	969.9	280000	5045.14413690567
2092.9966	1286.1138	3321.4727	34.354256	3814.6726	552.44885	4273.564	2203.1118	663.5714	957.9	285000	5146.837281703949
2766.3933	807.7022	3462.1262	1038.6323	3829.3672	396.00565	4270.6504	2756.537	879.8333	966.2	290000	5248.447817802429
2148.8176	1251.4396	3272.8967	181.13469	1584.1492	581.1599	2309.3267	480.2713	751.5714	680.0	295000	5344.655412197113
2347.0999	805.8794	3118.787	640.2652	3691.5398	826.1314	4266.438	1660.4442	791.0	959.4	300000	5445.44509267807
2021.9141	1278.3865	3673.0925	218.93988	3731.3228	823.3854	4289.0405	1298.5917	635.5	933.9	305000	5545.972059965134
2734.2144	576.80646	3503.805	1878.0416	2325.9055	1393.3182	4089.2185	296.63303	912.2	707.6	310000	5641.115348339081
2538.8616	882.98224	3577.0679	1124.0653	4120.7856	509.083	4522.7134	2648.6262	880.5	1000.0	315000	5743.533188581467
