AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-327.09906	46.532063	-278.7613	-397.18185	-0.0838283	0.7863732	1.3106513	-1.5938652	1000.0	1000.0	5000	11.149973154067993
-326.59747	106.80309	-190.99985	-499.05795	0.048880965	0.8295784	1.168907	-1.5007043	1000.0	1000.0	10000	22.490272521972656
-288.58734	51.655506	-220.44073	-360.73196	-0.34018767	0.82926995	0.9116906	-2.3457627	1000.0	1000.0	15000	33.98285627365112
-300.78497	53.33056	-244.60951	-368.8138	-0.40610585	0.7148512	0.9740071	-1.3988036	1000.0	1000.0	20000	45.59561204910278
-310.31165	72.01199	-207.44139	-399.93866	-0.6307038	0.6025552	0.3210236	-1.631613	1000.0	1000.0	25000	57.527851581573486
-224.14128	45.29676	-157.3039	-289.08823	-35.52694	4.28657	-30.895842	-46.417187	1000.0	1000.0	30000	145.74674272537231
-143.81104	86.279816	16.195564	-206.40862	-7.5955553	31.479992	68.46408	-36.034107	1000.0	1000.0	35000	233.48721027374268
295.0538	468.87354	1202.0149	-35.86449	902.6849	630.4162	1858.0553	67.80122	1000.0	1000.0	40000	322.5111520290375
1691.4808	258.77444	1955.9236	1220.0493	2764.6626	219.22792	2911.0288	2122.0364	1000.0	1000.0	45000	415.36317706108093
2346.2327	200.97229	2653.4426	2031.9333	3217.8953	47.69455	3286.187	3113.9163	1000.0	1000.0	50000	504.7477722167969
2945.1697	111.55384	3067.2822	2734.5977	3659.463	82.371666	3841.6936	3548.591	1000.0	1000.0	55000	592.0997135639191
2740.1562	830.93384	3316.2573	1098.8455	3561.7305	289.619	3839.8257	2729.1829	1000.0	1000.0	60000	680.9181270599365
2917.0095	800.48846	3625.7231	1350.4207	4052.0024	86.544464	4185.9146	3906.9336	1000.0	1000.0	65000	767.0546224117279
3593.3132	42.569473	3658.1396	3527.3843	4270.452	53.425056	4386.414	4196.7896	1000.0	1000.0	70000	855.2499544620514
3862.0093	74.32974	3955.3445	3750.5884	4383.8047	77.14093	4541.3716	4272.012	1000.0	1000.0	75000	941.4596910476685
3943.358	174.9731	4116.229	3609.128	4454.051	47.40237	4511.5835	4367.71	1000.0	1000.0	80000	1029.2501344680786
4212.078	77.00501	4344.018	4106.687	4636.827	57.838486	4710.717	4547.088	1000.0	1000.0	85000	1118.3493189811707
4372.372	35.900795	4439.0	4335.3247	4841.4556	69.81691	5003.1577	4736.8965	1000.0	1000.0	90000	1206.2771847248077
4589.023	72.98384	4673.4204	4461.668	5175.2603	64.910164	5284.31	5072.0093	1000.0	1000.0	95000	1290.9135332107544
4708.975	116.70469	4834.5977	4546.724	5274.588	89.448494	5404.3774	5143.443	1000.0	1000.0	100000	1373.206505537033
4872.3413	103.60621	5035.3643	4743.819	5373.6816	42.063145	5439.074	5321.9165	1000.0	1000.0	105000	1457.960592508316
4966.2607	53.024914	5032.753	4873.0786	5500.94	52.531727	5575.4355	5423.2827	1000.0	1000.0	110000	1547.7669360637665
