AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
17.747293	15.137388	107.38129	4.6217737	24.243769	0.2769921	25.019928	24.02547	21.885965	28.1	5000	2.1159567832946777
16.145628	12.177439	140.34717	4.8951654	24.325768	0.39014238	25.216078	23.989521	20.325203	28.2	10000	4.188171148300171
17.607828	17.98875	226.02324	4.7347674	24.356226	0.30421528	25.047583	24.089247	22.097345	28.2	15000	6.273867845535278
17.912958	17.34937	191.14218	3.708609	24.222813	0.46314484	24.958319	23.226513	21.90393	28.1	20000	8.317110776901245
17.495447	14.182872	124.06056	4.631021	24.37748	0.43133914	25.277592	24.051329	21.242554	28.2	25000	10.355149030685425
135.5345	70.10124	249.28192	11.230673	263.98306	1.5772661	266.23132	261.31628	67.64865	117.1	30000	89.07972741127014
274.32913	39.434307	349.4924	193.99567	304.19424	4.083594	313.83133	297.2038	118.02381	145.4	35000	165.80320000648499
323.20947	31.513657	379.77454	224.33534	323.27277	1.5440736	325.7793	320.34256	128.61539	120.1	40000	241.10469961166382
305.0558	32.776653	352.10876	213.98628	356.99246	2.5479796	363.08563	354.35458	116.85714	127.8	45000	316.57590651512146
298.7403	42.904385	375.76093	200.1662	284.002	14.061841	318.07867	265.3913	125.4	135.5	50000	393.38336300849915
328.23798	32.75773	381.4653	270.62558	334.9161	2.405992	339.71796	330.94083	129.02563	120.2	55000	467.9299404621124
358.48114	94.73437	812.5022	223.94946	465.31744	86.130844	537.5746	284.30264	136.02702	174.3	60000	545.4193527698517
411.16528	153.41747	789.4998	22.10906	375.72064	1.3709832	377.09634	373.26553	169.55173	170.4	65000	620.628356218338
454.65457	58.672916	532.91016	323.48715	407.15598	15.877127	451.51486	388.4062	173.86208	141.8	70000	693.4399874210358
484.12512	115.79631	668.5758	183.75443	459.83994	100.22565	724.0054	370.96133	172.31035	179.5	75000	769.8926572799683
649.8806	118.90714	875.038	339.51422	622.2941	13.166667	646.19165	605.62177	223.40909	199.6	80000	846.9358396530151
738.6022	158.37181	1021.5582	341.62448	684.31055	2.1011558	687.6447	680.7931	263.6842	218.3	85000	927.5344767570496
686.7096	172.64906	935.07416	244.1172	886.4238	2.4324107	890.1826	883.78424	225.36363	284.0	90000	1019.534426689148
964.7429	201.02872	1330.336	632.3295	1382.8586	76.75716	1477.3789	1195.1228	310.5	431.4	95000	1113.8345458507538
945.0311	206.05058	1365.5159	547.62164	1429.569	36.0364	1499.3425	1356.1793	300.94116	447.5	100000	1199.182092666626
1352.4493	584.9184	2333.321	565.49536	2676.4185	4.3094125	2683.8267	2670.7358	438.36365	1000.0	105000	1293.4182271957397
1574.641	589.1383	2593.2957	797.6871	2474.0884	646.04803	3188.534	1661.0846	527.0	787.4	110000	1385.5661399364471
1625.3414	698.09357	2861.9856	779.97675	2864.876	93.705414	2990.6758	2739.4365	544.0	964.4	115000	1479.8517570495605
1393.1896	570.17816	2619.9932	803.1921	2073.4412	93.35233	2156.9487	1892.3157	444.18182	651.9	120000	1569.517410516739
1607.4606	535.2022	2642.967	1071.2573	2743.0078	3.2188373	2747.8655	2737.5938	510.3	1000.0	125000	1663.3551754951477
2711.804	363.68222	3159.1277	2117.9917	2694.0679	4.867589	2702.4846	2687.5964	878.8	1000.0	130000	1757.5182511806488
1978.661	716.3947	2936.417	1118.6442	2794.3635	2.7502022	2798.8567	2789.0647	635.1111	1000.0	135000	1853.2296345233917
1888.9465	842.79407	3016.1362	1149.7795	2721.6914	155.7494	3000.8188	2489.9453	612.75	845.9	140000	1945.7028079032898
2275.0728	780.5133	3100.1091	1125.4296	1133.5859	78.319695	1220.2433	967.0696	723.2857	339.1	145000	2031.325358390808
2210.1917	752.75604	3055.0823	1057.097	2203.4268	701.8789	2918.0256	1426.3389	719.7143	726.7	150000	2121.9284949302673
1681.645	802.9279	3167.6147	978.7995	1949.847	749.34784	2899.1436	1211.2009	529.1111	643.7	155000	2211.8137154579163
2277.688	503.81607	2938.6094	1636.171	2891.1902	3.5216715	2897.0598	2886.1938	742.0	1000.0	160000	2306.5296738147736
