AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
117.65647	33.774136	241.82584	78.59538	134.82462	8.491401	147.7685	115.78955	23.446009	26.7	5000	4.696441411972046
121.73007	33.446457	231.55925	78.383385	138.33481	10.03236	146.49014	114.7678	24.287806	27.5	10000	9.453649520874023
126.232414	38.391975	260.83667	78.467865	130.56631	13.542051	145.6466	99.43889	25.155779	26.0	15000	14.240697622299194
123.02152	38.406784	297.91714	78.41605	136.72568	8.108514	146.8443	121.03704	24.52451	27.1	20000	18.860373497009277
118.35687	37.527653	280.0177	78.23685	139.16273	15.927566	157.62189	99.21772	23.632076	27.6	25000	23.481035947799683
225.59308	83.768234	367.42993	82.58656	123.027115	0.35228702	123.547134	122.63213	43.155174	26.0	30000	110.18837547302246
294.55807	96.91984	644.73615	129.18877	446.1146	80.0897	633.89764	348.26917	57.42529	86.0	35000	199.08756947517395
396.3468	97.290016	778.9773	242.1456	304.62817	17.614313	337.411	280.7931	78.171875	61.6	40000	288.32933807373047
403.868	119.939255	900.2594	252.25519	454.95215	89.85136	652.75397	366.71692	83.40678	91.6	45000	378.9650230407715
463.95938	114.201965	1061.1106	299.19562	466.3126	94.257416	643.68933	370.96332	93.74074	94.0	50000	468.30277919769287
498.7794	134.47008	1046.2523	306.6749	470.72134	78.13277	584.31726	281.83237	102.354164	95.5	55000	560.619512796402
509.71777	137.01291	885.2783	341.45667	490.66885	77.138565	694.90894	411.43665	107.17391	101.8	60000	652.3584291934967
507.8984	103.1776	843.21234	347.0601	557.4888	79.19556	689.9081	450.0567	103.5	107.8	65000	743.721387386322
565.7666	155.22906	1165.8987	354.56985	640.7629	206.53404	1110.1067	472.07526	114.39535	132.7	70000	833.6729090213776
624.7263	201.18343	1405.3588	399.8112	524.87897	63.168255	647.0285	391.23593	126.975	111.3	75000	917.6839678287506
637.41125	145.16585	919.82983	400.92245	648.70135	121.86758	841.1572	439.4672	128.42105	126.3	80000	1002.6296482086182
622.235	159.48099	1091.554	423.0767	638.45233	126.18477	949.7597	508.0647	126.125	127.3	85000	1086.9246888160706
623.77466	159.92215	1073.2927	430.0987	643.82336	53.04254	718.40643	534.6086	121.414635	120.7	90000	1171.3787093162537
590.02637	206.4335	1730.3699	323.13733	500.11115	54.357304	580.23785	371.49942	116.48837	96.2	95000	1255.5280780792236
600.65625	131.80748	1029.276	378.40796	714.31366	102.18372	937.98627	593.9328	122.19512	143.9	100000	1340.5812516212463
699.4027	178.37979	1145.4384	424.54327	561.16425	9.993807	586.14996	544.6209	138.77777	104.7	105000	1425.0294539928436
597.7318	135.84424	1039.2689	377.68817	615.8912	61.85158	719.46936	537.50354	116.4186	114.9	110000	1508.1887545585632
640.8	140.99162	959.0306	396.4552	614.6439	59.40492	765.26337	557.2802	124.525	114.5	115000	1592.5066165924072
605.9943	115.07155	880.2359	402.68344	624.5515	49.513184	698.5922	537.4347	115.976746	120.9	120000	1676.7882125377655
675.5498	199.74887	1346.7115	389.3288	871.6004	135.1837	1179.9838	624.87317	133.13158	174.9	125000	1762.118813753128
705.1825	158.62991	1051.1282	438.94464	797.1962	82.86283	883.7609	643.1629	142.71428	159.3	130000	1848.6031835079193
688.4655	155.25383	1032.0325	414.41107	645.6536	54.619186	732.00903	567.3282	137.13889	121.4	135000	1931.9516792297363
742.3803	148.06168	1140.4867	408.80896	703.60236	15.623921	725.4485	684.22736	144.02856	131.8	140000	2017.249567747116
719.1269	191.49765	1115.9535	376.02948	775.9259	175.5897	1048.88	501.1317	142.4	156.5	145000	2102.073632955551
749.22687	143.35313	1063.2183	471.18295	679.80884	57.654984	790.14545	602.14734	146.85294	127.0	150000	2185.8472056388855
793.42194	192.99957	1363.472	445.44025	785.6098	201.84648	1105.4879	526.99084	156.625	157.1	155000	2270.820709705353
874.01953	244.46158	1438.841	457.23	850.23517	199.30887	1374.0181	699.48395	170.03448	165.3	160000	2355.613691329956
812.031	170.4305	1254.8849	458.79443	714.18066	65.246864	814.42694	590.6828	155.36363	133.0	165000	2439.529673099518
896.67584	286.1564	2043.7224	497.08847	666.9635	106.00148	898.9524	543.77954	174.78572	130.4	170000	2524.388785123825
830.3094	213.05934	1314.2708	471.962	892.296	226.84729	1519.6799	686.63196	162.06451	175.9	175000	2609.492071390152
1006.75006	275.72308	1685.1787	618.2852	701.573	44.002014	783.29803	636.751	193.76923	131.5	180000	2693.8999836444855
997.14777	329.12146	1912.984	624.5649	719.10925	31.987347	780.72235	669.34595	194.5	135.6	185000	2779.9949667453766
1235.796	439.48822	2683.2454	708.3323	891.717	73.168816	1033.5255	796.73456	242.31818	167.8	190000	2865.801340818405
1115.2965	358.84045	1815.9873	500.7636	684.4378	192.02232	1179.5007	514.44476	220.26086	128.0	195000	2950.4538609981537
1260.5852	699.2803	3365.6685	631.51263	1045.376	305.84845	1681.9572	698.958	249.8421	199.0	200000	3036.8681507110596
1450.7596	562.29	2419.6328	687.54407	1056.6787	367.365	1990.2373	605.5376	286.33334	200.7	205000	3123.035877227783
1302.2067	496.23035	2425.3853	548.77057	1054.4529	364.5644	1789.4735	578.0524	258.05264	197.3	210000	3209.8970642089844
1426.0067	499.4311	2729.2556	835.9094	739.21387	241.5978	1429.5732	566.8064	283.5	138.6	215000	3295.25954246521
1185.8215	503.9416	2724.838	677.80444	1094.5455	359.41296	1798.1736	549.47064	236.95238	206.2	220000	3382.6627793312073
1259.508	418.16016	2408.4414	677.2628	1239.4005	389.1417	2186.5078	723.1188	246.85	232.3	225000	3468.8637342453003
1224.6775	459.41248	2504.4238	598.7914	1154.6779	185.61353	1486.6597	852.91876	242.04762	222.3	230000	3554.6368927955627
