AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-1.9390208	8.074633	7.2542315	-16.096672	-4.299316	9.134588	8.746998	-25.928566	1000.0	1000.0	5000	16.314776182174683
9.072894	3.9030743	14.230075	3.7161982	-9.301813	9.350983	1.9674541	-25.992464	1000.0	1000.0	10000	33.1634635925293
-6.6076517	10.015004	2.5131629	-25.692059	-8.879133	11.738184	20.342241	-24.623356	1000.0	1000.0	15000	49.52734589576721
4.9096613	8.663927	13.947702	-5.4769797	-8.276766	12.068671	23.267231	-23.243462	1000.0	1000.0	20000	67.20808720588684
7.0429826	7.0774016	14.174438	-6.408494	-6.990203	7.770848	4.360091	-22.333025	1000.0	1000.0	25000	85.38274836540222
26.25475	3.4474766	31.082378	20.894297	27.071497	2.6430655	34.363613	24.637705	1000.0	1000.0	30000	191.52791595458984
18.885956	6.994622	28.208208	9.788849	12.137676	1.283528	14.208085	10.091033	1000.0	1000.0	35000	296.4608335494995
20.296638	5.0670996	30.272686	16.567532	34.21415	1.3584818	36.475597	31.836123	1000.0	1000.0	40000	404.7070016860962
24.967709	6.2530036	33.943325	17.335354	36.69066	0.866497	38.535065	35.413555	1000.0	1000.0	45000	513.3928582668304
32.467472	1.8617222	35.877083	30.729454	36.539837	1.002556	38.349533	34.668713	1000.0	1000.0	50000	621.5274629592896
32.076622	1.7116101	34.73639	29.892738	41.04003	0.9622784	42.72798	39.79861	1000.0	1000.0	55000	731.0554089546204
31.8332	2.273958	34.192814	28.753036	40.28	1.7913661	42.434357	36.93808	1000.0	1000.0	60000	842.0861306190491
32.721104	1.5696176	34.982018	31.060457	39.61486	1.9339579	42.740303	36.621395	1000.0	1000.0	65000	948.0359125137329
31.451298	1.7258366	33.778606	29.873634	37.08817	1.1568736	38.935143	34.878525	1000.0	1000.0	70000	1046.2785212993622
28.840809	7.4967775	36.031395	14.850179	35.821968	5.05069	41.065804	25.799686	1000.0	1000.0	75000	1143.1217687129974
31.029068	3.9816773	35.423954	25.786541	38.053703	3.193167	42.435913	33.20868	1000.0	1000.0	80000	1244.6699900627136
32.333977	0.9546096	33.33122	30.798004	41.39895	1.2640593	43.693943	40.009533	1000.0	1000.0	85000	1347.2570452690125
29.413685	2.2836797	33.874016	27.80386	41.411743	1.8969078	43.12304	37.09932	1000.0	1000.0	90000	1447.6955199241638
