AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1.8512232	7.0989857	45.163055	-11.87989	-1.384447	0.20602888	-1.0769727	-1.7490904	20.387754	17.0	5000	2.0411248207092285
2.1584775	6.0861583	32.350113	-10.186038	-1.3590195	0.13133337	-1.108653	-1.5346906	21.177965	17.0	10000	4.0188775062561035
1.6533425	5.688947	30.035217	-12.148892	-1.3921878	0.15284972	-1.1907868	-1.7163135	20.09237	17.0	15000	6.0358030796051025
1.6469436	5.141845	25.983107	-9.661157	-1.4236742	0.13807051	-1.1859331	-1.6662178	19.750988	17.0	20000	8.02843976020813
2.3340478	7.291636	72.66631	-10.075171	-1.4660742	0.22159843	-1.0768335	-1.7301539	21.208511	17.0	25000	10.031559705734253
185.50264	203.51016	765.16455	-30.05372	274.7303	8.621407	286.11188	258.38306	184.41667	154.2	30000	100.80901551246643
283.85345	226.35162	845.15985	0.030541183	259.85507	116.11597	441.2319	61.96446	276.7	254.3	35000	195.08871412277222
160.47958	83.799286	318.0608	13.532824	262.01614	141.67583	488.13074	51.51687	213.30435	256.1	40000	284.6007468700409
176.6808	149.75948	776.4727	-21.534887	331.87073	42.59498	390.69308	273.05884	168.6	202.6	45000	373.0911908149719
270.08127	171.04271	915.87244	-24.361465	298.40494	36.19616	357.24344	237.00378	228.59091	209.4	50000	461.55197763442993
251.99757	109.0946	387.83563	-111.36581	237.3897	34.035732	321.458	183.99916	187.62962	137.2	55000	549.1251063346863
295.58163	112.118355	520.97003	51.99176	338.771	76.15928	483.39374	220.81178	212.86957	222.3	60000	633.9831454753876
291.69052	123.1211	521.62714	30.026745	332.63586	97.03893	501.26276	182.4901	192.12	215.1	65000	722.5085074901581
222.39862	151.58989	595.7748	3.115273	559.48193	148.43695	869.226	335.73544	169.06667	365.7	70000	812.4730744361877
