AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-58.86791	112.096	30.122765	-387.17606	961.986	16.910622	986.3249	935.42993	192.33333	1000.0	5000	17.44910717010498
-47.526085	94.15823	66.03645	-353.11157	967.2775	16.329197	984.60535	933.8359	153.0303	1000.0	10000	34.82405948638916
-64.59739	108.989204	5.248171	-379.5854	958.506	18.410845	975.8673	920.7415	187.88	1000.0	15000	52.131903409957886
-52.37851	76.05229	19.86903	-294.36917	971.3467	6.587139	981.3848	957.8029	156.62857	1000.0	20000	68.93646478652954
-71.3646	100.4007	8.443015	-363.99475	970.8042	16.503902	989.19525	933.8889	201.64	1000.0	25000	85.98181509971619
561.00244	465.3847	860.52246	-364.80722	925.6164	23.8086	948.2645	861.6774	1000.0	1000.0	30000	149.7099530696869
820.45593	57.531933	878.3308	738.7332	885.2842	110.40512	1031.9431	685.8388	1000.0	1000.0	35000	213.39700627326965
483.66046	315.17404	814.48047	-116.608475	472.90143	173.96062	778.44086	174.04724	730.2857	698.7	40000	274.1363275051117
304.33212	185.30058	507.9829	13.851351	311.10165	142.54866	595.05176	150.43816	639.4286	655.1	45000	333.9824631214142
401.7172	193.87906	766.6585	140.43726	407.8716	87.84948	565.16986	283.624	910.8333	1000.0	50000	396.63005208969116
502.2384	231.57007	722.3077	105.35333	833.64844	46.452793	914.36206	769.0753	829.5	1000.0	55000	458.9517786502838
261.13644	114.92902	396.01773	79.06031	652.7057	168.55043	825.403	292.92755	520.25	929.0	60000	522.5585126876831
448.53595	282.89435	863.25696	78.11307	592.92596	181.32285	863.7942	356.2427	629.625	732.3	65000	582.0873432159424
653.2224	276.56592	939.3281	306.7646	372.21094	347.53574	1112.3713	23.545677	1000.0	471.0	70000	636.782840013504
455.55576	309.45084	1163.0225	150.01465	499.46918	243.76491	1077.4166	189.72008	523.8182	557.6	75000	692.2757704257965
464.46103	338.03058	1387.3983	110.511185	673.9024	397.54425	1286.1616	91.27394	458.45456	679.5	80000	748.239706993103
481.91647	447.54065	1540.7467	167.54047	1345.513	395.79483	1799.6166	594.44366	635.1429	938.5	85000	810.1188230514526
549.60315	359.59808	1475.8267	113.394165	930.91833	357.46628	1616.7438	378.81866	565.7778	807.7	90000	870.3044974803925
