AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
16.139397	12.850818	129.05566	3.8017862	30.503439	0.50940233	31.228449	29.692732	20.983192	42.2	5000	1.3409407138824463
16.995173	15.218552	135.79047	4.982819	30.410107	0.37349147	30.930412	29.564629	21.059072	41.7	10000	2.6254725456237793
18.93405	18.856365	175.68794	5.2153397	30.60867	0.2998717	31.169039	30.173765	22.669683	42.1	15000	4.050819396972656
19.962898	21.182072	172.37033	5.3882337	30.822598	0.37954086	31.426105	30.27732	23.373833	42.5	20000	5.536842584609985
18.515697	20.745125	193.65889	5.300443	30.629635	0.27563035	31.230295	30.198229	21.982378	42.1	25000	7.022128105163574
55.94576	57.877556	211.4144	5.4157968	175.36	1.3087935	177.30746	173.25356	31.11875	85.6	30000	49.77841854095459
171.78123	5.786935	186.62135	156.70886	174.05843	2.2284338	177.43332	168.32518	84.91525	86.6	35000	92.23452496528625
239.41426	59.44655	369.6004	158.98509	273.37384	7.7621017	291.17947	265.33722	113.795456	129.2	40000	135.12787413597107
241.15645	51.691383	323.75635	135.86299	369.21103	7.9395146	381.90726	357.8053	113.48837	204.1	45000	178.84450221061707
283.3763	22.694567	362.15588	244.40768	275.20526	3.004332	281.95734	270.90234	129.25641	118.1	50000	219.9270966053009
278.5116	7.0319657	291.78052	261.48407	267.24878	6.240081	284.22705	261.82773	119.97619	112.5	55000	260.61397194862366
268.3096	17.153027	313.32507	241.57213	285.29468	1.8436239	287.71164	281.3475	112.931816	120.0	60000	301.0022587776184
282.78772	7.9529653	297.24625	264.80368	281.95032	5.123108	286.5112	270.84683	117.906975	129.3	65000	341.5872452259064
281.9727	33.877476	329.13306	168.26607	300.87753	4.7084646	313.27594	294.3121	121.31707	120.4	70000	383.19093322753906
298.14096	20.926056	322.0442	220.65578	318.95804	2.373804	322.39133	313.99466	126.35897	135.1	75000	424.04118609428406
306.5064	12.348686	325.70908	265.8848	299.63165	3.7627232	306.6334	293.59546	129.97437	127.5	80000	465.16916060447693
337.4944	51.402554	441.1442	252.04332	387.96118	18.482342	414.61847	343.51187	169.75862	207.0	85000	507.08654737472534
368.25815	46.430824	487.5397	316.98453	404.7574	16.205044	426.23938	367.84854	184.81482	228.2	90000	548.7172522544861
393.89438	55.009205	493.72855	267.63004	346.90543	66.75529	418.11172	162.86214	210.58333	171.4	95000	590.0033147335052
325.45914	66.57618	506.70032	161.00394	272.3921	5.7117505	280.2328	257.6284	150.18182	115.9	100000	630.4339399337769
265.44992	27.081644	326.16855	233.6002	251.87216	4.239656	255.63583	240.53549	114.13636	105.9	105000	670.6403622627258
367.05765	121.270294	701.4414	238.87022	330.91177	15.60853	371.81213	314.74768	195.96153	142.4	110000	711.6073985099792
275.0008	148.97092	723.35144	10.66335	14.643011	0.12253393	14.786608	14.447991	127.71795	15.0	115000	751.9108338356018
307.4546	46.83144	324.75333	16.293743	315.01276	4.426266	322.63797	308.76895	124.75	130.1	120000	792.6177864074707
314.55002	5.805604	328.68884	294.60886	304.62866	2.4089336	307.6686	299.978	129.1842	129.9	125000	833.1718864440918
307.76913	6.465261	321.92447	294.9778	304.17316	5.2109804	314.1266	296.51562	127.55	126.4	130000	873.3855173587799
308.08087	6.8608627	320.7905	293.32147	306.01575	2.0939944	310.0446	303.1579	127.61539	127.5	135000	914.3549182415009
303.49762	66.06886	329.99597	16.076523	323.77905	1.527626	325.67825	321.6778	125.475	137.2	140000	955.6020014286041
293.95438	79.10709	344.78668	12.5012245	317.03296	3.4210079	322.48987	311.25385	122.875	130.6	145000	996.6969752311707
