AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
119.37733	35.639805	270.33783	78.636444	156.67868	22.773026	173.20819	111.44928	23.827751	31.0	5000	4.416551113128662
123.60922	33.072094	234.37732	78.586624	159.35356	16.99963	177.64062	112.1618	24.59804	31.5	10000	8.860682964324951
122.65231	37.312397	283.78088	83.168724	147.94482	24.090693	171.45738	111.77419	24.370731	29.5	15000	13.224478960037231
122.19983	35.09032	252.10985	78.47435	151.65736	17.401665	172.22266	111.412476	24.32683	30.1	20000	17.572670936584473
122.254	35.895473	256.72446	78.39125	149.84616	20.339096	168.90843	111.99126	24.45366	29.8	25000	22.013278007507324
162.73314	76.431816	277.29733	66.5891	249.45476	9.15468	273.92407	241.26772	32.23871	46.4	30000	78.38711905479431
132.62186	74.69675	275.2682	71.0413	73.82823	2.3842242	75.89814	70.77684	26.17801	15.6	35000	133.49074792861938
78.82089	5.0706105	110.923164	71.24027	87.41993	1.8245116	89.74735	85.342766	16.569536	19.5	40000	187.82541155815125
84.59523	5.678303	102.25284	75.68977	77.98031	2.7981086	83.65796	75.383026	18.671642	17.0	45000	242.17046856880188
89.51175	7.3768673	129.79861	75.80789	92.892075	4.1471624	97.48091	80.95882	19.641733	20.7	50000	296.00017404556274
111.17567	32.80024	241.06514	81.32246	124.76843	21.786951	170.73695	98.23629	24.281553	25.4	55000	349.9251403808594
139.6917	28.25128	271.71182	93.13996	119.9176	3.693325	127.176994	113.951546	28.448864	24.2	60000	405.0426824092865
132.3368	56.90449	333.38498	75.8257	82.36874	0.17044301	82.63965	82.05315	26.590425	17.0	65000	458.71123909950256
158.34535	103.501686	386.70282	76.12978	302.22287	15.193492	326.48514	279.56934	30.361963	56.8	70000	514.3905634880066
80.17034	29.133394	328.29532	70.99446	75.33816	1.3450274	75.95281	71.3134	16.76412	15.9	75000	568.5125288963318
