AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-3.412508	3.937166	1.3102247	-9.381506	6.660549	16.189512	26.061668	-22.249676	1000.0	1000.0	5000	5.1645166873931885
-2.4210353	10.417195	17.600702	-10.764716	-2.430263	19.753042	24.832535	-26.144245	1000.0	1000.0	10000	10.339151859283447
-5.629339	16.043211	9.054952	-34.247932	-3.465165	18.668718	24.439053	-23.538906	1000.0	1000.0	15000	15.549617290496826
2.0348976	8.090217	8.013685	-13.626036	-6.9370475	17.167011	21.99727	-25.612104	1000.0	1000.0	20000	20.734191179275513
5.208655	2.4614887	7.9390864	0.62032336	-9.49563	14.551741	22.633757	-24.455439	1000.0	1000.0	25000	26.089768171310425
22.871313	6.814335	28.89702	10.704016	38.272972	7.537476	45.419918	25.548456	1000.0	1000.0	30000	68.75746417045593
22.34138	6.161051	34.27712	16.788698	32.32686	6.4440093	38.975166	21.837925	1000.0	1000.0	35000	111.59392523765564
24.236435	4.5150084	31.9726	19.52729	14.693544	10.6138115	38.663574	7.6550107	1000.0	1000.0	40000	154.98316264152527
38.154167	20.030605	76.491905	17.701283	66.08873	2.8686085	72.27828	62.404198	1000.0	1000.0	45000	197.24821043014526
44.27029	12.377201	54.872448	28.307928	27.885784	3.0440588	31.040216	20.061672	1000.0	1000.0	50000	240.25485014915466
33.06456	6.655387	41.819447	24.332825	44.740498	1.1885498	46.542183	43.323257	1000.0	1000.0	55000	282.2032811641693
37.018303	5.1463323	41.01216	27.215076	39.665874	1.9506155	41.661682	35.888195	1000.0	1000.0	60000	324.9412941932678
40.409313	6.828339	52.42122	32.465214	52.055016	1.8604069	56.56503	49.158367	1000.0	1000.0	65000	368.05867981910706
43.32471	2.3496642	47.52521	40.493572	34.90764	8.264249	40.811546	11.123363	1000.0	1000.0	70000	410.47260904312134
38.052574	3.4730828	42.998093	32.18716	47.21363	0.7832519	48.430073	45.80324	1000.0	1000.0	75000	452.8637809753418
39.94877	7.667804	50.803684	31.510298	52.5877	2.1422715	55.70694	49.697998	1000.0	1000.0	80000	495.03972840309143
40.91221	5.819813	49.63361	31.946838	43.997852	1.3285139	45.419533	41.32351	1000.0	1000.0	85000	537.2379536628723
38.163857	5.797698	46.33263	29.720825	47.33314	1.1671318	48.98734	44.880352	1000.0	1000.0	90000	579.7513914108276
42.00975	3.4254482	47.016582	37.236504	42.923977	1.0506032	44.952976	41.662445	1000.0	1000.0	95000	621.8452658653259
44.173817	3.8782682	48.87132	39.598106	51.83316	2.2039108	56.267757	49.23327	1000.0	1000.0	100000	665.0995025634766
43.237785	3.6028552	50.28909	40.309517	45.161953	1.4471644	47.96512	43.618633	1000.0	1000.0	105000	707.5997688770294
48.55498	3.4251606	52.37959	44.117775	50.674606	2.0448704	53.292107	47.664864	1000.0	1000.0	110000	750.1820096969604
47.136887	1.5645509	49.547997	45.256985	51.37434	1.9203621	53.197094	48.086903	1000.0	1000.0	115000	792.6290724277496
49.912163	3.91769	56.4975	45.039616	56.139076	5.8440866	65.77648	49.718327	1000.0	1000.0	120000	835.0896904468536
50.61894	2.9570186	54.504776	45.389286	50.766724	1.9014498	54.80403	48.53008	1000.0	1000.0	125000	877.3513276576996
50.167435	2.3882427	52.47131	46.678207	56.236275	6.7938943	76.246895	52.192078	1000.0	1000.0	130000	919.7089710235596
47.426178	1.4426879	49.97317	45.48543	51.794262	1.7495953	55.172325	49.304554	1000.0	1000.0	135000	961.9921402931213
47.597237	2.3638697	52.158764	45.659622	54.458508	1.5879521	56.426323	51.09401	1000.0	1000.0	140000	1004.896722316742
49.13695	4.827477	55.362953	43.407967	53.715405	2.5750842	57.13336	49.227066	1000.0	1000.0	145000	1047.8344337940216
50.94209	5.5549765	56.813652	43.66785	62.080505	3.609927	67.038345	56.292133	1000.0	1000.0	150000	1090.5746154785156
46.570198	6.880784	59.689095	40.696377	49.060024	1.758968	52.21845	46.773743	1000.0	1000.0	155000	1133.8242797851562
48.690598	3.3508773	53.575375	44.70019	49.702557	2.0789745	54.308926	46.93366	1000.0	1000.0	160000	1176.6309592723846
49.072285	3.8183553	53.63283	44.496883	45.754692	5.4742002	56.90122	41.95386	1000.0	1000.0	165000	1218.8328170776367
47.30996	1.709906	50.258533	44.989735	47.298946	4.151838	53.364105	38.278294	1000.0	1000.0	170000	1261.3110690116882
47.293068	5.4713354	51.383713	36.5946	53.941795	1.187895	56.458797	52.29313	1000.0	1000.0	175000	1304.8120095729828
46.101578	2.3247757	49.309063	43.589622	51.72475	5.445572	64.76593	43.77253	1000.0	1000.0	180000	1346.9401795864105
57.542824	2.2390907	61.61276	54.932632	59.048573	3.0239558	63.5544	54.42918	1000.0	1000.0	185000	1390.0034053325653
59.875313	9.035678	70.94358	48.69725	56.047462	12.632105	78.12246	47.133415	1000.0	1000.0	190000	1433.3134882450104
46.13932	1.965268	48.66685	43.10248	53.54765	7.875617	64.00153	44.8061	1000.0	1000.0	195000	1475.715030670166
46.647915	3.2295718	52.13521	43.158916	50.859657	8.785179	62.378925	40.99174	1000.0	1000.0	200000	1518.1394126415253
59.227417	9.330716	67.85181	44.210842	48.302364	2.5488536	50.63044	41.146946	1000.0	1000.0	205000	1561.0059707164764
64.231606	5.4266653	74.02555	59.711666	60.803917	3.4311178	64.94943	52.93218	1000.0	1000.0	210000	1603.5035302639008
67.92665	4.570036	73.42824	62.413715	66.220146	8.798571	74.68089	41.822277	1000.0	1000.0	215000	1645.9953429698944
65.21531	2.5731027	68.36121	61.33014	68.947784	4.9960275	76.07882	61.810963	1000.0	1000.0	220000	1688.140781879425
63.364697	3.116844	67.1157	58.517952	50.266815	6.7865534	65.08923	43.909298	1000.0	1000.0	225000	1730.9495401382446
