AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1.6927264	5.387535	26.38217	-11.598004	32.84785	2.461304	35.94159	28.318724	20.668049	57.6	5000	1.5261690616607666
1.6279383	5.3685665	28.595993	-8.203115	31.69701	2.661684	34.979103	27.696772	20.012	56.0	10000	3.0367462635040283
2.0639067	6.561064	43.36291	-11.236907	33.34212	2.5972364	37.704445	28.476986	21.105486	58.7	15000	4.550808429718018
1.7164356	5.4063225	26.909828	-9.066752	32.46632	2.4344468	35.218628	26.799286	19.86111	57.2	20000	6.1943817138671875
1.8377011	5.3302507	24.702385	-17.201757	32.81382	2.436857	37.20703	28.149298	19.5625	58.3	25000	7.989758014678955
75.41433	169.6488	773.83527	-14.526354	564.42	292.41757	1128.9257	253.24783	138.77142	460.2	30000	51.39645171165466
240.38338	322.4082	1063.7224	-9.4592495	122.17653	120.667145	395.1609	-20.36834	254.05	306.7	35000	92.53209853172302
202.81532	198.22256	1089.5984	-13.209826	243.61545	95.7273	392.4087	97.10114	193.61539	260.2	40000	134.7160620689392
246.163	220.83887	801.81244	-31.602804	108.66068	94.476074	318.91614	17.51269	237.4762	160.0	45000	174.48443007469177
215.82344	88.71634	440.28754	24.118994	200.72452	33.641045	242.50839	128.50925	171.82759	125.0	50000	213.97022819519043
181.93434	52.22606	387.66205	95.28325	142.8104	15.57255	178.43115	123.746376	121.82927	83.0	55000	253.5898962020874
216.98839	136.68741	991.61694	110.8589	206.71622	23.890194	250.92831	169.49297	135.64865	107.6	60000	293.28742146492004
271.57953	170.45558	1096.4371	93.81262	289.30298	52.43243	368.6716	198.18468	156.3871	152.9	65000	335.20081996917725
301.89743	158.76399	1017.4528	103.67743	321.0362	148.22018	549.2374	78.08209	166.09677	162.2	70000	376.23667311668396
353.13763	235.1899	860.7035	98.5234	366.32077	240.9815	978.27466	136.516	191.5	217.7	75000	417.52437114715576
554.3795	406.84012	1484.9246	130.80284	399.5843	384.39474	1469.6799	116.8983	310.6875	194.5	80000	457.4063763618469
236.6543	123.11227	622.86414	48.280144	240.39575	127.11949	380.9476	7.4095154	131.37143	162.6	85000	496.7133297920227
231.70845	138.03313	703.34564	-35.58068	129.60287	26.607136	185.69344	94.95741	135.375	77.7	90000	535.8234236240387
223.3175	120.73574	458.5731	-10.237399	259.6778	132.79854	477.07736	-39.385574	157.9375	214.6	95000	576.0003521442413
269.4209	114.50029	494.3129	-4.765707	227.06259	121.07484	367.24066	3.5573528	196.68	178.6	100000	617.4510235786438
359.95132	149.92	826.2969	175.0584	458.94327	147.7568	644.94006	199.44543	205.20833	211.6	105000	775.8665502071381
353.1165	186.77151	721.3136	38.754333	446.08038	118.26725	645.9653	239.42786	205.91667	213.4	110000	814.6236114501953
397.9988	307.8178	1455.0574	67.179214	892.10565	625.75854	2036.6694	227.10805	191.46153	473.7	115000	857.3331959247589
492.79022	349.56958	1160.8772	98.97989	224.48503	126.274506	445.58728	-49.006916	248.85	180.0	120000	901.0781028270721
574.0076	415.76828	1438.1842	-56.85097	268.4294	311.46625	1127.9291	-6.4747224	389.6154	324.9	125000	945.0450541973114
579.2895	377.32376	1292.7751	45.842194	507.7982	342.13068	1142.6213	136.64923	394.53845	264.1	130000	990.2376563549042
459.22577	298.9807	879.6855	13.627707	348.19098	182.70007	609.82996	145.05925	339.0	300.7	135000	1036.1628172397614
579.40295	227.04282	877.69696	135.70471	674.3624	250.74992	1223.2521	155.36124	272.3889	335.3	140000	1079.2388651371002
641.4065	182.74637	904.1429	183.77815	698.15814	249.36452	1102.9662	188.33469	269.6111	318.1	145000	1123.6676502227783
566.4054	281.6238	1078.4252	94.82815	628.54254	225.38026	903.24146	227.21893	234.18182	275.8	150000	1167.350667476654
548.6997	282.0679	941.42645	13.389821	692.2274	129.18544	936.27936	394.2277	223.86363	258.7	155000	1208.4861586093903
537.60486	265.8671	996.0376	21.90714	681.8465	152.61366	833.45575	276.5203	227.13637	236.6	160000	1249.1378302574158
665.28827	166.50775	1037.5924	191.01552	780.93176	83.7607	925.7112	636.7034	243.42857	282.2	165000	1289.822610616684
719.5483	110.18527	916.4259	518.5525	716.1157	58.949234	811.264	597.91656	275.1111	271.3	170000	1330.1132273674011
659.08624	169.67822	843.4712	195.50368	674.642	80.89218	790.8916	500.58548	261.8421	251.4	175000	1371.3365049362183
704.4127	90.06128	922.3485	452.10428	675.4042	140.52496	907.09576	332.9231	273.83334	237.5	180000	1413.4367575645447
632.5346	199.72754	1140.8671	226.72012	380.73566	436.38153	1336.3784	101.18868	226.04546	155.0	185000	1454.183577299118
638.57056	238.92484	1164.0497	222.70312	708.97986	253.35101	1031.4851	113.36657	227.60869	229.3	190000	1493.6713335514069
697.51587	194.58208	987.7038	193.88937	373.16623	300.20197	848.6794	100.54341	245.8421	152.0	195000	1531.6678359508514
825.7456	170.65712	1228.7461	510.51456	965.224	174.51537	1318.0226	793.7502	305.70587	322.9	200000	1570.68803024292
786.3457	260.23074	1048.8666	102.79357	810.3385	274.66064	1116.3629	229.84175	273.77777	273.1	205000	1784.4852142333984
777.6037	224.38672	1027.9773	230.3763	922.21954	138.1997	1083.7092	641.19543	284.16666	322.7	210000	1823.4029705524445
602.97864	288.98883	954.077	91.46083	523.61475	275.77573	851.10297	109.705734	234.14285	189.6	215000	1862.1984651088715
787.2866	279.4018	1324.3519	102.43038	840.74133	50.335907	912.2638	755.0614	267.78946	298.7	220000	1903.6104283332825
857.4241	219.69041	1296.9062	279.80292	532.93414	419.16202	1087.6268	97.78606	284.94116	179.7	225000	1943.013507604599
830.9253	307.52667	1267.7968	104.35562	1214.9163	423.95358	1900.5834	626.8366	271.26315	380.3	230000	1984.4750108718872
955.66565	253.18198	1580.5	671.0147	985.27576	326.24356	1593.8827	440.19315	331.73334	332.2	235000	2025.5351452827454
