Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-79.83108	129.0077	7.9477997	-395.35138	-1142.4495	1203.8003	-43.18674	-2776.5852	220.52942	436.0	3999	7.5803094	9.018176	45.32769	-8.47558	-10.158211	0.6831941	22.560559511184692
2	-58.393032	91.22694	24.611774	-351.3855	-38.72729	13.738699	-20.697824	-58.093277	157.15384	15.4	7999	116.70523	67.777664	314.55377	-96.59018	-130.77312	26.754786	41.084145307540894
3	-157.20525	494.16446	38.851723	-2639.8054	-677.1518	1130.3138	-34.022778	-2938.1865	132.0	229.4	11999	533.9665	161.70914	906.34534	-284.30322	-567.7748	418.27792	63.9826877117157
4	-419.63315	839.65717	-22.477726	-2720.119	-353.2462	827.3187	-26.724882	-2830.6787	157.82759	127.4	15999	814.26953	76.850174	992.56824	-484.95157	-833.2522	750.2803	88.24617862701416
5	-264.0465	595.5038	-22.800797	-2564.9983	-71.47548	69.58592	-12.449929	-225.57945	108.02702	32.0	19999	874.22705	82.96976	1032.2369	-697.2488	-890.5107	932.7717	110.65015459060669
6	-218.24553	436.28363	-17.168463	-2081.5063	-418.50894	660.8938	-32.411858	-1874.0634	114.63333	237.0	23999	895.93097	90.02128	1056.47	-609.9468	-913.4666	1057.2347	136.78483295440674
7	-493.63138	769.1238	-18.692465	-2055.6497	-292.4994	629.2978	-6.910635	-2149.8816	268.35294	146.2	27999	928.82605	85.20518	1073.8276	-701.91455	-945.87463	728.7229	162.39508318901062
8	-392.31982	686.146	-16.329433	-2100.5798	-399.19626	595.3666	-86.94137	-2131.379	202.375	195.0	31999	925.4274	81.38328	1116.6879	-655.1559	-939.95795	711.159	188.0193955898285
9	-263.97266	469.77768	-12.830871	-1984.1892	-687.2604	971.27075	-22.237873	-2248.5461	142.45161	318.2	35999	887.5469	81.14713	1063.4852	-495.35635	-900.52386	755.7822	214.74513936042786
10	-405.0658	668.0682	-4.757425	-1939.635	-795.3071	902.94086	-14.655785	-2182.4453	212.1579	376.5	39999	830.96545	76.77117	983.7657	-460.55695	-842.22736	632.5322	242.70854353904724
11	-714.034	908.75287	-16.19629	-2057.9297	-448.0749	791.56085	-19.780327	-2695.2534	359.16666	194.3	43999	761.4802	69.76149	898.9468	-598.3285	-771.01575	479.9101	267.98326563835144
