Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-277.1219	105.27736	-152.49072	-442.69025	-535.66064	42.39253	-485.42307	-598.28296	1000.0	1000.0	3999	5.6889386	5.4214907	30.380947	-4.7245	-7.3054233	0.5111403	22.282774209976196
2	-318.66937	84.61712	-199.90887	-424.36874	-453.63593	6.075157	-445.67648	-466.68405	1000.0	1000.0	7999	53.0197	21.336025	107.94148	2.385098	-57.3014	2.2015731	49.84476184844971
3	-253.3872	149.66396	-41.590927	-462.4598	-337.0346	234.06921	52.272266	-612.7891	1000.0	1000.0	11999	101.90036	12.208686	137.21187	62.496235	-104.39942	3.348887	77.86778140068054
4	-428.36572	185.61612	-164.4504	-652.2771	-428.43295	125.882996	-226.62726	-619.02594	1000.0	1000.0	15999	100.00115	11.034607	128.54466	70.347404	-100.8187	3.2722046	108.12644839286804
5	-154.3521	267.89755	202.77943	-441.44885	410.19034	256.01398	688.47845	-92.94906	1000.0	1000.0	19999	97.93449	10.097867	131.3653	66.55229	-99.042244	3.159652	138.65964698791504
6	409.51154	580.4478	1146.6417	-428.6554	-494.06805	175.3941	-240.75294	-719.15265	1000.0	1000.0	23999	92.72081	13.555508	147.77515	54.190617	-93.746994	3.9244246	168.77950143814087
7	-452.6504	150.89693	-288.97733	-697.4756	-125.175125	64.903206	-4.1964417	-197.32669	1000.0	1000.0	27999	103.91163	20.761345	157.02794	44.08049	-105.65714	4.933359	198.30495524406433
8	293.5433	700.6096	1385.5186	-398.33542	1109.5707	500.02704	1466.6403	-100.45805	1000.0	1000.0	31999	106.25374	26.512497	167.1148	52.969864	-107.53486	3.8891282	227.95681643486023
9	567.6914	511.458	1292.058	34.486042	896.621	504.38974	1554.3583	52.75962	1000.0	1000.0	35999	107.61438	32.423836	182.02913	51.528328	-108.90758	4.2105117	257.42624402046204
10	1778.2095	400.08795	2332.0232	1252.8944	439.01138	546.34106	1137.7562	-284.40118	1000.0	1000.0	39999	115.97671	39.5719	200.93173	49.159534	-117.4565	5.266537	287.50005435943604
11	2383.289	554.9626	3162.9011	1799.2301	3255.4106	81.806915	3390.4668	3073.487	1000.0	1000.0	43999	131.20454	48.81453	241.93834	46.940723	-132.92029	6.947493	316.7117977142334
12	2992.9595	304.2753	3389.8774	2619.4602	3493.6099	318.24408	3730.0352	2576.2568	1000.0	1000.0	47999	153.6255	60.806324	273.41235	48.33887	-155.6368	9.295095	345.80218982696533
13	3390.3687	240.42421	3696.9988	3068.69	3611.444	152.4792	3959.8325	3451.1062	1000.0	1000.0	51999	182.86346	71.57643	318.8899	49.77949	-185.1788	11.012324	375.181898355484
14	3597.187	257.75964	3824.51	3178.9148	3773.48	225.29655	4016.0237	3282.0232	1000.0	1000.0	55999	214.94743	75.08832	345.63586	63.83947	-217.45084	11.52128	405.07082080841064
15	3684.8328	82.44177	3811.201	3580.874	3977.6433	341.63187	4350.3916	3123.8625	1000.0	1000.0	59999	247.03806	73.37498	371.18643	87.74731	-249.6786	11.859613	434.6377818584442
16	4032.2915	151.87775	4223.9414	3822.3323	4161.338	189.33417	4421.5137	3774.715	1000.0	1000.0	63999	277.30087	70.50133	397.68365	120.06452	-279.886	12.359451	463.65255093574524
17	3893.7275	48.896957	3959.1702	3823.0344	3245.498	573.709	4261.0073	2293.623	1000.0	1000.0	67999	304.22504	70.03858	427.7905	147.62485	-306.80685	13.077498	492.78857707977295
18	3787.591	325.65714	4093.2625	3242.4412	3937.7427	231.64948	4293.5273	3579.7495	1000.0	1000.0	71999	328.82047	69.49621	451.5234	170.24815	-331.382	13.41642	523.1397202014923
19	4227.8877	149.99591	4439.7324	4017.0046	4360.708	636.6638	4832.9897	2589.3242	1000.0	1000.0	75999	350.8579	69.14611	475.0387	190.63644	-353.4467	14.355938	553.1985948085785
20	4459.094	62.61721	4547.055	4390.3906	4387.126	142.162	4565.7524	4108.0527	1000.0	1000.0	79999	371.82535	68.736435	493.60773	212.07312	-374.3869	14.5175085	582.5772573947906
21	4223.1353	222.33305	4473.7085	3874.9722	4243.4053	525.6605	4730.384	2771.217	1000.0	1000.0	83999	391.26007	68.228546	505.50476	227.00635	-393.85947	14.861142	611.9619016647339
22	4350.9946	233.17288	4578.285	3989.1528	4803.383	107.03148	4981.66	4610.667	1000.0	1000.0	87999	408.6939	66.794395	529.9803	249.0057	-411.27234	15.628867	641.355149269104
23	4448.2163	339.78162	4955.27	4003.8381	4621.6396	517.2236	5097.8613	3215.5208	1000.0	1000.0	91999	425.03345	65.42917	546.5878	264.53384	-427.58667	16.09374	672.223635673523
24	3631.0615	1930.6895	4865.808	289.54153	4873.0396	146.41339	5060.422	4489.6367	1000.0	1000.0	95999	438.97177	65.89025	559.6407	280.71283	-441.50818	17.177324	702.7946088314056
25	4941.509	196.0243	5168.738	4674.6772	3265.9292	2051.8267	5249.4175	28.56845	1000.0	1000.0	99999	452.0822	67.436226	575.7044	295.3889	-454.60278	18.163942	732.0509819984436
26	5432.0703	244.76837	5852.638	5243.1924	6178.5317	146.72945	6392.3223	5940.662	1000.0	1000.0	103999	465.85123	72.623276	622.4173	230.26434	-468.45303	21.055586	760.9429388046265
