Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	19.494553	20.705256	160.36127	5.4021297	38.685444	1.0418239	40.39746	36.883987	22.134832	22.0	3999	12.345141	10.104579	68.39404	-15.968922	-14.200405	1.5338577	11.979557275772095
2	18.443792	14.80078	115.690025	5.201804	7.5182333	0.747631	9.035745	6.8117394	22.903955	11.2	7999	59.15682	28.255312	188.5302	-59.58825	-65.218956	20.784105	29.42718243598938
3	44.48353	75.485504	375.76376	5.686215	215.04471	37.91885	260.69693	106.47826	32.727272	107.4	11999	156.41606	56.166878	351.23065	-131.78499	-170.22585	105.86788	49.122018814086914
4	204.28117	125.271515	527.7194	31.960861	354.02588	121.46163	554.71375	261.59216	100.55	159.0	15999	265.57367	70.93064	509.5355	-316.0981	-281.75284	247.73183	71.47871255874634
5	81.51619	168.87758	755.0743	-1.5574732	199.46016	90.95529	406.27533	98.84436	87.478264	231.5	19999	332.70825	85.12022	590.0688	-230.46733	-348.33987	318.27164	94.2837347984314
6	322.67892	202.2017	850.5781	89.02489	302.19656	27.237408	340.31485	265.74225	187.19048	144.3	23999	391.55957	96.29831	663.027	-189.2278	-408.0345	383.4452	116.48456645011902
7	253.72777	131.58908	630.32324	30.96047	277.93076	5.40739	286.62823	267.21228	132.06667	124.9	27999	460.8496	111.232765	734.042	-285.7897	-478.64383	511.16138	137.84669423103333
8	218.46468	101.92555	337.90637	18.849234	123.641464	1.0502857	125.41215	121.65624	100.325	72.9	31999	530.21014	140.19353	815.9594	-467.28287	-549.181	643.39233	158.8346393108368
9	202.5622	32.667824	256.41046	138.49413	266.57047	20.310278	322.31323	249.23508	99.975	121.4	35999	594.56744	173.94002	956.0171	-341.4212	-614.9516	736.09686	180.7819435596466
10	247.1003	135.3075	755.44543	9.043717	167.05388	116.258995	338.1916	9.000702	139.34483	135.4	39999	657.36414	207.87245	1044.9532	-428.16116	-678.426	821.6823	202.71266674995422
11	299.6414	156.97981	870.8866	8.973987	320.44373	23.422934	362.50443	268.95978	170.91304	129.8	43999	697.9484	234.98979	1154.2001	-424.10168	-718.4567	877.47644	224.0527880191803
12	335.00134	147.77133	612.1198	21.706404	596.1336	255.75478	907.7282	261.7283	175.17392	447.5	47999	721.4087	254.42258	1269.7571	-789.13965	-741.286	922.55566	248.91212821006775
13	229.42944	230.97266	1063.463	13.886935	1149.3934	480.43552	1760.4014	477.3249	145.60715	655.2	51999	763.3935	255.57524	1252.5424	-1463.2394	-784.6926	1078.8457	276.4335825443268
14	472.39743	419.4743	1963.2229	138.97408	666.26263	199.86661	1039.6753	331.90628	229.17647	315.3	55999	820.0682	269.98627	1293.4113	-584.35944	-841.3843	1199.58	300.87345910072327
15	270.80002	86.59197	435.40747	109.89062	140.6099	6.0074944	151.36769	132.88501	151.7037	76.2	59999	863.29974	280.34	1299.3893	-879.03577	-885.21954	1338.5627	321.4155671596527
16	373.63293	222.1791	984.4257	137.7856	659.41833	76.95644	689.35657	429.2795	161.83333	207.7	63999	904.9514	278.61514	1332.6614	-792.59406	-926.8514	1545.7928	344.0718319416046
17	483.95508	127.58562	833.01624	290.84143	442.86597	50.654926	526.3821	344.1725	178.56522	165.7	67999	917.99646	298.22363	1323.4161	-676.26746	-938.8286	1487.1063	366.10134387016296
18	419.17215	209.5035	815.8012	73.83889	395.50284	107.61606	601.6025	313.0739	167.16667	168.4	71999	918.8811	315.61035	1282.9478	-565.0677	-939.35785	1385.1711	388.0080077648163
19	487.75342	170.92398	743.30817	123.36354	231.4524	123.40968	537.17346	133.72112	245.0625	133.4	75999	907.2194	315.93735	1281.3574	-593.1613	-926.29895	1365.2114	409.6926805973053
20	437.54163	261.32617	849.1014	56.329117	528.5101	25.249088	557.7163	477.02008	203.89473	201.2	79999	894.2251	306.367	1308.7705	-661.4444	-912.4947	1305.4935	431.62192821502686
21	625.50854	185.57068	1083.4344	325.3222	624.94836	104.336395	760.12933	407.4116	234.05556	222.0	83999	886.1257	304.32358	1258.2195	-799.7459	-904.73285	1263.4663	454.3936197757721
22	617.16486	294.36172	1249.6888	250.18083	676.901	248.89178	1160.5071	351.46533	266.86667	286.5	87999	871.0438	305.6117	1268.0197	-770.474	-888.0209	1216.1937	477.63277435302734
23	467.08002	312.04037	947.9574	38.356407	148.70126	187.16243	664.54	12.020717	452.75	123.1	91999	848.5634	295.8646	1247.6013	-913.8651	-864.9759	1085.9501	499.01052737236023
24	113.65733	214.81015	986.56476	10.151635	121.06071	47.59904	195.01627	34.434834	149.17241	212.0	95999	838.313	285.22632	1215.3169	-738.401	-854.76526	1157.56	521.6451332569122
25	56.968464	57.753098	279.2628	12.834208	142.33827	272.54343	951.0661	28.079838	118.617645	182.8	99999	846.9148	281.92773	1207.0496	-695.7614	-864.4731	1232.4087	543.6472091674805
26	342.75687	398.00504	1455.4482	42.762924	472.84625	77.655426	601.0827	307.59433	244.25	166.2	103999	854.2542	276.0531	1213.3372	-764.09717	-870.8572	1213.5383	565.73078083992
27	282.76035	120.47834	543.7708	43.09907	607.3713	258.1076	1235.1766	360.32742	121.21212	216.0	107999	847.1308	278.68918	1218.8848	-639.7006	-863.3052	1171.6975	588.4868910312653
28	714.2296	534.4013	2524.3394	90.31906	766.83014	290.9389	1135.6881	377.6775	243.5625	266.1	111999	836.782	280.37454	1205.9274	-624.02216	-852.7221	1153.2122	611.9860157966614
29	701.6486	389.62778	1988.5471	332.39154	533.74023	121.382416	696.8758	252.62434	280.4	235.1	115999	819.64325	272.76413	1159.5424	-604.7188	-834.39746	1066.9924	634.8074550628662
30	773.0299	593.72705	2098.5273	48.24258	1520.2096	397.70773	2182.6191	877.40326	389.9	883.5	119999	798.7099	258.15527	1127.7721	-539.404	-813.17944	1004.4844	665.1152777671814
31	793.76306	383.0522	1633.3982	353.99255	619.57263	269.74667	1124.1176	293.83923	394.9	376.9	123999	786.3568	249.24428	1097.8988	-656.7832	-799.9581	963.0606	689.5162227153778
32	597.04614	270.56577	1014.86206	244.5416	464.41718	171.89975	758.1547	263.17407	403.3	321.6	127999	768.86615	237.70122	1092.9551	-491.94025	-781.54913	903.35785	713.3376777172089
33	721.85284	696.67896	2454.1528	10.370646	521.0722	223.30467	861.19965	170.41231	298.23077	210.5	131999	752.5113	228.90172	1076.4957	-583.66095	-764.72	900.5173	736.0978903770447
34	1510.8572	819.3076	2339.1616	406.1726	622.2545	299.13495	1027.1091	372.68228	660.6	219.5	135999	739.18695	212.56659	1086.1393	-1458.9698	-750.7938	823.6525	758.8791179656982
35	1920.7689	265.2046	2195.8987	1643.8723	1838.6768	267.7657	2093.2068	1072.345	1000.0	1000.0	139999	719.94086	198.83774	1089.128	-575.09424	-730.5758	718.61285	789.9105851650238
36	1454.2689	374.55612	2052.2527	892.36584	1812.3961	426.95605	2426.6165	1048.4457	844.0	813.0	143999	698.4922	191.42921	1030.6976	-688.07007	-708.5452	683.92926	818.8150777816772
37	1256.124	747.25616	2509.6255	282.53433	31.084946	1.7096733	33.58922	27.824299	580.375	19.8	147999	680.7305	184.85545	979.8255	-565.65027	-690.1881	640.728	839.75648188591
38	775.33344	785.52435	2725.053	31.228271	914.9217	515.9334	1993.1611	59.391758	307.3846	350.0	151999	664.61865	178.20485	932.0883	-600.6922	-673.896	597.8309	863.810165643692
39	723.16174	447.3236	1737.3145	43.10077	386.1047	420.9006	1251.7552	64.264694	291.14285	169.1	155999	646.30963	169.10748	883.2211	-499.0468	-655.10785	563.6564	885.9261145591736
40	1018.8965	601.51715	2198.8076	245.60411	2026.927	1078.0305	3111.92	334.30273	413.25	669.2	159999	632.5177	155.12953	867.01514	-478.54	-641.097	533.3168	913.0413947105408
41	1316.4451	1021.1098	3224.2031	67.441574	1108.3942	734.07544	2537.7764	550.4259	465.7	427.4	163999	620.5012	143.889	858.87616	-535.27264	-628.7981	499.30157	937.9736368656158
42	750.4851	696.2618	2137.0503	5.7519684	1227.5602	781.0957	3115.9568	249.77306	265.13333	423.4	167999	610.8748	141.99788	834.3698	-542.4336	-619.0433	487.03073	963.0902407169342
43	826.25696	525.50104	2146.4785	154.02142	412.36215	126.55682	735.43286	240.35576	285.2857	148.4	171999	599.25464	142.70682	810.68115	-465.86188	-606.78595	440.9469	984.2778050899506
44	907.252	473.7579	1599.9369	243.09451	824.6122	326.34314	1432.1101	502.85373	321.66666	302.3	175999	582.91254	141.60184	803.7643	-570.0233	-590.02936	439.33362	1007.7233934402466
45	885.74896	699.81305	2758.4197	184.4908	714.1877	510.24896	1347.5715	26.336767	335.25	221.6	179999	567.65674	140.89377	783.5121	-490.23575	-574.42615	407.06024	1030.6982910633087
46	1521.7747	784.9824	2611.5696	558.6812	1417.8455	967.26074	2737.4888	82.72991	508.125	544.2	183999	554.9473	136.14738	767.5873	-591.1397	-561.53906	380.96246	1056.7574563026428
47	695.3169	788.87976	2662.859	95.48723	516.6113	355.1207	1254.7789	207.92572	286.35715	239.4	187999	541.6108	132.39871	745.1386	-476.98886	-548.0983	354.85974	1079.7270183563232
48	331.72824	283.72775	1118.8967	121.059494	1630.7877	636.3771	2432.0789	703.2858	185.28572	677.9	191999	530.59045	129.05414	733.6459	-467.3846	-536.9673	356.9102	1107.328225851059
49	749.9485	528.62805	2126.9924	209.96606	2281.2715	483.82034	2965.8286	1389.2892	320.0	764.8	195999	519.34424	125.32226	704.4431	-424.11777	-525.2631	321.2645	1135.8874218463898
50	1179.3768	974.5232	2557.7468	25.44553	507.12784	451.14133	1532.2054	238.59511	470.75	204.3	199999	506.56787	121.27388	686.65533	-405.14783	-512.2635	301.11383	1158.1780178546906
51	1388.1306	562.4853	2607.9724	564.3748	1176.0193	674.5446	2796.7515	575.23334	513.1111	426.4	203999	495.71408	117.9004	658.4396	-434.18088	-501.26575	289.5216	1183.0691628456116
52	1548.613	493.46674	2285.4226	975.41034	1794.3177	797.1111	3214.7815	663.53253	597.1429	566.4	207999	488.3737	117.10599	653.8691	-361.22595	-494.00342	278.215	1209.7099132537842
53	1509.4147	839.4092	2797.395	393.78455	3273.019	78.25126	3354.8564	3091.3254	507.25	1000.0	211999	480.99045	114.138954	648.02545	-433.7931	-486.231	251.38544	1240.7991726398468
54	1331.5784	577.41974	2301.4329	490.44373	1118.823	309.23907	1727.0382	626.0658	423.44446	335.3	215999	474.31793	112.60974	633.4429	-399.4358	-479.57806	238.95312	1265.0450291633606
55	1123.0779	422.3039	1699.4327	18.409618	1199.6492	740.4675	2691.033	443.4557	353.66666	388.5	219999	471.9484	112.825745	640.9439	-439.35907	-477.22446	239.61293	1290.4446938037872
56	561.3684	878.8627	2896.972	19.177805	154.86325	4.077477	161.32086	148.95671	200.25	84.4	223999	470.20007	113.36043	626.4476	-427.24838	-475.52292	254.2533	1312.032396554947
57	1796.4464	790.7132	2959.3057	349.48114	2158.8196	551.99585	2950.85	859.106	599.5	704.7	227999	466.7644	110.140816	634.2715	-362.2611	-471.71338	240.81479	1341.1248388290405
58	1473.3242	735.8654	2824.107	39.251507	2893.232	23.09774	2943.355	2860.1438	485.5	1000.0	231999	458.98087	107.0426	620.8	-420.75497	-463.6067	231.88094	1372.7409846782684
59	1522.0182	721.8226	3175.9536	710.9587	1248.7091	114.96887	1577.2823	1159.9563	471.55554	378.7	235999	451.56863	104.90003	612.7978	-327.94843	-456.1031	212.0513	1397.937795639038
60	771.25793	266.24765	1235.8174	299.45428	1061.7344	341.17834	1607.4551	560.14264	255.375	311.8	239999	447.19403	105.31295	597.09705	-490.36295	-451.73132	208.80116	1421.8108930587769
61	1103.5938	257.77707	1466.5729	390.55652	871.9414	153.0853	1142.4991	647.7781	332.75	262.2	243999	442.58215	104.77103	592.3779	-332.1505	-447.0104	193.6395	1445.2923154830933
