Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	126.20723	35.286118	263.40848	78.44324	213.23286	4.7884016	220.06174	202.82628	25.158228	43.3	3999	38.271072	22.250114	93.45926	-14.131182	-39.654713	4.4227834	17.321247577667236
2	121.016846	38.481964	260.99112	78.50568	66.130905	0.29736727	66.40545	65.369896	24.13253	14.0	7999	77.33646	38.850212	165.5953	-42.10255	-78.62918	13.428472	37.43375205993652
3	89.26539	32.586567	197.30939	65.27494	66.15855	0.33515832	66.44333	65.1968	18.470047	14.0	11999	70.62071	43.121456	178.44102	-25.892359	-70.10407	21.239918	59.703176498413086
4	70.18011	2.4378617	77.08848	65.84482	66.10189	0.19134152	66.394745	65.66687	15.018726	14.0	15999	51.473057	28.551533	134.1978	-4.6747656	-50.325657	8.1133	83.42070531845093
5	70.22543	2.539254	76.98537	66.0064	66.19942	0.119184464	66.368515	66.04628	15.018797	14.0	19999	50.9253	29.659494	137.30545	-9.475514	-50.041008	6.0127325	107.80827212333679
6	70.413574	2.4310596	77.13012	66.57127	66.161514	0.07536717	66.32077	66.054405	15.083019	14.0	23999	49.560863	29.988708	139.26758	-9.893942	-48.792282	5.0860624	132.106778383255
7	70.07157	2.6508904	80.87753	65.48831	66.52001	0.7281676	68.68975	66.08877	14.988764	14.1	27999	47.43657	28.839241	136.08084	-10.469647	-46.799557	4.124275	155.58003544807434
8	70.150925	2.5623078	80.93739	66.07357	66.10447	0.1056134	66.34939	65.949104	14.977528	14.0	31999	45.64308	27.596601	133.95178	-5.7982087	-45.078976	3.4300826	178.8550763130188
9	70.50238	2.4338696	76.842354	65.72136	66.20178	0.10652733	66.360756	66.058365	15.124528	14.0	35999	43.98507	26.304703	129.56204	-7.0683513	-43.459522	2.8022175	202.87621092796326
10	70.384224	2.5473766	77.04365	65.77726	66.204475	0.1305261	66.39659	65.9771	15.064151	14.0	39999	42.823994	25.273064	126.389725	-7.436638	-42.357544	2.4050498	227.79087328910828
11	70.198074	2.3404808	77.160034	66.20023	66.19487	0.059017304	66.27508	66.09269	15.037594	14.0	43999	41.73128	24.39274	121.89804	-5.7132845	-41.288937	2.113659	251.54561519622803
12	70.47832	2.4933894	76.952896	66.46435	66.226875	0.10250027	66.37733	66.046425	15.1169815	14.0	47999	40.856895	23.637247	117.866005	-3.0583344	-40.437572	1.87853	276.0073320865631
13	70.43369	2.4096787	79.87497	65.91705	66.23097	0.10622937	66.38649	66.03455	15.109848	14.0	51999	40.01709	22.905571	113.875694	-6.071155	-39.60317	1.6274339	300.7473635673523
14	70.172844	2.5056028	76.94763	65.702484	66.149254	0.086506195	66.313805	66.045456	15.022472	14.0	55999	39.25031	22.047873	109.19502	-5.5883694	-38.87571	1.4426246	323.87057662010193
15	70.146545	2.5954869	77.041336	66.00024	66.18326	0.09998219	66.32581	66.005486	15.0	14.0	59999	38.969845	21.920063	109.35808	-6.3666406	-38.605194	1.3306342	347.3977220058441
16	70.124466	2.4097183	77.059906	65.60111	66.19245	0.106449455	66.35139	66.04558	15.011236	14.0	63999	38.49349	21.456438	103.64432	-5.6477184	-38.11861	1.1888735	371.7678587436676
17	70.194435	2.4144676	77.0311	66.15542	66.13454	0.08451325	66.30496	66.04222	15.011278	14.0	67999	38.117012	21.077595	105.04363	-5.822333	-37.75351	1.1255525	395.32978653907776
18	70.56802	2.4869475	81.24719	65.89782	66.18749	0.13162118	66.371315	65.96469	15.109434	14.0	71999	37.798744	20.771679	104.59823	-6.6108284	-37.443203	1.0249846	418.4833471775055
19	70.12247	2.5120924	76.910416	66.19088	66.65416	1.4554904	71.00956	65.99674	14.973783	14.1	75999	37.47303	20.458572	100.252045	-2.0906646	-37.13136	0.94762814	441.8257300853729
20	70.4427	2.6309545	80.97804	66.61937	66.13968	0.29190567	66.33763	65.32123	15.083019	14.0	79999	37.2161	20.283775	98.272545	-3.9044762	-36.86894	0.86468303	464.97154092788696
21	70.19167	2.5056803	79.95216	66.084595	66.2474	0.12227603	66.4629	66.087685	14.981274	14.0	83999	37.04232	20.17084	98.38802	-4.194237	-36.702957	0.84033567	488.5308907032013
22	70.08739	2.6306925	81.22582	66.11295	66.174255	0.11638818	66.40252	66.030205	14.973783	14.0	87999	36.815937	19.929068	92.70582	-3.0012336	-36.480537	0.7771251	513.0599718093872
23	70.67997	2.4612458	76.89719	65.85078	66.23598	0.10993242	66.45666	66.1188	15.174242	14.0	91999	36.735115	19.890373	95.73965	-3.4076746	-36.402065	0.78189945	537.6988935470581
24	70.35015	2.574965	76.902245	66.31012	66.251335	0.093326814	66.38107	66.06664	15.052631	14.0	95999	36.66411	19.78109	94.87557	-5.7322645	-36.33166	0.746495	563.7851557731628
25	70.11904	2.3666272	76.65438	66.38291	66.233475	0.11743634	66.41257	65.998604	15.018797	14.0	99999	36.540462	19.700134	92.941025	-7.8958907	-36.209858	0.70903534	587.8289988040924
26	70.02793	2.5171545	76.596596	66.27485	66.19769	0.08579632	66.31007	66.04534	14.955224	14.0	103999	36.436134	19.613913	96.00374	-2.5319164	-36.11011	0.68557876	612.8232364654541
27	70.35783	2.2828434	76.93807	66.23703	66.22028	0.14718279	66.43602	65.94925	15.060377	14.0	107999	36.366817	19.567785	95.22256	-5.280158	-36.049835	0.68207574	637.991712808609
28	70.47508	2.407424	76.98449	66.20882	66.69092	1.3990787	70.87141	66.00787	15.101887	14.1	111999	36.24066	19.536118	101.57164	-3.3655334	-35.91611	0.6651672	663.2127513885498
29	70.29413	2.3012328	76.978	65.9415	66.17864	0.09424338	66.35269	66.04506	15.056391	14.0	115999	36.103046	19.38686	96.115166	-5.2721653	-35.78333	0.6452194	688.111810207367
30	70.22396	2.4114838	76.64707	65.79983	66.19176	0.08857802	66.27764	65.97397	15.030075	14.0	119999	36.140774	19.387644	98.46294	-2.274688	-35.829956	0.64393294	712.5130214691162
31	70.60338	2.4910347	80.742195	65.96707	66.08586	0.1487501	66.375084	65.78592	15.121212	14.0	123999	35.97256	19.280622	95.22438	-3.9160242	-35.662018	0.60221255	737.6227524280548
32	70.30281	2.2740872	76.60803	66.36017	66.197205	0.6305118	67.81895	65.107056	15.045113	14.1	127999	35.95674	19.282942	93.22171	-7.760258	-35.65425	0.60704845	761.181158542633
33	70.14557	2.519608	80.27448	65.60264	66.21685	0.09951407	66.3314	66.04192	15.022472	14.0	131999	35.88068	19.267786	94.02723	-5.257038	-35.566704	0.603974	784.9088957309723
34	70.39127	2.4629848	77.18376	66.38884	66.17753	0.10940325	66.3786	66.024925	15.064151	14.0	135999	35.82921	19.195547	93.27112	-5.256823	-35.521202	0.6006565	809.1828067302704
35	70.15332	2.5090094	80.57862	66.30774	66.186745	0.10641156	66.33792	66.05561	14.996255	14.0	139999	35.78786	19.145008	94.417496	-3.798335	-35.490852	0.60161936	833.2539174556732
36	70.30804	2.5824277	81.03433	66.26728	66.18229	0.10929699	66.36489	66.013725	15.071698	14.0	143999	35.832012	19.128511	95.75894	-3.6546612	-35.54519	0.58701247	858.3336849212646
37	70.43723	2.6023228	81.302185	65.96716	66.64791	1.463037	71.03414	66.08039	15.098113	14.1	147999	35.72805	19.093918	102.44937	-4.5633044	-35.422493	0.55599487	883.2728056907654
38	70.355736	2.4074187	76.45537	65.68678	66.60998	1.4320624	70.89167	65.973694	15.052631	14.1	151999	35.704536	19.026525	91.97381	-2.8775048	-35.41112	0.56347406	908.1554675102234
39	70.34454	2.569075	77.013954	65.99315	66.20485	0.12313447	66.39696	66.01398	15.086792	14.0	155999	35.54906	18.978716	95.08715	-8.125663	-35.251965	0.537224	933.0080661773682
40	70.362206	2.587789	77.11461	66.01456	66.65404	1.5357504	71.169365	65.31917	15.071698	14.1	159999	35.62448	18.999779	91.857315	-6.1292043	-35.335754	0.5245177	956.9928159713745
41	70.20034	2.528304	81.38462	66.53409	66.195015	0.1343925	66.33777	65.97428	15.033834	14.0	163999	35.614338	18.97532	97.66722	-4.7600164	-35.32149	0.5501732	981.8665788173676
42	70.59471	2.461654	76.927246	66.360054	66.42308	0.5839599	68.133026	65.8864	15.135849	14.1	167999	35.47822	18.903114	99.02242	-3.051192	-35.185368	0.54264903	1006.6577126979828
43	70.15947	2.3508735	76.858925	66.36796	66.155075	0.21713346	66.39546	65.57864	15.007519	14.0	171999	35.428604	18.861946	92.93389	-3.712957	-35.136105	0.5252041	1030.9938910007477
44	70.50591	2.3682477	76.895164	66.1558	66.18361	0.09775458	66.35656	66.0445	15.124528	14.0	175999	35.457726	18.85388	105.20639	-6.694041	-35.168335	0.5230671	1055.7840027809143
45	70.31348	2.5138	80.47253	65.797325	66.20274	0.14147322	66.36647	65.96264	15.079246	14.0	179999	35.46604	18.878353	96.545555	-4.2297983	-35.180157	0.5289608	1080.4226772785187
46	70.52695	2.4556196	76.92791	65.97873	66.19925	0.1017369	66.32358	65.964035	15.101887	14.0	183999	35.38975	18.872618	97.543724	-11.557678	-35.092037	0.5080025	1104.1552290916443
47	70.49133	2.3941894	77.11608	66.05988	66.694305	1.4901357	71.14755	66.0315	15.128788	14.1	187999	35.322514	18.825706	93.26425	-6.1748037	-35.03424	0.50985223	1129.2253193855286
48	70.29993	2.6073089	77.04479	66.151215	66.18889	0.12737174	66.44926	66.02818	15.06015	14.0	191999	35.34083	18.765987	92.79212	-6.600658	-35.067135	0.5090113	1154.263833284378
49	70.67601	2.5075655	80.21238	66.54132	66.181274	0.26454976	66.37516	65.4136	15.186312	14.0	195999	35.316875	18.830915	92.63547	-4.123994	-35.028854	0.48789844	1179.2127182483673
50	70.29463	2.321657	76.67354	66.13498	66.27143	0.08447381	66.40702	66.1186	15.056391	14.0	199999	35.342793	18.818712	94.22965	-9.849543	-35.06639	0.5047	1204.791080713272
51	70.47365	2.525055	77.04771	66.02158	66.21226	0.13847141	66.37041	66.02145	15.094339	14.0	203999	35.354553	18.81023	94.387505	-4.2076325	-35.06837	0.49168608	1229.6582312583923
52	70.64283	2.5718417	80.64635	65.808304	66.179794	0.08143375	66.274414	66.06488	15.170455	14.0	207999	35.25435	18.728426	89.821594	-4.1069565	-34.977406	0.484091	1254.6235077381134
53	70.45937	2.4811506	77.13193	66.129684	66.682755	1.3702441	70.78729	66.01863	15.083019	14.1	211999	35.255436	18.718891	92.29657	-6.5216827	-34.976326	0.47001335	1278.8372130393982
54	70.10304	2.4723356	80.606804	65.95496	66.04561	0.4444084	66.4127	64.767975	14.970037	14.0	215999	35.27741	18.693607	93.32117	-8.824413	-35.002735	0.47873402	1303.1727595329285
55	70.5418	2.2935739	76.8794	65.97035	66.19071	0.12105956	66.38248	65.99127	15.094339	14.0	219999	35.229145	18.704292	91.81326	-17.94716	-34.95339	0.47922248	1328.434904575348
56	70.2911	2.5202558	76.94451	66.47644	66.18977	0.12252291	66.364525	65.99243	15.075472	14.0	223999	35.197765	18.667429	96.84614	-5.0520945	-34.91935	0.45956194	1352.6357946395874
57	70.27075	2.6208463	80.65771	66.347275	65.99874	0.43676388	66.246506	64.70938	15.041353	14.0	227999	35.146477	18.655859	90.492424	-7.92538	-34.87007	0.459974	1377.9172594547272
58	70.09236	2.5104551	76.90186	66.15297	66.11257	0.10018233	66.37471	66.03837	14.988764	14.0	231999	35.12863	18.615917	94.01191	-8.62619	-34.85662	0.4388061	1401.8525834083557
59	70.26614	2.4215887	76.85179	66.433624	66.101875	0.24215442	66.34423	65.44365	15.037594	14.0	235999	35.06953	18.611975	91.856674	-9.32819	-34.797344	0.45391342	1426.5282847881317
60	70.40175	2.2684095	76.59323	66.45503	66.16919	0.13660067	66.362976	65.96238	15.098113	14.0	239999	35.092747	18.563486	87.80395	-5.756309	-34.82357	0.42824706	1450.832406759262
61	70.37305	2.4617772	81.25285	66.2087	66.67813	1.3697104	70.78275	66.0877	15.071698	14.1	243999	35.09608	18.549171	92.05804	-12.444512	-34.82741	0.43292582	1476.0256378650665
62	70.37186	2.4444723	80.32583	66.055534	66.00737	0.40543044	66.320015	64.833305	15.041353	14.0	247999	35.144295	18.606266	99.55742	-3.290042	-34.87448	0.43849593	1501.3831679821014
63	70.14845	2.4279494	76.73686	65.73132	66.21205	0.096882075	66.346405	66.07578	15.007491	14.0	251999	35.072598	18.59653	91.24623	-8.218087	-34.806854	0.42788464	1526.7547874450684
64	70.22936	2.4407506	76.961586	66.169655	66.24408	0.11271344	66.410675	66.057915	15.0679245	14.0	255999	34.994	18.523478	98.02527	-8.455279	-34.728413	0.43471944	1551.1591217517853
65	70.3166	2.4223528	76.76128	66.294586	66.124504	0.29082614	66.37729	65.32711	15.090566	14.0	259999	35.03963	18.530447	89.20231	-7.0277643	-34.771984	0.4170921	1575.7727613449097
66	70.55433	2.292062	76.83923	66.35497	66.59766	1.5188813	71.11368	65.58925	15.162879	14.1	263999	34.901962	18.505741	105.64771	-7.3047624	-34.63828	0.4302307	1599.8356838226318
67	70.714485	2.3793888	81.08334	66.09242	66.673805	1.411695	70.894875	65.97558	15.170455	14.1	267999	34.985836	18.502542	88.476425	-10.347178	-34.721172	0.4092925	1624.7216832637787
68	70.32621	2.5531359	77.02171	66.3312	66.39598	0.8244917	68.73429	65.380646	15.079246	14.1	271999	35.022217	18.486347	103.75173	-10.365543	-34.760796	0.42628118	1649.0688807964325
69	70.250206	2.5085287	76.98606	65.27476	66.20934	0.07940078	66.3663	66.09223	15.045113	14.0	275999	34.961346	18.497509	93.98024	-5.339202	-34.698875	0.4189441	1673.9385511875153
70	70.121574	2.4505687	76.74484	66.10482	66.03188	0.42006573	66.41053	64.854256	15.0	14.0	279999	34.91842	18.49909	89.91105	-3.4418216	-34.66129	0.405306	1698.930852651596
71	70.09166	2.442416	76.69376	66.406425	66.127975	0.05144143	66.18243	66.02603	14.981274	14.0	283999	34.95669	18.496416	91.26675	-9.618273	-34.69388	0.4142497	1723.5968136787415
72	70.28434	2.4009738	76.92019	66.53658	66.20247	0.11200943	66.34471	65.9813	15.10566	14.0	287999	34.88784	18.500566	92.1142	-14.224869	-34.630795	0.40980223	1748.0779180526733
73	70.44517	2.5522585	80.661934	66.475006	66.72041	1.3942331	70.89271	66.007416	15.094697	14.1	291999	34.86627	18.455791	87.95573	-7.3628397	-34.608624	0.4067012	1771.8636920452118
74	70.22776	2.4629111	76.871086	65.56992	66.166794	0.10177387	66.322	65.95557	15.029963	14.0	295999	34.95751	18.492926	98.977356	-7.8617086	-34.70318	0.40375373	1796.968698501587
75	70.441536	2.4960184	76.915375	66.4523	66.559044	1.0174254	69.59063	66.03505	15.136364	14.1	299999	34.96494	18.480091	91.09494	-7.6739902	-34.69781	0.3884882	1821.2583465576172
76	70.25218	2.53119	77.08073	66.061806	66.136925	0.16994359	66.40986	65.736694	15.041353	14.0	303999	34.891327	18.417639	95.069756	-10.387047	-34.62951	0.3909248	1845.8892140388489
77	70.0477	2.3286242	77.06847	66.13887	66.129654	0.1133944	66.29711	65.94596	14.958801	14.0	307999	34.833527	18.424177	94.62416	-7.145175	-34.57189	0.41097736	1871.4742712974548
78	70.32417	2.4979796	77.090706	66.27804	66.20531	0.122936554	66.41074	66.00185	15.052631	14.0	311999	34.81791	18.382948	92.15607	-8.592551	-34.556076	0.38881743	1896.217845439911
79	70.3539	2.4346504	80.49984	66.42905	66.16503	0.10427184	66.369156	66.00258	15.06391	14.0	315999	34.89284	18.393084	88.20345	-8.388566	-34.6398	0.38252112	1920.284768819809
80	70.30922	2.478655	76.897446	65.63738	66.12676	0.24008426	66.441124	65.545555	15.0679245	14.0	319999	34.865158	18.40045	88.46249	-5.8393707	-34.613304	0.38279814	1944.7711441516876
81	70.32803	2.4670951	80.61912	66.42545	66.161095	0.10943595	66.401535	66.04865	15.052631	14.0	323999	34.84266	18.40166	88.21742	-21.766623	-34.58796	0.3772829	1970.4424543380737
82	70.468895	2.5235155	76.810295	66.208725	66.70204	1.394984	70.87563	66.03709	15.071698	14.1	327999	34.814266	18.384663	85.00069	-5.865081	-34.564587	0.37997547	1995.1221632957458
83	70.47647	2.587475	80.403275	66.01216	66.05094	0.52802485	66.41217	64.49733	15.101887	14.0	331999	34.890232	18.383743	88.57937	-6.065767	-34.63285	0.37655425	2019.563512802124
84	70.25537	2.589705	80.854675	65.57627	66.16258	0.11077154	66.3146	65.96228	15.056391	14.0	335999	34.764977	18.305334	90.165695	-9.376646	-34.509407	0.3727647	2044.788170337677
85	70.290565	2.4981413	76.74639	65.95148	66.232956	0.11640527	66.42569	66.08544	15.0679245	14.0	339999	34.815193	18.349386	85.859886	-6.449231	-34.559803	0.3670897	2070.336211204529
86	70.49419	2.3709319	76.988174	66.28479	66.21874	0.14140539	66.413574	65.95012	15.109434	14.0	343999	34.818073	18.37631	86.85994	-6.859806	-34.563915	0.37711823	2094.3133821487427
87	70.23618	2.3492053	76.79662	66.12842	66.69272	1.3530123	70.74388	66.05803	15.041353	14.1	347999	34.711334	18.348816	88.39297	-5.571822	-34.45833	0.37922284	2118.805671930313
88	70.6462	2.7350307	77.07225	65.969666	66.70482	1.3759617	70.81842	66.029465	15.166667	14.1	351999	34.739407	18.363804	89.5921	-6.4982133	-34.487453	0.3676646	2143.168614387512
89	70.61402	2.409251	80.96442	66.3934	66.221634	0.08413502	66.36732	66.07681	15.143939	14.0	355999	34.778244	18.33656	84.86937	-9.4230385	-34.53147	0.35382953	2168.052798509598
