Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6.874969	6.4748816	1.028937	-14.4569235	29.456812	0.5957349	30.71711	28.898464	1000.0	1000.0	3999	3.5368366	5.670105	27.316502	-13.912548	-4.368595	0.06486999	21.65850281715393
2	-5.55375	13.052291	10.965941	-19.78726	15.138849	1.4978004	17.81483	12.642498	1000.0	1000.0	7999	28.945873	16.222855	93.674034	-13.806971	-31.266285	0.21963793	47.53389501571655
3	5.790479	22.686537	44.12108	-14.822903	50.976776	6.3092313	63.977264	43.957123	1000.0	1000.0	11999	68.27744	19.414822	168.28632	11.57235	-70.07887	0.3859464	75.23817038536072
4	9.894625	9.416569	21.67405	-1.3674378	3.0294557	2.820224	5.6212487	-2.8558674	1000.0	1000.0	15999	81.78575	20.177597	164.99405	47.426983	-82.4351	0.1989074	104.32954931259155
5	1.4094627	1.4778643	2.6031737	-1.1112903	25.064363	0.8190304	26.284365	24.159395	1000.0	1000.0	19999	86.30867	19.069262	158.7859	51.428406	-87.07884	0.17415264	133.5879409313202
6	8.575842	2.0413027	12.037288	6.841259	17.351215	14.667391	30.157442	-5.5705094	1000.0	1000.0	23999	88.46696	17.316042	146.76608	56.830746	-89.0845	0.15082766	163.61950278282166
7	29.674559	3.3399258	33.028786	26.072258	0.105673134	4.3160973	7.105207	-8.342503	1000.0	1000.0	27999	83.37811	12.880106	132.55727	51.984943	-83.88303	0.12017508	192.91258573532104
8	27.78471	20.405584	60.8902	9.63602	17.651411	5.516979	22.29224	6.0959144	1000.0	1000.0	31999	78.11156	10.730881	117.65276	50.475998	-78.571884	0.11804823	222.34859585762024
9	25.343346	14.209857	47.710655	8.502772	6.9541655	3.0266154	11.571797	2.679144	1000.0	1000.0	35999	71.5443	9.350773	117.89003	43.667442	-71.94104	0.0978541	252.05707025527954
10	40.16891	4.561675	44.004257	32.514053	28.96026	1.255459	31.106762	26.232533	1000.0	1000.0	39999	67.39155	9.656296	119.99795	38.707893	-67.81985	0.109115906	282.5366895198822
11	5.3536243	6.4912324	15.97128	-0.25496605	24.336214	8.432966	45.488674	12.758698	1000.0	1000.0	43999	64.02722	10.046098	117.146416	35.91615	-64.42375	0.10477456	313.6488845348358
12	34.23674	2.60147	38.463963	31.385357	33.194046	4.0269933	44.385067	28.823057	1000.0	1000.0	47999	59.962784	11.04932	112.15358	31.418129	-60.25048	0.07005617	343.240437746048
13	26.471561	11.292202	38.55682	12.613613	14.823389	2.7326443	19.466446	10.91469	1000.0	1000.0	51999	55.294914	10.00331	98.69292	27.649326	-55.56147	0.06082403	373.45730352401733
14	19.709583	4.0440125	23.9946	14.191399	27.95552	3.124542	33.89089	24.549242	1000.0	1000.0	55999	50.870144	9.158543	83.67996	23.47396	-51.098625	0.05731436	403.6929135322571
15	37.64821	3.170755	42.428535	33.507015	15.761803	1.6734631	18.881178	13.590637	1000.0	1000.0	59999	46.24696	8.389631	73.6591	23.252426	-46.466183	0.048702948	433.1611256599426
16	48.53705	6.351834	59.513836	44.284416	41.762802	2.7202652	46.96035	39.428265	1000.0	1000.0	63999	41.618954	8.768693	65.90368	24.126902	-41.838585	0.041929152	464.1367611885071
17	33.76404	10.677323	44.567646	18.591013	42.06771	5.559898	46.155365	25.766918	1000.0	1000.0	67999	37.897995	9.809411	63.76201	21.951859	-38.103447	0.04098091	493.78072452545166
18	39.153633	6.7224226	43.67467	27.548002	37.653877	4.949245	43.34714	29.98201	1000.0	1000.0	71999	34.296307	10.8202	64.50051	18.7296	-34.477287	0.037266638	524.2900321483612
19	40.409466	9.728718	50.71612	24.4329	49.757484	2.3677468	56.57501	48.198215	1000.0	1000.0	75999	30.968155	11.366609	64.08231	15.760286	-31.133636	0.038700774	553.5950953960419
20	47.231625	6.5912485	53.14047	36.57689	40.202232	3.2208533	44.902866	35.200726	1000.0	1000.0	79999	28.313572	11.65466	62.656513	13.377462	-28.472958	0.036047235	582.9343917369843
21	38.36859	6.013478	44.435703	29.740993	34.43102	6.151328	46.897625	29.630955	1000.0	1000.0	83999	25.823895	11.7305565	61.841835	11.4017	-25.965845	0.033674944	612.4816205501556
22	41.53768	8.557206	54.00124	29.847816	20.80449	0.63289297	21.610926	19.921606	1000.0	1000.0	87999	23.707943	11.63642	57.981174	9.9167795	-23.857922	0.030916456	642.0456173419952
23	34.060974	6.2104893	44.599293	28.853872	40.187675	2.230103	42.43961	35.170074	1000.0	1000.0	91999	22.049482	11.561618	57.042545	8.129501	-22.174175	0.029348312	672.2238512039185
24	35.921387	4.1623654	42.144753	30.965225	41.50809	2.6873755	45.536316	37.415237	1000.0	1000.0	95999	20.150589	11.067437	54.297493	7.154599	-20.265194	0.0273709	701.9424734115601
25	42.732525	5.1733747	48.605854	36.845173	38.11866	1.5717262	39.883778	34.117752	1000.0	1000.0	99999	18.806034	10.75995	53.0966	6.1488414	-18.937359	0.026804607	732.1515157222748
26	41.929005	3.355144	47.094482	38.399246	44.279907	1.1436827	46.07543	41.932255	1000.0	1000.0	103999	17.721584	10.842715	52.178402	5.242465	-17.84325	0.02419071	761.857839345932
27	39.693645	3.8303576	45.63998	35.82947	35.337135	1.9989877	37.897194	32.889202	1000.0	1000.0	107999	16.561834	10.596218	49.682976	4.571822	-16.677107	0.024499137	791.8591358661652
28	43.23403	2.4349978	45.40627	39.37696	41.97548	1.5545032	43.6862	38.48733	1000.0	1000.0	111999	15.770815	10.592996	49.76649	3.908503	-15.884672	0.023443488	822.3204050064087
29	44.316093	5.429003	50.4666	38.765007	41.884632	3.1560278	44.161896	32.775238	1000.0	1000.0	115999	14.974489	10.3994255	48.862392	3.5487292	-15.083427	0.023375656	851.7794268131256
30	41.080097	4.576437	46.737408	36.414577	48.702766	5.601045	62.545174	41.471428	1000.0	1000.0	119999	14.261685	10.139878	47.72577	2.993284	-14.361385	0.022534506	882.2964041233063
31	46.83352	6.481112	55.468853	39.80372	54.39204	4.798214	58.81651	41.40322	1000.0	1000.0	123999	13.39283	9.6826935	45.744617	2.6125474	-13.487494	0.022850936	912.3582587242126
32	48.19609	3.8329291	53.677807	43.048023	39.386337	6.2834396	54.60815	35.23301	1000.0	1000.0	127999	12.955288	9.917265	46.61474	2.5606897	-13.069923	0.024132226	942.8586385250092
33	44.320545	2.9423609	47.257565	40.022717	40.912636	1.073121	42.395233	39.383385	1000.0	1000.0	131999	12.619898	10.329529	49.672836	2.4505157	-12.727159	0.02239447	973.9034798145294
34	42.124664	1.9041393	45.015667	40.23016	48.573555	1.2546924	50.53467	46.09342	1000.0	1000.0	135999	12.232557	10.383414	49.836586	2.220788	-12.322424	0.020723317	1004.116824388504
