Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.3831133	4.9641266	19.207098	-7.5329857	76.37623	13.356485	98.77982	49.41382	20.090452	189.6	3999	16.361443	13.885807	63.473705	-19.311872	-20.618887	2.2545125	16.300568342208862
2	2.9295673	6.415914	31.164684	-8.596224	607.71796	300.10614	900.1004	121.7626	21.95055	621.3	7999	91.74477	38.739937	197.988	-63.037235	-102.785934	39.01315	41.200090646743774
3	3.753844	19.970695	151.90787	-46.669228	-12.26074	2.7265773	-7.8843746	-15.86172	27.627586	65.9	11999	206.58278	59.654247	402.02576	-210.98268	-224.53085	184.48915	60.90372133255005
4	8.577936	92.86021	643.51935	-144.89691	3.1884995	0.8476898	4.7428765	1.9858034	66.55	19.1	15999	269.81656	76.72302	479.8824	-201.79037	-288.6371	260.0089	82.21269607543945
5	20.850204	96.226494	406.558	-80.59498	-9.29878	1.9357721	-6.2350755	-12.184191	91.09091	51.0	19999	351.5906	93.79836	636.9277	-208.07196	-371.59586	377.43494	104.33741307258606
6	53.283543	107.01564	425.7269	-55.965477	123.33876	83.42932	259.30145	14.63194	92.76744	94.1	23999	434.85397	122.303825	915.8444	-260.61557	-457.7448	642.66644	126.31941223144531
7	112.5491	78.11476	264.6539	-10.601455	52.52904	46.90751	133.85916	-2.443736	109.416664	94.8	27999	533.0164	142.48357	945.3705	-385.24594	-557.10767	890.0249	148.95128560066223
8	80.84963	118.00397	377.8087	-89.177246	65.74226	131.40808	394.1196	-82.96301	135.71428	192.9	31999	592.09283	150.41199	934.79425	-369.11575	-615.05023	984.8627	172.59909987449646
9	100.408615	125.07663	563.00854	-66.972916	101.78548	66.058044	212.59799	15.568117	179.73914	132.9	35999	632.0938	158.27	996.7216	-592.62823	-654.715	991.1456	194.97362399101257
10	100.809494	96.22777	369.64844	-14.52628	117.507675	89.20405	303.84863	6.5152307	110.702705	136.2	39999	675.4122	165.46979	1176.6163	-495.3962	-698.00275	1120.7343	217.63193321228027
11	89.542244	107.71529	350.92996	-69.30969	53.141254	99.32077	266.43646	-113.61117	149.62962	201.1	43999	705.68353	173.50769	1193.0553	-677.713	-727.5571	1131.1646	242.16149997711182
12	61.056538	166.27249	739.1114	-81.753685	-11.8953	4.6036034	-5.99454	-21.216927	166.75	35.5	47999	722.1048	180.71307	1208.908	-571.9	-743.648	1152.635	263.4136734008789
13	86.38335	179.94295	875.984	-68.04892	125.7974	13.955687	151.42563	95.063835	124.03333	86.2	51999	736.2916	187.20586	1274.8092	-651.03296	-757.415	1157.4847	285.15259408950806
14	274.6838	259.38867	940.08453	72.10705	20.948738	40.422325	114.92429	-37.749546	380.27274	88.4	55999	750.52106	194.71712	1275.888	-502.2136	-771.31915	1110.8389	307.6948776245117
15	52.60921	90.75424	227.81201	-171.89146	49.224495	102.78066	292.71063	-7.519135	134.56667	61.6	59999	758.63715	195.91249	1246.8398	-569.0246	-778.51135	1159.4395	329.9547646045685
16	139.0033	118.57144	538.4174	1.3846614	303.08942	178.56105	767.7021	57.729877	142.42857	183.9	63999	764.198	194.06651	1239.97	-380.7605	-783.60065	1181.35	353.90073800086975
17	172.00389	113.37574	441.8346	-43.704952	47.663197	113.9988	235.36462	-160.13445	150.53847	212.8	67999	760.1052	195.31848	1296.2495	-545.106	-778.3422	1122.6377	377.89254903793335
