Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-140.09944	321.03284	-22.399635	-2378.6702	60.35294	-0.008437191	0.91259146	2.185547	-2.234515	4000	-1.0681153e-07	24180.55	-0.07512378	-3720.8398	7.2955537	0.016193455	0.32025	28.0	6.32097315788269
1	-312.82913	678.459	-13.700322	-2400.9868	133.3	-15.366429	0.79274035	-7.312832	-16.27807	8000	7.8201296e-08	31769.8	-0.023402207	-2652.838	7.3020525	0.01819819	0.27775	6.0	12.10974645614624
2	-223.73892	485.42828	-28.638788	-2274.463	95.91892	-23.891768	0.09712625	-22.667875	-23.934303	12000	-5.4121017e-08	21238.19	-0.024491725	-1278.6836	7.244294	0.01737335	0.2415	7.0	18.033698558807373
3	-379.16287	732.25256	-23.522753	-2335.7961	171.39131	-29.26498	0.06513351	-28.170399	-29.293129	16000	7.6293944e-08	25135.676	-0.06129556	-1558.1602	7.1772313	0.016577482	0.27375	27.0	23.948607206344604
4	-160.73306	402.18405	-20.23357	-2201.2112	71.23637	-34.99519	0.0744286	-33.89516	-35.01644	20000	-9.536743e-09	15527.513	-0.025679523	-751.7822	7.2094502	0.0149679715	0.2505	7.0	30.000025510787964
5	-109.784164	228.20088	-13.529198	-2042.4066	50.291138	-39.13785	0.075470835	-38.142773	-39.15388	24000	-5.1498414e-08	7107.983	-0.021282824	-217.89404	7.120928	0.019164547	0.27425	6.0	36.12822604179382
6	-193.94897	459.46777	-10.929049	-2203.9558	84.8	-41.508396	0.051069792	-40.565334	-41.521896	28000	-7.05719e-08	16756.139	-0.021882698	-907.7627	7.206166	0.020578736	0.2685	6.0	42.036003828048706
7	-209.56729	481.4971	-22.286732	-2194.0295	99.35294	-46.09442	0.037026487	-45.545063	-46.104584	32000	2.8610229e-08	15231.118	-0.022961674	-887.5791	7.1883183	0.015881907	0.25125	7.0	47.85359573364258
8	-134.58144	259.10278	-15.612947	-2116.8008	61.276924	-50.812126	0.04282451	-50.20419	-50.821323	36000	2.0980835e-08	6798.614	-0.022572557	-191.77295	7.1445312	0.017079007	0.25075	7.0	53.529688596725464
9	-170.84607	423.60114	-17.522486	-2160.2883	81.48889	-53.201256	0.036585126	-52.522778	-53.20885	40000	-4.029274e-08	11754.288	-0.021987412	-563.6875	7.122604	0.016809512	0.2575	7.0	59.422850370407104
