Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-916.9037	54.1586	-829.38416	-969.2995	1000.0	-0.0004316623	0.8282615	2.1250281	-2.1739676	4000	1.487732e-07	7495.465	-0.058432147	-1056.0967	5.4927564	0.015821226	0.28825	28.0	6.535314321517944
1	-834.0817	135.25868	-709.1747	-1056.5923	1000.0	-3.6503508	6.4331393	14.085718	-14.86953	8000	3.6239623e-08	6012.022	-0.018526733	-2140.3071	5.484612	0.014568191	0.1705	6.0	11.096529245376587
2	-862.57556	100.30692	-765.6582	-997.5745	1000.0	-20.228426	6.734444	21.998951	-23.802801	12000	-1.7166137e-08	4225.768	-0.07665875	-1098.1785	5.4895096	0.015363665	0.34975	71.0	15.901869535446167
3	-770.8678	141.49728	-540.63116	-926.22504	1000.0	-30.766727	0.8764894	-4.519137	-31.229683	16000	1.9073486e-08	2433.1018	-0.056511957	-368.10693	5.43139	0.015502079	0.276	29.0	20.672017335891724
4	-697.0003	59.791767	-601.0171	-764.1999	1000.0	-36.09707	0.42661235	-25.081219	-36.30763	20000	7.2479246e-08	1489.6603	-0.055360842	-178.05737	5.417096	0.015992958	0.27025	29.0	25.4339120388031
5	-599.7333	94.965904	-507.936	-757.3349	1000.0	-39.829277	0.17951673	-37.790592	-39.9756	24000	1.8119811e-08	853.0682	-0.01732391	-68.49939	5.3546486	0.015370127	0.23125	6.0	30.09084916114807
6	-708.6192	87.5867	-572.0643	-806.60223	1000.0	-42.257973	0.21283606	-38.332836	-42.38213	28000	0.0	1290.7391	-0.016472746	-150.79236	5.4252214	0.016771605	0.20175	6.0	34.74607229232788
7	-562.42316	159.73666	-396.29837	-784.5576	1000.0	-45.80025	0.18736084	-39.265835	-45.901268	32000	-2.2888184e-08	1155.2803	-0.04892491	-21.79773	5.351032	0.015817016	0.243	26.0	39.48754262924194
8	-599.4134	81.92141	-538.657	-738.48895	1000.0	-45.963078	3.2192936	12.512701	-46.891376	36000	-9.536744e-10	657.50085	-0.014393255	-37.854248	5.357108	0.018501075	0.282	5.0	44.194263219833374
9	-562.2137	148.21564	-362.65994	-752.707	1000.0	-47.43639	2.2565136	-12.291456	-48.17688	40000	-1.525879e-08	660.7798	-0.015906049	-17.321655	5.382075	0.014685097	0.239	6.0	48.921841859817505
10	-676.4989	44.365658	-605.1775	-714.62054	1000.0	-48.043095	2.5456061	4.7548637	-48.947365	44000	-1.9073486e-08	826.34436	-0.045641884	-69.647095	5.422802	0.015863098	0.23575	23.0	53.96897888183594
11	-480.2363	128.57587	-302.8998	-664.7175	1000.0	-51.03333	0.9216987	-28.28928	-51.415985	48000	-1.3351441e-08	632.07587	-0.048958424	-114.95264	5.3573046	0.015978854	0.238	24.0	58.6685836315155
12	-537.4458	107.04123	-372.03323	-671.4347	1000.0	-44.830162	7.304593	12.690224	-50.69209	52000	8.5830685e-09	589.22	-0.05100254	-61.408936	5.316059	0.016279915	0.2435	25.0	63.324244260787964
13	-589.24854	71.63562	-504.54526	-697.2886	1000.0	-47.42197	5.93275	0.4385592	-51.375305	56000	2.7656554e-08	524.9412	-0.041780856	-42.06848	5.310851	0.015605853	0.21375	18.0	68.02345108985901
14	-466.70953	96.2874	-350.345	-594.4385	1000.0	-44.214867	14.980295	50.366352	-52.415707	60000	0.0	956.9711	-0.021109397	-395.60303	5.290868	0.015683759	0.18225	8.0	72.78571009635925
