Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.407543	25.567965	109.88562	-1.3999228	21.271276	0.12673697	0.6210627	1.2888572	-1.3087293	4000	-2.4795533e-08	584.5633	-0.014098852	-271.9838	2.7471933	0.01574904	0.1325	9.0	5.640618801116943
1	31.268509	29.705254	125.95848	0.53247434	26.210526	8.91832	5.5084877	13.981812	-11.001616	8000	3.8146974e-09	460.78583	-0.01516787	-134.57675	2.7150316	0.018975476	0.2125	7.0	10.658093690872192
2	54.15822	40.691265	187.80544	1.2930253	37.942856	15.567346	7.0796514	20.290497	-15.947529	12000	-4.196167e-08	824.1203	-0.010160908	-223.34198	2.763661	0.0148096485	0.178	9.0	15.680954456329346
3	70.09659	46.01642	214.5702	0.8908831	44.81818	23.746994	7.3573117	27.542458	-13.271355	16000	3.4332274e-08	891.8775	-0.021599097	-183.16803	2.752941	0.011804583	0.1175	79.0	21.04101800918579
4	87.18087	42.56563	191.7399	1.7284501	52.19737	31.571255	6.0187573	34.036232	-10.669393	20000	3.004074e-08	838.72687	-0.011535516	-141.59717	2.7155435	0.01397813	0.122	11.0	26.055683612823486
5	99.60128	39.88873	216.15083	40.143402	58.338234	36.93818	5.755903	39.53656	-10.380044	24000	1.525879e-08	842.54895	-0.009365686	-142.51135	2.7067423	0.016305802	0.1575	12.0	30.997024536132812
6	105.10887	36.95694	193.44191	5.0974913	61.43077	40.665775	7.8382893	44.660904	1.2459352	28000	1.2397766e-08	651.6272	-0.02035964	-122.62567	2.6769462	0.010743298	0.12275	79.0	36.26170635223389
7	119.72389	41.64588	210.95364	0.41205588	69.10526	41.955868	11.183767	49.278206	-25.911129	32000	1.4305114e-08	793.78906	-0.018331232	-165.0376	2.7075841	0.008674003	0.10475	79.0	41.4687876701355
8	127.04628	37.58098	234.62639	40.467663	72.34545	47.693344	11.73641	54.491062	-1.4807609	36000	-9.536743e-09	656.5764	-0.0072760372	-122.19928	2.6693952	0.012068071	0.1595	3.0	46.44312524795532
9	127.238945	64.77779	414.71075	43.207302	70.82143	49.994976	14.369733	59.196644	-7.7653418	40000	3.1471252e-08	1440.2015	-0.022022344	-223.77087	2.674718	0.010538344	0.11575	79.0	51.74282193183899
10	144.54031	57.39975	356.21088	51.962093	79.44	54.170376	14.631994	63.258476	-9.826572	44000	-9.536743e-09	1099.5988	-0.0114301825	-162.96136	2.6761675	0.01233825	0.1355	9.0	57.70714235305786
11	175.95253	83.937256	415.44357	55.026108	90.27273	57.184017	16.206324	68.25008	-6.3342533	48000	1.3351441e-08	2017.3408	-0.021189455	-437.5409	2.6631172	0.011724753	0.1195	79.0	63.17754507064819
12	195.16371	89.18293	534.5819	37.747215	96.82927	67.40239	16.603031	76.03904	-6.116801	52000	-1.525879e-08	2131.3882	-0.023567151	-323.70642	2.6842651	0.0136696035	0.142	79.0	68.45549440383911
13	218.72122	114.15559	605.47815	64.11828	105.166664	72.48282	18.428242	83.17315	-1.4806466	56000	-1.5735626e-08	3423.3777	-0.021831341	-714.7676	2.6281912	0.007952216	0.11525	79.0	73.65932416915894
14	262.68573	91.18621	483.03	104.59628	118.878784	84.01516	17.701073	91.98353	3.8036761	60000	-1.9073486e-08	2399.101	-0.023244504	-541.8646	2.5812178	0.012244049	0.1175	79.0	79.07200884819031
