Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	107.902596	31.748259	235.43687	76.146545	22.576271	-0.08665948	0.65212125	2.5101318	-2.060371	4000	1.17301944e-07	4328.816	-0.061314978	-1536.177	15.6923	0.0310804	0.3475	2.0	8.797505140304565
1	109.20661	38.479816	355.6698	76.38884	22.647728	15.781345	0.7347084	15.9159775	-4.14365	8000	-5.3405763e-08	3256.4211	-0.041979615	-480.25366	15.499078	0.024967447	0.29575	2.0	15.544686079025269
2	106.9552	26.485651	196.63406	76.38766	22.318436	21.850765	0.5630714	21.89613	-4.93748	12000	-9.536744e-10	2101.1892	-0.05097982	-286.641	15.535575	0.03274704	0.37875	4.0	21.946053504943848
3	113.06634	31.343048	204.20544	76.3183	23.467455	26.542597	0.43208706	26.57858	4.017959	16000	-1.04904174e-07	2240.397	-0.056931354	-278.83948	15.534204	0.027948588	0.4005	5.0	28.385536670684814
4	110.38517	31.524015	231.56683	76.30131	23.017342	31.149246	1.0756311	31.22674	-11.140313	20000	3.8146974e-09	1865.6646	-0.045646768	-196.81189	15.626927	0.021734074	0.33275	4.0	34.925137996673584
5	112.05722	30.926014	207.77177	76.14077	23.292398	35.098347	1.2068772	35.241795	3.2660804	24000	6.484986e-08	1691.8457	-0.05214142	-170.67212	15.610839	0.02948842	0.40075	5.0	41.452585220336914
6	116.153336	36.704144	273.8229	76.278244	24.236364	38.164124	3.924739	38.93684	-19.853111	28000	-5.7220458e-08	1855.1378	-0.04328501	-230.03516	15.709841	0.02403525	0.305	4.0	47.85745859146118
7	122.86511	38.483532	255.64908	76.50688	25.596153	39.921055	5.991859	42.768036	-5.015027	32000	-2.0980835e-08	1888.8647	-0.044674695	-343.75037	15.599457	0.024852782	0.3305	4.0	54.274152755737305
8	120.50866	39.184658	247.44202	76.47974	25.09434	39.929195	11.874813	47.29715	-5.213072	36000	1.0251999e-08	1536.4198	-0.040022723	-225.85754	15.561461	0.02605904	0.32975	4.0	60.72413372993469
9	123.20484	38.87086	290.6991	76.378746	25.544872	42.086998	14.587963	51.59803	-5.431387	40000	-7.2479246e-08	1419.0048	-0.044121876	-213.11243	15.611464	0.03355119	0.3475	4.0	67.31515312194824
10	126.03457	45.49683	335.20468	71.83709	26.217106	45.570072	15.634665	55.677574	-9.308353	44000	-1.4305114e-08	1564.482	-0.045504145	-219.25476	15.627046	0.025415827	0.36125	4.0	74.28843331336975
11	133.17767	44.371807	280.13565	76.49737	27.67361	48.165855	17.443054	59.80932	-5.7887516	48000	-6.67572e-08	1477.16	-0.037558388	-223.07031	15.55976	0.02575587	0.347	4.0	80.87348771095276
12	135.7069	43.55297	307.49155	76.62764	28.070423	50.336334	19.31428	63.939114	-7.4473166	52000	3.576279e-08	1337.1864	-0.04183218	-203.87927	15.557499	0.026042627	0.29225	4.0	87.14573812484741
13	138.17319	45.166355	288.75797	76.66838	28.5	52.990303	20.721422	67.85885	-11.395197	56000	-2.6702882e-08	1303.0967	-0.041884057	-208.76184	15.6607275	0.02684965	0.334	4.0	93.54255652427673
14	137.61073	47.80694	282.13412	76.483	28.340425	55.144516	22.16273	71.63835	-32.693825	60000	2.8610229e-08	1261.5984	-0.042840604	-212.66443	15.676279	0.025378818	0.309	4.0	99.8681001663208
15	156.23782	56.25741	354.1936	81.14317	32.096775	58.883514	22.769005	75.23424	-7.5327783	64000	-1.9073486e-08	1815.4219	-0.035219528	-308.2328	15.537137	0.025977908	0.25	3.0	106.22264218330383
16	152.43503	52.44039	303.12033	76.82432	31.417322	60.12064	25.277607	79.772095	-26.656853	68000	5.9604646e-09	1382.2789	-0.039937362	-257.7069	15.545698	0.024229517	0.3365	4.0	112.53215193748474
17	166.83075	53.218395	319.08746	81.31258	34.38793	65.35409	25.422462	83.63346	-22.333054	72000	-3.862381e-08	1554.2299	-0.049760856	-305.6963	15.522894	0.027383093	0.3795	5.0	118.93476033210754
18	177.05013	54.930992	325.0628	81.261246	36.48624	67.87533	27.265541	87.763466	-26.031227	76000	1.9073486e-08	1668.307	-0.044587743	-334.41113	15.500973	0.022809332	0.31225	4.0	125.49527549743652
19	171.21356	58.403324	359.90817	81.43219	35.230087	70.09852	29.04757	92.209366	-4.657061	80000	-2.4795533e-08	1536.4672	-0.044261802	-329.51404	15.477697	0.02731201	0.395	5.0	131.92917585372925
20	181.21735	63.54952	355.27667	86.2652	37.102802	71.42578	30.004593	96.10962	-15.528969	84000	1.9073486e-08	1906.1725	-0.050958864	-477.781	15.565775	0.026643816	0.38125	5.0	138.64406371116638
21	186.44736	65.780045	389.71973	85.17821	38.23077	76.48464	31.368055	100.29681	-24.613918	88000	-4.768372e-10	1808.023	-0.0419685	-401.43677	15.484635	0.024785688	0.33225	4.0	145.10990977287292
22	195.02432	68.09371	432.2139	81.88123	39.7	79.37792	33.49809	104.55163	-16.008417	92000	1.1444092e-08	1941.0908	-0.044129513	-468.77478	15.529638	0.026938159	0.32675	4.0	151.59004974365234
23	201.87135	68.61216	386.91528	81.49429	40.87629	80.97664	34.997143	108.7963	-33.5997	96000	1.9073487e-09	1881.3	-0.043171544	-494.2932	15.607502	0.029780697	0.34325	4.0	158.03102278709412
24	213.4785	78.370926	535.43945	86.32996	43.304348	87.16678	35.182026	113.06014	-4.888305	100000	-1.4305115e-09	2317.445	-0.04171967	-509.02246	15.543615	0.024861056	0.32175	4.0	164.5516951084137
25	199.88791	78.54196	524.6141	87.15043	40.489796	87.93601	37.306404	117.88266	-3.3537583	104000	-3.3378602e-09	2119.442	-0.041457407	-528.76514	15.535658	0.022086332	0.3235	4.0	170.85371375083923
26	223.58687	71.348434	370.28238	86.515884	45.329544	91.023636	38.766556	121.66139	-2.9342546	108000	1.8119811e-08	2007.4316	-0.04365062	-581.86597	15.609983	0.025580982	0.3365	4.0	177.24383521080017
27	242.49033	87.246735	429.89203	81.44232	48.59756	94.0106	40.035286	125.67955	-19.189802	112000	1.9073487e-09	2778.7756	-0.043238275	-808.6821	15.505144	0.028264629	0.35725	4.0	183.84416794776917
28	254.89143	88.72514	583.28375	81.20499	51.61039	100.61805	40.0069	130.91547	-12.372746	116000	3.2901763e-08	2959.421	-0.044392645	-892.6279	15.468289	0.023013528	0.32575	4.0	190.34163188934326
29	250.53525	79.40145	474.0292	86.39742	50.113926	105.00076	43.978367	136.0824	-13.988819	120000	-3.528595e-08	2283.3206	-0.0418037	-677.49585	15.517005	0.026213994	0.354	4.0	196.7557909488678
30	274.67532	69.87649	444.12616	97.307495	54.86111	103.790016	44.60067	140.54002	-10.125234	124000	1.7404556e-08	2216.7434	-0.04049614	-680.6387	15.477727	0.026485322	0.33475	4.0	203.60035610198975
31	277.20383	97.27952	582.4881	92.824615	54.75	111.357155	44.84745	145.31621	-1.1140926	128000	-4.768372e-10	2911.172	-0.042108487	-790.67505	15.506471	0.02579343	0.333	4.0	210.20149087905884
32	288.53857	89.438225	565.462	98.44892	57.246376	113.26184	46.715202	150.6326	-1.1501055	132000	5.00679e-09	2909.3376	-0.04363944	-921.8589	15.61793	0.025280302	0.341	4.0	216.72853708267212
33	293.57712	73.72501	514.5858	101.636055	57.550724	118.72784	48.50437	155.70901	-5.785117	136000	2.6702882e-08	2261.5703	-0.040727742	-747.5071	15.489845	0.027016489	0.30775	4.0	223.22382068634033
34	310.8173	70.43847	454.99423	108.66906	61.29231	119.87678	49.132133	159.81462	-21.032616	140000	4.482269e-08	2289.6477	-0.042566054	-855.15735	15.440478	0.02631716	0.31875	4.0	229.90229177474976
35	293.82053	79.552	485.56158	93.563324	58.75	120.043846	53.217533	164.41574	-20.62873	144000	2.193451e-08	2158.1812	-0.040825803	-853.6913	15.418873	0.027035294	0.2915	4.0	236.45204377174377
36	295.1377	78.558586	504.08447	97.60511	57.942028	123.491554	52.85257	167.86995	-10.288291	148000	0.0	2060.3293	-0.047060702	-725.74634	15.546177	0.02270008	0.3705	5.0	243.269287109375
37	319.09494	120.10985	903.1101	127.19741	62.333332	120.86477	54.707527	170.98064	-17.534225	152000	3.242493e-08	4095.1804	-0.042456623	-1419.1323	15.515609	0.029004883	0.343	4.0	249.99509978294373
38	312.5895	75.54807	524.4973	151.16425	61.828125	130.948	56.55306	176.2932	-12.3031845	156000	3.33786e-08	2124.827	-0.04283385	-881.82275	15.513046	0.026154839	0.341	4.0	256.3903751373291
39	320.00455	85.66936	472.81525	103.0154	62.84127	132.16304	55.35594	179.74657	-34.405167	160000	9.536744e-10	2107.3667	-0.04274628	-818.14954	15.431676	0.026550304	0.35925	4.0	262.9742155075073
40	313.2802	63.94848	465.09586	137.1555	61.75	131.04343	58.183205	183.13031	1.0819938	164000	7.6293944e-08	1500.7529	-0.033285584	-652.31104	15.471635	0.02534098	0.28575	3.0	270.55346727371216
41	304.7726	75.159294	654.7524	105.286804	59.878788	128.54059	59.585564	185.74396	-1.9487238	168000	4.5776368e-08	1566.7285	-0.039574914	-602.5639	15.493942	0.029436084	0.32475	4.0	277.26009345054626
42	335.50113	121.17051	943.78485	101.2357	66.53333	132.81184	57.515743	188.18262	4.789048	172000	1.3351441e-08	3132.155	-0.040899415	-913.0071	15.475905	0.025538733	0.3415	4.0	283.7467634677887
43	349.09076	95.40362	614.4537	142.5923	68.17242	136.51279	60.313915	192.71432	0.12996507	176000	-3.4332274e-08	2451.3435	-0.04201632	-884.536	15.506813	0.028240249	0.34475	4.0	290.31877636909485
44	326.8604	80.06175	547.10626	109.50219	63.49206	140.94276	63.241116	196.71274	7.2844357	180000	-2.0980835e-08	2022.3676	-0.03996973	-992.2097	15.417592	0.028210951	0.32925	4.0	297.11565828323364
45	331.56833	72.01689	479.15656	143.15182	64.48387	136.80531	63.25756	199.04832	0.0019807816	184000	-1.9788741e-08	1621.01	-0.039382752	-780.0147	15.48688	0.026709896	0.3255	4.0	303.8143992424011
46	356.46753	78.61533	526.9565	86.26229	68.94827	143.39467	62.01977	201.51683	-11.964562	188000	-1.001358e-08	1696.0679	-0.045721974	-677.8217	15.497366	0.026138915	0.39675	5.0	310.4480617046356
47	353.63934	79.891594	641.7533	228.94228	68.44827	144.71935	63.96095	204.9958	-7.361505	192000	-3.0994416e-09	1613.2676	-0.041674245	-617.0943	15.409707	0.027707547	0.3075	4.0	316.87101101875305
48	335.54474	82.38809	522.32074	93.3037	65.34426	144.52422	66.47107	208.1243	7.2316246	196000	0.0	1368.7285	-0.04227557	-586.2552	15.467945	0.024363995	0.31575	4.0	323.6447970867157
49	343.773	85.534004	646.9636	98.85233	67.01695	142.7684	66.60382	210.5335	-8.842518	200000	9.536743e-09	1439.8448	-0.03869806	-610.45166	15.453336	0.021724574	0.317	4.0	330.6414668560028
50	350.36453	73.24811	533.7108	225.84778	68.27586	146.09985	66.9418	213.09917	-0.37143207	204000	1.6212464e-08	1371.3132	-0.044719443	-608.38385	15.481326	0.027871102	0.3685	5.0	337.84294605255127
51	377.55374	87.14152	611.48596	201.67285	73.833336	142.48232	67.94311	215.2259	-2.6840234	208000	2.5749207e-08	1991.9796	-0.03995974	-1025.9646	15.4083185	0.021093145	0.305	4.0	344.4679284095764
52	351.48148	69.8959	565.8359	235.98387	68.206894	148.56587	68.230644	218.83694	-0.8745537	212000	3.0994414e-08	1239.6663	-0.041880798	-590.8992	15.444689	0.021190902	0.331	4.0	350.9173409938812
53	327.98077	57.989735	552.6332	194.4605	63.190475	149.16797	69.62695	220.80707	7.292306	216000	2.1457673e-08	984.1937	-0.037919994	-529.121	15.475946	0.02391363	0.32425	4.0	357.4692943096161
54	344.10178	79.67108	659.2399	153.18279	66.61667	143.6226	64.715004	221.5003	6.1031995	220000	1.3351441e-08	1384.6278	-0.038866386	-670.1142	15.458318	0.027869798	0.36225	4.0	364.28239703178406
55	356.22937	56.900562	519.12524	257.6129	68.44827	145.30344	69.98705	222.9634	8.720343	224000	-2.336502e-08	1032.4064	-0.042285863	-568.59	15.464121	0.022289935	0.34175	4.0	370.8418869972229
56	365.84808	72.24417	557.9811	236.23016	70.96429	150.79877	70.3224	224.85844	-4.2939262	228000	1.2993812e-08	1139.2319	-0.038350474	-503.8966	15.49341	0.022947092	0.3075	4.0	377.6725616455078
57	338.50137	58.482063	532.6741	172.48114	64.3871	150.77185	69.1701	227.05632	3.3828669	232000	-1.9073486e-08	782.6033	-0.044503704	-395.22015	15.412746	0.025596771	0.3885	5.0	384.2409152984619
58	380.29553	84.21644	643.0661	191.77464	73.40741	149.61182	69.73009	228.04434	2.1037173	236000	-2.861023e-09	1467.8185	-0.03899737	-694.52954	15.3567	0.023024792	0.30575	4.0	391.05653166770935
59	361.02866	86.91126	663.6279	169.07393	70.46429	157.221	72.673065	230.69534	-3.5914962	240000	2.7656554e-08	1558.5072	-0.039146364	-867.72174	15.354254	0.028705046	0.3175	4.0	397.86283111572266
60	368.78757	76.99525	619.23346	192.47559	72.472725	150.30637	72.316124	232.81165	-7.0869756	244000	2.1457673e-08	1385.0186	-0.040529992	-686.09973	15.462736	0.028728144	0.3215	4.0	405.13302278518677
61	359.7386	79.060104	637.5646	244.01619	70.91071	151.47832	72.3972	234.2718	-0.5817082	248000	-1.9073486e-08	1191.7112	-0.044779573	-589.0802	15.379691	0.021970574	0.37825	5.0	411.98345923423767
62	374.3797	101.02525	714.5948	159.9078	72.65455	151.92215	72.72291	235.7415	-22.148731	252000	-1.3351441e-08	1840.9946	-0.045677833	-919.24207	15.464898	0.022144314	0.3595	5.0	418.8468005657196
63	374.74564	71.072784	539.3325	184.21376	73.51852	154.41669	73.09749	238.13315	-3.8029795	256000	3.528595e-08	1045.5577	-0.038738124	-568.13416	15.359756	0.022278393	0.31775	4.0	425.62324476242065
64	353.42288	81.751335	590.9948	207.4348	69.31579	156.31792	72.826065	239.7368	-0.98274755	260000	1.8119811e-08	1421.9597	-0.040332202	-809.9347	15.424394	0.02621358	0.32075	4.0	432.385400056839
65	365.88428	92.85032	621.39777	138.77289	70.69643	150.72394	73.6448	240.72932	0.5107763	264000	-2.4795533e-08	1327.2147	-0.0430081	-683.9028	15.377243	0.02739314	0.37275	5.0	439.2540454864502
66	384.21484	100.18075	654.3792	143.47116	74.15094	154.61461	73.21223	242.7369	-10.209181	268000	2.8610229e-08	1642.6038	-0.04491954	-873.32	15.5057125	0.023610134	0.35225	5.0	446.1184904575348
67	365.9226	80.39577	589.1497	194.23024	70.83929	160.12926	76.71419	245.70142	0.22812676	272000	2.3841857e-09	1169.2585	-0.040969826	-667.59216	15.403077	0.02212014	0.3065	4.0	453.01626992225647
68	373.17575	79.34016	626.6617	222.99931	73.333336	158.1973	75.31526	246.97087	1.2955873	276000	-3.862381e-08	1148.0233	-0.037073836	-632.21497	15.39532	0.022322942	0.344	4.0	460.07688426971436
69	377.4469	76.3999	666.3769	264.0353	73.666664	153.05168	72.93065	248.10663	2.2503586	280000	7.6293944e-08	1297.8522	-0.038860664	-727.58734	15.385987	0.029132765	0.36475	4.0	466.9580309391022
70	366.1122	83.17883	591.86676	180.97868	70.42857	161.92593	76.082054	249.27353	0.09988046	284000	-2.0980835e-08	1264.5093	-0.039395418	-664.34467	15.370581	0.022095753	0.30825	4.0	474.01785016059875
71	398.2599	80.7438	641.6198	234.5229	77.60784	161.87761	76.6099	249.69467	-12.266857	288000	4.7683715e-09	1153.2971	-0.036821086	-608.39795	15.396996	0.0245805	0.31025	4.0	480.82098364830017
72	392.98514	101.31629	594.4347	231.34192	76.38461	163.97452	76.64151	251.6422	-3.736583	292000	-2.2888184e-08	1289.473	-0.04753589	-590.6456	15.296095	0.027997522	0.374	5.0	487.47434091567993
73	363.02023	77.350655	671.3155	181.9086	71.32143	161.3816	80.09321	253.86423	-2.1459754	296000	-1.0490417e-08	1298.6494	-0.039230052	-802.19214	15.392345	0.032256432	0.32475	4.0	494.1705873012543
74	354.01398	91.98948	735.6922	177.93271	69.0	151.61334	73.58013	254.20453	-8.032555	300000	3.2663344e-08	1664.8805	-0.04424625	-984.5598	15.3297	0.020472795	0.36075	5.0	501.02248787879944
75	362.82504	107.08349	773.043	109.06948	70.48214	156.02985	73.844864	255.36996	-3.073423	304000	-3.8146972e-08	1771.7273	-0.037068017	-980.229	15.391715	0.027219608	0.3375	4.0	507.6274492740631
76	388.14865	92.23554	705.9513	236.00467	76.03846	158.24838	75.94044	256.91946	-6.149123	308000	-1.3351441e-08	1376.3629	-0.04730539	-743.8958	15.336746	0.025471447	0.38175	5.0	514.5761523246765
77	392.76547	119.770065	1011.0114	209.10106	76.28846	161.72415	78.840256	257.87167	-10.629593	312000	2.3841857e-09	1993.6184	-0.038554203	-1047.2434	15.3309355	0.023687672	0.31775	4.0	521.344970703125
78	369.45328	89.69473	610.10803	166.49625	71.32143	161.60545	80.36586	260.73602	2.0374022	316000	-1.9073487e-09	1301.7334	-0.04723067	-699.74817	15.278058	0.023962997	0.36475	5.0	528.1389923095703
79	374.36557	83.57314	624.72565	152.7344	72.666664	158.23755	75.496475	261.23328	-2.3081534	320000	2.6702882e-08	1290.6816	-0.045890495	-765.0861	15.372638	0.02614519	0.38825	5.0	534.9571788311005
80	376.25363	94.97623	776.58887	198.8663	73.68519	161.6694	78.88169	261.4412	0.07509208	324000	7.629395e-09	1717.2443	-0.038642433	-967.7985	15.310836	0.02826386	0.3215	4.0	542.4579203128815
81	364.23782	71.82976	577.2812	225.94995	70.76786	157.35597	75.325195	261.85443	-10.721383	328000	-5.030632e-08	1415.6262	-0.041047398	-915.0989	15.39827	0.024321966	0.36625	5.0	549.189514875412
82	375.75333	88.71945	729.82263	247.7976	73.166664	155.1917	75.59336	261.84015	-5.672938	332000	-3.051758e-08	1213.8082	-0.038154148	-633.6894	15.278635	0.021623451	0.31225	4.0	555.9434750080109
83	369.54144	81.8796	699.7194	244.98288	71.74545	160.09709	77.60363	262.9047	0.5731795	336000	3.4332274e-08	1214.7069	-0.035895236	-712.0387	15.410732	0.02836019	0.347	4.0	562.7633423805237
84	381.9234	81.68266	594.4996	235.13445	76.17308	155.63153	76.74321	263.1144	-11.5302	340000	-1.1444092e-08	1210.1791	-0.039628077	-737.03174	15.353648	0.022221424	0.32	4.0	569.4489693641663
85	373.9167	80.94128	711.17926	264.73557	72.218185	161.13976	77.70275	263.946	-8.292831	344000	5.531311e-08	1021.7787	-0.038772684	-509.7859	15.339179	0.02658673	0.34575	4.0	576.1167049407959
86	367.66876	111.66968	701.8321	114.95954	71.90909	158.57047	76.76983	264.6023	-8.7129755	348000	-1.525879e-08	1572.2695	-0.03818469	-772.33936	15.377393	0.025198342	0.35925	4.0	582.974550485611
87	363.6421	69.789444	566.3216	226.85767	71.89091	156.07756	79.206436	265.51306	-11.419853	352000	-7.6293944e-08	1193.465	-0.0373267	-769.0941	15.280477	0.021818904	0.2895	4.0	589.7030727863312
88	370.45456	79.22912	606.4389	254.41757	72.888885	153.8227	75.37055	264.8606	-25.838104	356000	-3.4332274e-08	1253.8385	-0.04359804	-753.2677	15.291896	0.022694537	0.382	5.0	596.2971630096436
89	373.84747	63.324177	524.35156	266.55493	72.454544	157.93398	76.824196	265.8564	-7.4394164	360000	-1.3828277e-08	831.49426	-0.038714442	-484.60458	15.391563	0.024793493	0.3005	4.0	603.0380570888519
90	388.4975	75.544106	606.55804	255.26656	75.13207	161.85869	77.59693	266.31485	1.2482257	364000	1.1444092e-08	1125.3042	-0.03953362	-687.38354	15.232066	0.024094457	0.312	4.0	610.0770890712738
