Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-3.6698523	5.490927	53.40963	-13.180927	18.058823	0.13781312	0.5369199	1.7257162	-1.5685037	4000	-1.9073486e-08	54.20859	-0.030383559	-24.350931	5.503065	0.01698154	0.217	9.0	5.49735951423645
1	-2.711243	5.7462034	45.21174	-12.783649	19.546799	-3.3223383	2.269916	7.22309	-7.701634	8000	-1.525879e-08	31.405287	-0.011925551	-9.005657	5.540304	0.022523576	0.25875	3.0	10.52219820022583
2	-1.069502	7.5256743	46.969437	-10.887907	21.489246	-2.0101855	4.346662	13.34088	-9.440407	12000	-6.198883e-09	39.877476	-0.013474836	-6.6429176	5.5304947	0.026477065	0.32275	4.0	16.424954891204834
3	0.21174327	6.8919888	35.01672	-9.154779	23.778442	-0.9171935	4.3949156	14.697093	-10.519549	16000	-7.629395e-09	34.4265	-0.013374214	-6.8286953	5.493575	0.024838777	0.313	4.0	24.076164484024048
4	6.6346164	12.556283	60.061607	-25.670778	28.927536	1.0230458	5.1875916	16.942463	-11.966202	20000	3.8146972e-08	92.90559	-0.013700645	-27.840408	5.5054603	0.019762333	0.28925	5.0	31.969482898712158
5	12.986881	15.911006	66.05075	-44.24957	33.66949	5.6744013	6.475534	20.595716	-18.046602	24000	-3.4332274e-08	119.555084	-0.032288447	-28.202621	5.4869657	0.016840247	0.23025	18.0	40.06826305389404
6	16.347317	14.357961	53.633293	-7.776792	35.50893	8.9190855	7.908717	25.594826	-22.080193	28000	-3.8146974e-09	80.653015	-0.052323367	-16.988743	5.5140934	0.015143029	0.27425	48.0	48.157602310180664
7	25.326542	17.909212	62.563667	-5.8737946	38.563107	11.615373	8.111344	28.819267	-24.454609	32000	-9.536743e-09	140.51	-0.01686174	-49.50212	5.403015	0.018524278	0.27875	6.0	55.23914170265198
8	24.321413	16.674973	60.647953	-6.7192965	37.5	15.777995	9.736953	33.552998	-20.858147	36000	1.7166137e-08	109.56979	-0.017680736	-24.156654	5.5109515	0.015586824	0.278	6.0	62.30223250389099
9	29.97199	16.172188	61.37109	-4.461503	40.191917	15.882911	9.990692	34.173027	-24.618952	40000	6.437302e-09	98.87038	-0.019216724	-24.62461	5.370032	0.01715571	0.22125	7.0	69.45910692214966
10	37.388725	16.827763	71.6507	-4.6851177	43.260868	17.67002	11.830408	37.172474	-24.573862	44000	-2.0980835e-08	103.48351	-0.01415268	-37.02269	5.4111767	0.02283472	0.2925	5.0	76.93489003181458
11	37.572735	17.801325	72.548416	-5.5464067	46.152943	18.575336	16.42053	43.064556	-35.331306	48000	7.629395e-09	123.86686	-0.00968989	-37.87245	5.456501	0.017350927	0.2445	4.0	82.90798544883728
12	46.128094	17.315035	81.38749	-0.18618944	46.44186	21.331543	15.944749	44.248596	-28.112593	52000	-3.71933e-08	122.33744	-0.016305003	-44.81063	5.4187818	0.015723158	0.22525	6.0	87.77791929244995
13	48.702587	16.652641	88.41097	-1.070591	50.0	23.344204	18.465883	47.19668	-32.244186	56000	2.384186e-10	116.47281	-0.016719647	-32.530724	5.417208	0.01780629	0.2615	6.0	92.90827345848083
14	48.69314	10.569893	69.560295	6.9316187	49.25	24.671375	18.432487	49.23153	-27.804127	60000	5.722046e-09	61.455074	-0.0111790635	-24.60825	5.411982	0.023385134	0.27625	4.0	97.88047337532043
15	56.20761	22.468256	163.03183	-0.65480494	55.71831	21.714449	20.426964	49.561596	-38.47953	64000	2.4318695e-08	206.53581	-0.04415257	-80.40219	5.4260454	0.01590456	0.247	28.0	103.14341187477112
16	59.182243	18.166653	128.13547	12.21029	57.710144	25.58575	22.023844	55.086983	-32.89377	68000	1.3351441e-08	153.66173	-0.013333268	-46.367783	5.345126	0.021035682	0.2765	5.0	108.22544050216675
17	58.709023	19.559868	110.99279	0.703775	57.391304	26.484888	21.04595	55.21654	-27.476395	72000	-7.629395e-09	166.95142	-0.014804374	-60.29603	5.385115	0.013275013	0.18625	6.0	113.31622886657715
18	59.830456	23.22826	169.84784	-0.21320042	68.31035	22.47025	22.82303	58.106167	-32.53197	76000	2.4795533e-08	221.96353	-0.01599279	-67.71605	5.3626285	0.017410653	0.24625	6.0	118.46468949317932
19	70.27401	25.478601	163.35832	31.606441	77.86275	21.784355	23.353924	60.24718	-38.397465	80000	1.9073486e-08	296.57068	-0.044647105	-104.27991	5.3559785	0.015333928	0.253	28.0	123.78658485412598
20	65.15722	25.426817	155.33914	18.187893	75.169815	25.213673	25.063704	65.86137	-44.57591	84000	-4.2915342e-09	267.4551	-0.03077159	-110.99373	5.320452	0.017177444	0.2015	14.0	130.09899616241455
21	81.193756	48.34366	256.709	5.6514993	86.23913	24.573097	26.734367	68.94668	-37.955406	88000	-3.0994414e-08	741.13806	-0.033864	-270.55945	5.2895384	0.015135734	0.2305	17.0	135.13232231140137
22	89.55047	62.383537	342.81445	-0.74591076	82.625	34.682297	26.690634	76.955696	-45.817608	92000	1.4305114e-08	1075.3345	-0.03743337	-411.66785	5.307341	0.015736526	0.20825	18.0	140.25071597099304
23	122.05973	69.51248	279.61557	38.944267	101.20513	38.010155	30.64867	86.345375	-38.73157	96000	2.0980835e-08	1347.4874	-0.047643695	-665.25275	5.295422	0.015289295	0.22775	27.0	145.58189725875854
24	106.43009	64.17266	333.03928	4.2851977	93.309525	48.444695	30.517395	94.50471	-37.899548	100000	1.9073487e-09	1246.0938	-0.03657685	-531.1064	5.236874	0.015511067	0.18325	18.0	150.74168467521667
25	123.16519	61.857353	294.445	34.329582	94.5	45.35925	27.910059	96.95125	-35.3671	104000	-1.013279e-08	1145.6437	-0.046836484	-447.4173	5.154478	0.015432275	0.227	28.0	156.055517911911
26	131.84544	87.08183	380.70645	28.720345	109.44444	49.6561	30.179132	101.92881	-35.598747	108000	-1.8119811e-08	1608.2733	-0.05057992	-520.79663	5.217692	0.015097744	0.24625	31.0	161.23908686637878
27	131.23581	76.2326	467.04846	35.64894	108.97222	51.90505	30.685234	105.810524	-49.197224	112000	-2.0980835e-08	1221.9841	-0.05409253	-486.44684	5.2224774	0.01593076	0.2765	31.0	166.52070355415344
28	126.24035	53.58858	311.67255	48.05536	103.92105	51.344986	31.080381	107.04285	-48.895382	116000	6.6757204e-09	995.4209	-0.015288219	-426.22717	5.1850634	0.014316588	0.216	5.0	171.73641920089722
29	148.9444	85.66721	383.5391	36.431614	110.166664	50.288868	29.4038	105.03264	-34.738457	120000	1.9073486e-08	1735.859	-0.06039323	-691.0924	5.165227	0.01534802	0.2775	50.0	177.02349877357483
30	155.79689	83.68525	380.25534	49.53514	113.34286	63.243866	31.7854	112.42712	-46.330757	124000	7.629395e-09	1225.6335	-0.051594324	-421.48743	5.139395	0.015349184	0.24675	34.0	182.96540713310242
31	145.22905	68.733086	302.78485	65.59864	106.702705	62.92907	33.882763	117.116356	-53.915344	128000	-5.2452087e-09	1195.6824	-0.015369244	-446.81165	5.1785545	0.016491896	0.2	6.0	188.07174825668335
32	165.1963	66.77218	309.72223	56.852333	113.17647	59.403423	32.275444	117.59398	-46.965424	132000	1.8119811e-08	1249.9454	-0.044788796	-581.10345	5.159513	0.016293071	0.22675	23.0	193.4485378265381
33	134.2673	56.689793	269.6173	38.127895	103.60526	66.75289	33.622303	119.87876	-61.6199	136000	2.6702882e-08	1073.263	-0.061332844	-496.78064	5.1286373	0.01526309	0.30675	53.0	198.9998540878296
34	144.62001	67.276855	339.06107	3.6841438	101.410255	58.625076	29.252192	112.61219	-49.847973	140000	-1.8119811e-08	962.2276	-0.045649517	-310.7492	5.0970597	0.015443786	0.22425	29.0	204.2645878791809
35	162.25432	78.74086	549.3847	70.84604	104.48649	64.18736	30.149002	115.83628	-43.20496	144000	-2.5749207e-08	1239.7292	-0.042329296	-480.87848	5.078546	0.01566718	0.251	21.0	209.61130380630493
36	153.49069	62.529682	296.80383	64.33442	107.02778	70.23282	32.152725	122.57906	-38.363483	148000	2.193451e-08	1011.5603	-0.014358834	-387.28076	5.088965	0.017447937	0.2205	5.0	214.88068675994873
37	157.13824	68.398346	363.027	44.840355	106.37838	64.646225	32.5447	120.66879	-38.85614	152000	2.0980835e-08	907.67865	-0.013210488	-326.06116	5.0031233	0.015659856	0.181	5.0	219.98426914215088
38	165.35867	77.99721	389.30704	55.570477	111.48572	64.85798	32.235348	124.26081	-32.988274	156000	-2.2411346e-08	1285.0298	-0.01765851	-614.73456	5.021689	0.017275885	0.215	7.0	225.35767698287964
39	160.52701	63.944088	401.60748	88.586845	106.638885	68.08275	32.26629	126.4982	-41.067394	160000	9.536744e-10	840.8154	-0.048749093	-359.60706	5.0381155	0.01521542	0.25525	32.0	230.63416862487793
40	161.47395	71.533195	322.46378	36.391483	104.289474	67.64684	32.198593	126.96675	-30.847313	164000	1.525879e-08	890.48914	-0.029750241	-375.214	5.0386157	0.01564124	0.20075	13.0	236.505300283432
41	156.8726	74.95106	335.45374	44.56322	104.052635	68.17705	32.679314	129.97942	-15.779991	168000	7.629395e-09	765.00415	-0.051170804	-304.78873	5.0203223	0.015329691	0.257	31.0	241.84993314743042
42	178.99657	87.83986	482.07605	49.60542	116.882355	73.92092	31.872448	133.9319	-55.53077	172000	-3.4332274e-08	912.1171	-0.04462596	-361.1819	4.9407353	0.015333345	0.253	26.0	246.99613070487976
43	158.91174	66.35865	312.5006	76.88137	108.388885	71.262886	35.08869	135.24315	-47.81067	176000	1.1920929e-09	828.29364	-0.018701732	-360.2414	4.9483547	0.0151253035	0.19325	6.0	252.23222517967224
44	159.28064	67.66213	327.18112	59.84129	99.15	70.136154	30.309147	124.15014	-9.92614	180000	4.7683715e-09	832.3291	-0.017922262	-354.70456	4.9954686	0.015431671	0.195	7.0	257.33936190605164
