Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-42.20029	85.993645	35.28207	-360.38196	123.66437	121.9297	285.72998	-138.13968	132.07692	903.5	3999	5.499758	4.1127486	33.040386	-8.271849	5.5001802	4.112827	33.00163	-7.8180656	-4.0526958	1.8502067	17.655416	-15.831935	-6.706113	0.24629222	0.24474703	49.63660740852356
2	-58.95532	89.78879	1.1621112	-333.6071	-280.65488	186.07788	61.14311	-553.9253	182.12	1000.0	7999	22.32171	8.400304	63.45104	-8.4132595	22.32218	8.39966	64.09915	-9.015476	-1.2437294	3.069101	19.614643	-16.369972	-24.189907	1.0321218	1.0337312	114.65502619743347
3	-70.69692	147.04303	6.0934243	-689.0448	144.42117	157.78593	431.76288	-27.959604	145.875	582.2	11999	48.329006	9.389776	84.65597	-18.934822	48.32899	9.392051	83.701546	-16.61957	0.3572051	3.7389834	31.57034	-15.265614	-50.485085	2.9757075	2.9644423	176.00481247901917
4	-161.82399	196.97354	24.737719	-550.58344	243.84848	212.94891	648.56537	8.640314	445.4	549.3	15999	54.386776	7.459672	88.245995	-37.701374	54.38599	7.459138	88.85731	-35.254913	-1.9931973	2.7434864	24.35955	-15.058075	-55.438522	2.194978	2.216338	242.6971836090088
5	-76.55064	112.73973	40.656006	-277.45004	559.0654	145.14774	783.5146	217.12148	566.1667	926.1	19999	50.28489	8.83594	93.00691	-29.535208	50.284256	8.831887	88.378876	-26.76538	-2.619337	2.3931482	29.176579	-15.018295	-51.11868	1.8529521	1.91924	323.2280967235565
6	13.2161255	85.70917	119.49944	-149.43239	541.02295	32.697773	626.0796	512.1879	387.66666	1000.0	23999	46.7392	9.14714	83.86854	-40.76214	46.73841	9.140813	84.78554	-36.207977	-2.8901644	2.2484844	26.149637	-15.9625635	-47.505802	1.6030831	1.6794606	408.3957679271698
7	52.77908	93.1812	308.54254	-73.57837	727.6088	119.34573	871.08887	559.7496	316.16666	1000.0	27999	45.12951	8.867738	83.38436	-26.869991	45.12885	8.864356	83.99148	-25.034338	-3.0265334	2.1207373	24.023674	-14.08168	-45.83621	1.6936622	1.7562861	492.5501527786255
8	117.42739	132.67528	381.5178	23.611507	605.5048	143.27492	786.67896	334.29144	620.1667	1000.0	31999	44.14599	8.248462	79.80581	-25.408552	44.145214	8.241842	78.2279	-46.879658	-3.1092997	2.0839899	21.07586	-15.848394	-44.853306	1.3382306	1.4240183	576.6163241863251
9	131.2274	103.483116	371.14862	47.01694	799.6947	49.202896	906.1632	751.58203	616.2857	1000.0	35999	44.47617	7.9956055	78.84567	-36.778385	44.47614	7.9932194	80.46104	-30.627626	-3.1344657	2.061321	25.840025	-15.789061	-45.166447	1.3277191	1.3464298	661.2020492553711
10	151.72177	90.56129	274.12888	-0.024210814	719.4644	61.608147	861.20123	617.9681	603.1667	1000.0	39999	45.293766	7.8383155	81.1881	-25.226488	45.293373	7.833986	80.774345	-28.099482	-3.1482728	2.0692844	29.67976	-16.611313	-45.985664	1.2869121	1.3382624	745.2142899036407
11	174.62904	94.67499	374.99475	61.803364	843.5256	27.34811	885.2062	791.2144	633.1429	1000.0	43999	46.70225	7.7570033	82.53414	-26.277887	46.701904	7.754676	82.1671	-24.894276	-3.1119313	2.0638356	24.233295	-16.091085	-47.377026	1.3179119	1.33373	829.0247490406036
