Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-295.41052	72.51303	-215.4322	-413.19153	-260.1249	3.742563	-255.51244	-268.18448	1000.0	1000.0	3999	3.3987062	3.8136466	22.014662	-10.676325	3.3991075	3.8129838	22.710873	-10.059352	-2.7851257	1.7624745	29.436085	-11.957115	-4.3646426	0.24792603	0.24846298	44.463549852371216
2	-265.6103	61.267654	-159.59186	-304.366	78.45146	147.32826	186.3118	-357.9946	1000.0	1000.0	7999	19.77498	10.771827	60.7694	-12.475249	19.774382	10.768675	61.072643	-10.382881	-0.6516491	2.9761686	27.926186	-13.171519	-21.273018	0.79418194	0.8323894	99.61210608482361
3	-256.587	68.10342	-172.91939	-356.96588	92.88653	79.06212	245.82658	-14.418486	1000.0	1000.0	11999	38.423923	10.446382	70.42976	11.776292	38.423504	10.444908	71.7186	11.913007	-0.37220144	3.2047346	20.493975	-12.735939	-39.803654	0.8094219	0.82765895	157.5381259918213
4	197.8706	247.96713	468.03406	-156.56805	93.38554	136.84084	424.10764	-48.685802	1000.0	1000.0	15999	43.68265	13.978122	74.451	13.806667	43.68222	13.977011	73.37658	15.002333	-2.20405	2.2577236	14.420799	-13.109765	-44.418716	0.6721123	0.69411254	219.746191740036
5	941.8838	194.66048	1247.2439	722.42926	2150.3665	42.713596	2216.0955	2071.0938	1000.0	1000.0	19999	48.52102	15.066172	88.92353	18.074396	48.520626	15.06629	88.58688	17.020658	-2.3731177	2.0350487	12.843145	-12.798676	-49.16793	0.6624728	0.66919845	285.14442586898804
6	1769.7458	243.62036	2086.2703	1420.2526	2637.6765	52.90747	2706.5232	2546.6394	1000.0	1000.0	23999	58.67535	19.11692	113.36733	19.320261	58.67572	19.116629	114.48342	19.552181	-1.6362982	2.466394	17.89753	-12.7145815	-59.412647	0.9589336	0.95411587	351.2076094150543
7	2726.9158	289.59198	3122.7612	2310.7568	3820.2544	42.710457	3892.4778	3730.354	1000.0	1000.0	27999	75.79931	26.919186	149.30919	19.679205	75.7987	26.91903	148.39285	18.198797	-0.7534939	2.9004884	20.8317	-15.220341	-76.639465	1.3089019	1.3274043	417.7815444469452
8	3572.4048	77.59628	3651.6045	3452.8423	3849.7363	71.220695	3950.1584	3699.123	1000.0	1000.0	31999	99.34775	37.266438	189.64586	21.920887	99.34751	37.266422	191.40009	22.48521	0.19783768	3.3817132	32.439903	-12.900103	-100.25572	1.7158095	1.7239708	484.45434975624084
9	3878.852	123.37851	4040.247	3705.6611	4379.04	49.358604	4442.9844	4278.271	1000.0	1000.0	35999	126.21648	47.35147	222.38345	23.72439	126.21583	47.351837	222.93384	24.640226	0.82444084	3.5828342	28.528225	-15.917883	-127.12258	1.9646512	1.9817868	551.2034182548523
10	4156.05	107.70857	4315.6533	4015.861	4576.172	109.759796	4806.9546	4456.1553	1000.0	1000.0	39999	153.73222	55.902905	251.4107	21.761503	153.73235	55.90296	251.29013	18.272636	1.3236063	3.768501	31.95388	-14.855067	-154.58801	2.2286842	2.252591	618.3258395195007
