Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	16.463041	12.0072	87.02302	4.589445	99.89205	1.4262887	102.36977	97.556564	20.56701	55.4	3999	9.852801	7.82127	50.795742	-12.492793	9.852995	7.821277	51.194824	-11.1841345	0.24276921	2.2356563	11.062061	-12.769866	-11.320531	0.37293357	0.3742367	31.276352882385254
2	15.166224	9.325281	59.662365	4.0939546	59.970043	0.9923568	62.704353	59.12265	20.628866	33.1	7999	55.21368	26.57949	176.97383	-57.26279	55.213005	26.591146	175.38809	-52.079712	3.325133	2.8699033	19.940393	-12.493629	-61.722164	6.4112473	6.177994	74.25289630889893
3	47.59644	59.22852	203.08968	5.958564	185.28468	1.3814094	187.55185	183.31041	35.070175	102.9	11999	195.12184	82.24468	432.33505	-868.9141	195.12029	82.25302	426.79626	-857.25977	5.7329006	3.1747174	38.708527	-10.943628	-215.60225	68.75525	68.50636	123.18406248092651
4	228.45905	30.538328	301.35333	189.46594	141.91675	4.1325808	147.95882	133.18414	111.69697	156.1	15999	270.87393	83.15169	358.23602	-293.56784	270.87698	83.13228	358.6493	-335.081	4.4428544	4.249731	55.863426	-10.92092	-284.11893	71.54071	72.47118	178.33020520210266
5	343.02322	270.40457	1112.3889	43.3553	238.79736	3.9600055	245.6052	232.7234	286.06668	121.9	19999	264.80005	83.025116	377.3364	-240.73195	264.8007	82.99401	384.08453	-174.26076	3.5029454	4.1493816	55.054874	-12.748945	-274.7618	55.805706	58.455437	232.4102487564087
6	344.55215	223.07802	835.3366	17.618708	347.3788	84.52803	530.5889	284.65094	244.75	245.2	23999	262.83026	80.28021	411.19354	-174.28796	262.83163	80.256714	411.2179	-190.03284	3.2884624	3.8612714	61.43909	-10.986135	-271.41547	45.492256	47.775024	289.95264887809753
7	197.96442	294.8039	988.2882	17.763447	985.7666	0.70065826	986.99384	984.45233	222.66667	1000.0	27999	258.12897	73.937454	371.69452	-151.65007	258.1317	73.90214	369.9703	-145.30898	2.6551828	3.6289601	61.733593	-10.7185	-265.06458	49.131935	49.57936	363.41988611221313
8	487.30432	182.17479	979.6734	269.81808	642.8395	344.80496	987.9418	287.41794	360.45456	581.8	31999	244.92558	59.36627	341.84113	-157.08867	244.92728	59.364655	341.0304	-125.66141	1.9107561	3.550858	57.0558	-11.269852	-250.28789	41.006107	38.91671	428.1956717967987
9	656.7673	364.55383	1669.4454	330.51895	1126.5886	347.7844	1817.4078	675.85284	336.16666	634.6	35999	228.45044	54.617485	336.14117	-131.92166	228.4524	54.63733	332.76477	-117.73543	1.7693056	3.2475803	54.367607	-13.089045	-232.75206	31.479134	28.964485	492.57682180404663
10	1114.7256	195.60408	1353.2415	818.5989	1146.3746	7.8107486	1163.719	1139.3535	865.25	1000.0	39999	218.5446	50.75309	300.42548	-123.71609	218.54655	50.769753	303.33514	-135.18954	1.9404635	3.0999098	49.53449	-11.971787	-222.53859	24.235256	23.268438	564.8912551403046
