Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-42.714264	4.1622024	-29.689522	-53.360233	-10.571379	3.072918	-6.9627223	-14.906802	50.0	50.0	3999	-2.9799523	1.1628379	-0.09095966	-8.830374	-2.9781084	1.1638768	1.735135	-9.244232	-0.3428886	0.8635568	16.805027	-11.86249	2.4489412	0.039222512	0.04520457	33.509549379348755
2	-43.030487	4.0302496	-35.612522	-55.397285	-12.080765	4.958918	-4.3580294	-20.540195	50.0	50.0	7999	-5.197714	1.7379178	1.011256	-12.484226	-5.1973004	1.7374103	1.0650101	-12.486024	-0.273455	0.8665927	2.7793503	-10.170536	4.6169815	0.09503825	0.09683405	78.52974033355713
3	-29.929333	13.339578	-11.13958	-48.240036	-7.9983377	2.547089	-4.9200807	-14.042445	50.0	50.0	11999	-5.9175377	1.9932282	2.4387212	-13.409954	-5.917444	1.9923489	2.556107	-13.401712	-0.20347005	0.9031565	3.0589538	-9.874718	5.328734	0.14129819	0.14418098	127.43750548362732
4	-15.512746	2.6662545	-10.208736	-22.718872	-6.984758	3.2017226	-2.399534	-11.517047	50.0	50.0	15999	-5.9929395	2.18128	3.210369	-13.733686	-5.9929276	2.1816149	2.9938524	-13.663224	-0.19284122	0.8972506	3.8231823	-10.945539	5.5684423	0.13916163	0.13996592	179.91647481918335
5	-16.837896	3.5492835	-10.03354	-25.115509	-8.947244	1.6909974	-6.363719	-11.858165	50.0	50.0	19999	-6.563387	2.1865778	1.3290081	-14.219375	-6.5631332	2.1884294	1.5561969	-14.234636	-0.20730932	0.8995133	3.72113	-9.95413	6.2707834	0.1739442	0.17182273	232.8511815071106
6	-18.029377	3.5355809	-9.142503	-26.6947	-8.853918	3.1540504	-4.236256	-16.314054	50.0	50.0	23999	-7.144507	2.310615	1.4758886	-16.356764	-7.1442027	2.312347	1.1468893	-15.554525	-0.19647802	0.90336543	4.0170736	-11.285195	6.9116716	0.21894772	0.2166658	286.3337254524231
7	-18.046194	3.5460143	-10.20916	-25.998453	-12.137117	3.1030092	-4.7423177	-16.342522	50.0	50.0	27999	-7.4610085	2.4696932	2.6146033	-17.13013	-7.4608583	2.4701588	3.0011637	-16.919798	-0.15230206	0.9182266	5.441585	-9.702435	7.263481	0.2510137	0.25319263	338.9524028301239
8	-17.482687	3.3046274	-8.502404	-29.159027	-8.685769	3.0834918	-2.9167027	-13.423121	50.0	50.0	31999	-7.6983438	2.5578492	1.682389	-17.772081	-7.698165	2.5575385	1.5011193	-18.129284	-0.12237505	0.91885	4.9478574	-11.929825	7.530688	0.2731342	0.27560195	391.6675159931183
9	-15.395635	3.5023081	-9.775909	-23.679558	-7.1615205	1.4665694	-4.701279	-9.679468	50.0	50.0	35999	-7.9317937	2.5465348	2.4703062	-18.08322	-7.931854	2.5455463	1.5607047	-17.62124	-0.101496145	0.92060775	5.8188176	-10.425573	7.7859135	0.29360077	0.29457796	444.1789309978485
10	-16.24449	3.4244995	-10.459976	-26.971294	-8.72157	2.3752067	-3.3061614	-10.625132	50.0	50.0	39999	-8.049961	2.4956229	2.8559773	-17.952993	-8.049962	2.4964514	2.9542964	-17.63775	-0.0963275	0.92435086	4.62483	-11.30065	7.931416	0.31278697	0.31237793	496.744966506958
11	-16.049955	2.90624	-9.525072	-23.181032	-9.912133	2.6225376	-5.3471837	-14.524281	50.0	50.0	43999	-8.235285	2.5160658	4.741801	-18.9006	-8.235305	2.5163953	5.1768355	-18.841608	-0.100958474	0.9223252	4.8957143	-11.2095175	8.139807	0.3314503	0.33066785	549.2448279857635
12	-16.639444	3.6646168	-7.786486	-25.74809	-7.1010423	1.2933093	-5.37095	-8.970153	50.0	50.0	47999	-8.351602	2.5972412	2.3621902	-19.74766	-8.351529	2.597907	1.7986528	-19.181932	-0.08228109	0.92263126	5.3541236	-11.457029	8.268084	0.3454798	0.3433018	602.0984435081482
13	-14.868586	2.9827905	-9.102718	-25.203878	-6.3542466	2.1262286	-3.5985174	-10.612304	50.0	50.0	51999	-8.38733	2.585379	3.9136744	-18.668491	-8.387531	2.584804	3.1489868	-18.708416	-0.06529949	0.9357186	5.798837	-10.569521	8.3175745	0.35968024	0.3605614	654.8388750553131
14	-15.140948	3.124817	-7.7983785	-22.469957	-5.8232985	2.2354288	-3.3961368	-10.943545	50.0	50.0	55999	-8.416029	2.6254551	4.8549414	-18.54673	-8.415962	2.625851	6.530411	-18.12193	-0.07022669	0.93520844	5.301322	-13.182732	8.360471	0.3564331	0.3559438	707.4611101150513
15	-15.878909	3.843536	-10.726287	-28.950432	-7.4342833	1.736748	-4.5306134	-10.399808	50.0	50.0	59999	-8.39842	2.6698973	3.678671	-18.887142	-8.398388	2.670011	8.248042	-18.77136	-0.06277356	0.9390174	5.6808453	-11.327633	8.346046	0.35496485	0.35605705	760.5213842391968
16	-16.331158	3.922888	-9.4140625	-28.54286	-6.4677124	1.688016	-4.3614197	-10.189243	50.0	50.0	63999	-8.406574	2.6315522	7.620181	-18.994314	-8.406639	2.6311765	6.538321	-20.09166	-0.0480271	0.9406706	4.7354217	-9.766997	8.36541	0.3682314	0.36828136	813.58420586586
17	-14.871712	3.2382953	-7.721635	-23.085548	-7.111638	2.4662132	-4.454788	-11.705038	50.0	50.0	67999	-8.529298	2.5921705	7.2723107	-19.469086	-8.529397	2.5919194	3.440359	-19.162382	-0.04264081	0.93359756	5.6810417	-11.876555	8.4985895	0.38775396	0.39167583	866.3879482746124
18	-14.633917	2.6678014	-8.272576	-21.22661	-7.2225113	3.3008199	-3.0463185	-13.369566	50.0	50.0	71999	-8.562107	2.5965998	3.5795026	-18.410763	-8.562181	2.5946167	5.4243407	-18.07578	-0.04331147	0.9375752	5.821753	-12.315972	8.53434	0.3920898	0.3954514	919.1645231246948
