Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-0.35202765	6.515618	6.1283417	-10.330184	23.134449	6.8678584	37.999672	17.85652	1000.0	1000.0	3999	5.28113	4.3943605	28.897638	-1.7987434	5.281213	4.3940787	28.778288	-1.8474233	0.23338927	1.528789	6.633559	-10.001155	-6.2180653	0.04202209	0.0420449	47.126466274261475
2	5.728775	8.195455	19.764494	-0.18383071	29.968714	9.449835	50.01367	23.949919	1000.0	1000.0	7999	24.194555	8.010482	64.45175	5.162346	24.194588	8.010729	64.23248	4.9925804	0.68779516	1.565676	6.9513187	-10.285178	-25.460293	0.08062833	0.07950439	108.6946473121643
3	18.356722	7.1218953	27.07858	9.438049	19.419582	1.2359391	21.010113	17.492365	1000.0	1000.0	11999	43.36901	13.659438	86.60684	9.686366	43.36899	13.659381	86.499344	9.734081	0.4173153	1.5870756	6.1512456	-11.924837	-44.479362	0.08465948	0.08361504	173.31820130348206
4	14.492662	11.757637	30.504704	3.0948772	6.4142838	1.3515062	9.4350195	4.1771784	1000.0	1000.0	15999	60.99729	15.653045	146.28258	15.380856	60.99723	15.653367	146.55219	15.419146	-0.020945303	1.4671613	6.0259924	-9.865649	-61.835213	0.075261354	0.075953156	239.7732880115509
5	9.432345	4.5305676	13.044415	1.7188011	15.498711	0.6369439	16.353878	14.563977	1000.0	1000.0	19999	68.96036	18.888077	138.9753	18.794186	68.960304	18.888151	139.29857	18.678356	-0.61757386	1.1163344	5.498519	-9.074807	-69.34117	0.054497864	0.05526532	306.82956409454346
6	17.676424	7.625841	26.046503	5.4025364	19.229874	0.73240376	20.094904	17.958405	1000.0	1000.0	23999	65.296196	15.149692	115.993126	25.14192	65.29627	15.149601	116.25233	24.73834	-0.85488135	0.96761215	6.40275	-8.743568	-65.580986	0.038600493	0.037761778	373.99029421806335
7	30.95929	3.627491	36.31498	27.127922	19.476917	0.75898445	20.702002	18.103968	1000.0	1000.0	27999	59.10303	11.907173	98.3295	27.717903	59.10305	11.907194	98.09158	27.747711	-0.8833906	0.93932414	4.786872	-8.247719	-59.398468	0.031771895	0.03143322	440.8079979419708
8	35.734238	3.2333148	39.41258	32.51558	39.891655	2.7289119	42.40451	34.71935	1000.0	1000.0	31999	53.963825	9.817911	87.50916	29.490223	53.963814	9.818013	87.63623	29.439222	-0.9319522	0.89678353	3.932239	-8.786176	-54.245335	0.026122756	0.026500007	507.1958303451538
9	38.45965	2.602768	40.708553	34.142956	39.038925	0.633524	40.68596	38.289406	1000.0	1000.0	35999	49.62986	8.785077	80.26816	34.822803	49.62983	8.78515	80.28353	35.214813	-0.9574582	0.8769977	3.87754	-7.992607	-49.910915	0.023058806	0.022958782	574.4489171504974
10	33.205944	4.5677104	38.338722	27.893465	40.16466	1.1453485	42.151543	38.12009	1000.0	1000.0	39999	46.067986	8.570922	74.988464	33.638756	46.068005	8.571029	75.04494	33.553238	-0.94499713	0.89645106	3.5831227	-9.605562	-46.359264	0.022104133	0.022153055	641.1504604816437
11	27.707346	6.7183266	34.01641	16.485191	40.91679	4.0505953	44.64439	32.363125	1000.0	1000.0	43999	43.27703	8.790791	72.16879	32.155205	43.277046	8.7907505	72.14409	31.849312	-0.9691834	0.871216	4.1479697	-8.561246	-43.56663	0.020976586	0.02086765	708.3241858482361
12	32.55548	2.3237205	35.18392	29.644566	33.35633	2.7800107	39.544693	30.42373	1000.0	1000.0	47999	41.25633	9.181284	72.55205	30.32779	41.25635	9.181311	72.410515	30.286716	-0.9805856	0.8621093	3.524063	-9.42124	-41.549202	0.02201832	0.021184772	775.5083377361298
13	31.543215	1.9996054	33.881622	28.974154	34.14451	5.4105496	41.83282	28.932673	1000.0	1000.0	51999	39.61808	9.211632	72.03306	28.07524	39.618076	9.211679	71.89143	28.0682	-1.0346931	0.7913558	4.4984164	-9.290725	-39.884	0.0203783	0.019609492	842.4518656730652
14	30.777336	2.130534	34.043102	28.742992	37.90409	2.1362073	41.930058	35.475136	1000.0	1000.0	55999	37.90095	8.870621	68.292404	26.770756	37.90098	8.870618	68.04843	26.812424	-1.0440772	0.781418	3.2571702	-10.654851	-38.166016	0.017504359	0.017201511	909.3755095005035
15	29.740227	0.6659787	30.472967	28.926859	27.441809	7.854128	40.059036	21.526018	1000.0	1000.0	59999	36.363907	8.691669	66.47285	24.91187	36.363876	8.691686	66.850204	25.043447	-1.0687517	0.7559831	2.6760254	-7.77953	-36.62496	0.015403245	0.015055116	975.8233826160431
16	31.585701	2.7781222	34.461456	28.340885	32.828358	5.2252717	41.463875	27.392473	1000.0	1000.0	63999	34.87987	8.429039	65.122925	24.289936	34.87986	8.429018	65.06424	24.160664	-1.0879146	0.7342789	2.8313794	-9.119389	-35.134064	0.014392569	0.014364484	1042.1496844291687
17	28.21548	0.81386834	28.772863	26.809496	25.390444	0.75113463	26.783707	24.171728	1000.0	1000.0	67999	33.722324	8.200662	63.261116	23.389662	33.72235	8.200685	63.21744	23.305843	-1.1041666	0.7169878	2.6532047	-9.858748	-33.97485	0.013564388	0.012860958	1109.036511182785
18	30.89536	0.83434945	32.15908	29.856527	30.390995	5.607424	42.618324	26.763384	1000.0	1000.0	71999	32.786575	7.965767	62.6313	22.86067	32.78657	7.965763	62.68977	22.703337	-1.1175647	0.695747	2.471549	-8.886447	-33.035423	0.012504075	0.011964003	1176.0358581542969
19	28.802334	2.091401	31.326056	25.513954	33.537624	5.297822	42.158527	29.28174	1000.0	1000.0	75999	31.953436	7.7564607	60.59119	22.181799	31.953436	7.7564945	60.5697	22.19255	-1.1235265	0.68615997	2.5562332	-8.91864	-32.206352	0.011773854	0.011780861	1242.9066708087921
20	30.514566	1.5133206	33.066093	29.28477	35.864216	4.1363587	42.33424	30.75075	1000.0	1000.0	79999	31.247417	7.640334	60.38721	21.666666	31.247444	7.640304	60.293034	21.408274	-1.1297435	0.68480575	2.8053558	-8.528761	-31.499102	0.01168062	0.011135433	1309.7418956756592
21	31.876844	1.5366178	34.494923	30.755697	37.096046	2.4593184	43.157906	34.779728	1000.0	1000.0	83999	30.61202	7.544908	59.18305	21.048084	30.61201	7.544939	59.286922	20.990038	-1.1384987	0.67176175	2.7856045	-7.6574645	-30.859852	0.011068242	0.010846493	1376.6078460216522
