Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	2.2299864	5.5801687	32.07943	-10.77098	168.30663	100.20792	381.70334	76.191605	20.22335	234.2	3999	9.279352	7.6625175	33.91429	-9.679085	9.279716	7.661575	35.610424	-9.602715	-0.19026278	2.9288294	20.914581	-16.791992	-11.451764	0.40991765	0.41760477	37.521859645843506
2	1.573873	4.962614	19.990189	-8.35986	1010.126	23.840696	1045.0161	945.6639	20.13568	980.8	7999	43.10913	17.246372	83.173965	-40.261063	43.10893	17.258224	87.412544	-30.042847	2.472256	4.042751	43.285076	-13.715332	-47.922855	3.7385762	3.6062212	98.6499252319336
3	6.0399923	12.552165	58.507572	-11.671358	-1.8057606	7.974821	11.567821	-13.646815	32.090164	78.9	11999	78.75651	21.098667	123.04001	-59.84292	78.75677	21.092981	120.36968	-59.0117	2.031453	4.424132	38.42781	-15.24656	-84.60466	10.206724	10.268425	147.25046348571777
4	53.191017	90.1209	306.5326	-42.518955	284.80255	32.533115	343.16815	241.90361	144.66667	211.2	15999	83.60305	22.515945	151.84697	-54.894245	83.60275	22.518366	149.52061	-61.758305	0.099724464	4.031978	38.456585	-13.380854	-87.6725	8.061187	8.138671	201.0173261165619
5	194.81247	120.11669	401.3182	-0.13733731	223.0649	147.18666	507.91858	-33.467438	200.5	274.0	19999	84.55392	25.874557	149.98393	-48.777084	84.55432	25.865448	149.08138	-50.27449	0.29590607	3.9874542	36.811157	-13.331689	-88.022896	8.644664	8.886439	256.09364771842957
6	199.79085	113.63716	423.01782	16.079716	136.29239	51.624557	196.07025	1.6707432	205.2	105.0	23999	87.33686	26.846546	149.14395	-53.35329	87.33692	26.832811	148.55779	-53.2815	0.3531812	3.9722264	34.64675	-14.565571	-90.26835	9.410033	9.663143	308.17595887184143
7	193.90533	95.237175	382.9094	37.275723	340.12408	167.38385	703.9347	123.570786	166.95833	358.1	27999	89.13652	27.497078	155.68553	-77.0865	89.13486	27.50279	157.74266	-62.2534	0.1668625	3.8428767	36.9793	-14.527494	-91.59996	10.154634	10.124116	364.61035108566284
8	263.98904	152.11424	506.01926	3.0014246	426.90024	207.06836	941.7823	236.02376	216.22223	320.8	31999	88.88316	27.030455	163.12253	-44.784622	88.88277	27.040014	162.6788	-54.898605	0.16749482	3.8686447	49.076225	-13.850166	-91.082535	9.712836	9.535199	420.6659767627716
9	227.71788	102.11173	398.03003	-18.252241	438.78717	56.07374	562.8464	360.70386	177.34782	236.3	35999	89.91465	26.463964	163.6993	-58.86998	89.91272	26.472485	163.51575	-51.837738	-0.021131419	3.827349	40.677647	-13.643061	-91.874954	9.108855	9.050021	475.42695355415344
10	245.10712	121.295425	530.0017	32.50857	393.57294	78.93442	488.97974	194.55756	155.8	252.9	39999	90.6866	26.394545	161.7172	-45.56428	90.68541	26.406384	164.59793	-67.37615	-0.059703413	3.8564	39.461857	-12.818635	-92.453224	8.813689	8.627859	530.5074985027313
