Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	998.6382	105.90414	-0.7828311	-311.44675	-205.89136	289.6105	-11.890582	-784.0334	250.33333	258.1	3999	-0.11435167	2.060695	18.481861	-11.90332	-0.11446819	2.0622792	18.94336	-11.894512	-0.9339121	0.3367174	30.74738645553589
2	998.6382	150.2168	11.102189	-355.6463	-48.02207	35.077415	-15.94786	-118.83567	446.8	44.8	7999	4.607872	4.1529264	38.529625	-12.932363	4.6081867	4.153421	39.485027	-13.380239	-6.869123	1.1542038	60.97262096405029
3	998.6382	264.00412	274.434	-865.11896	538.26666	253.77446	900.3229	1.4393492	341.84616	901.7	11999	11.01714	5.430297	48.34124	-12.578957	11.017955	5.436911	48.536232	-12.7337475	-13.597744	2.565637	115.93516230583191
4	202.92418	247.25697	535.95624	-13.7579975	371.34717	208.1899	690.0112	76.81135	622.8	764.8	15999	13.835353	6.3547583	47.997112	-17.566675	13.83535	6.3602405	48.121857	-16.349556	-15.78284	2.2113829	166.86592841148376
5	326.89966	200.79227	539.7161	24.168594	439.39322	283.37225	795.8523	8.164292	719.8333	681.3	19999	14.570689	6.296423	46.339016	-15.605641	14.571004	6.2985516	46.046455	-15.904991	-16.309052	1.9043928	220.60715079307556
6	254.39047	294.97925	712.8409	3.7196906	467.17206	342.00156	835.5929	13.089941	418.63635	633.2	23999	15.423778	6.4007344	45.240192	-24.060268	15.423575	6.403557	47.217464	-21.088686	-17.085423	1.8786051	277.5345768928528
7	264.41745	259.24408	714.6312	26.099718	474.1852	324.5795	807.1266	10.188428	386.75	641.4	27999	17.5867	6.7050476	44.20162	-26.59616	17.58664	6.7074504	44.96041	-22.855814	-19.14027	2.024015	335.7796185016632
8	616.4765	201.31198	780.8967	276.01614	586.8021	366.44904	911.4001	0.5244518	1000.0	718.0	31999	19.615973	6.7713895	46.531162	-22.011097	19.61598	6.7727337	45.869045	-21.334875	-21.16859	1.8895671	395.97726702690125
9	414.50388	335.54404	821.7772	6.9554667	497.2835	441.60208	961.15546	-1.7610143	594.1429	531.3	35999	21.42469	6.9028788	51.483368	-19.494688	21.424734	6.9036965	50.89762	-15.923403	-22.97573	1.8470645	451.4686381816864
10	655.83905	315.22803	840.43445	26.80073	535.3625	410.90735	910.78906	2.6001575	809.6	623.3	39999	23.612593	7.172826	54.555977	-16.959026	23.613007	7.1724668	54.695732	-16.959736	-25.13456	1.7902851	509.2699737548828
11	800.09424	102.72668	881.34467	623.8385	770.88153	239.73602	930.6721	58.135113	1000.0	905.3	43999	25.717947	7.576333	57.64715	-19.286903	25.718288	7.5753446	58.808884	-22.903578	-27.20387	1.7939923	576.0024409294128
12	353.21454	357.851	804.19604	-4.5986485	434.69345	420.63486	868.47473	-2.074374	473.55554	516.7	47999	27.600845	8.017674	59.085987	-15.765683	27.601015	8.017571	57.386936	-14.865605	-29.016111	1.9907136	630.8115439414978
13	699.3752	346.08746	906.7829	8.446577	663.45703	418.09094	948.00934	11.716906	802.2	709.8	51999	29.367807	8.5416565	60.16995	-20.373047	29.367905	8.543353	58.98373	-27.475098	-30.74048	1.9143555	690.8223369121552
14	592.32794	410.94623	923.05615	7.0171676	750.50256	355.97983	952.70514	31.629	680.1667	808.5	55999	31.26576	9.10321	60.79438	-18.911177	31.265785	9.102799	60.595543	-22.820377	-32.601517	1.9048128	753.8747100830078
15	710.4511	337.0348	896.5503	36.913807	884.22656	59.605114	939.25037	777.1197	808.0	1000.0	59999	33.031918	9.623979	62.224445	-14.15891	33.032017	9.624245	62.36417	-15.080878	-34.316353	1.8614497	822.2354683876038
16	710.1471	340.91104	890.8656	28.572792	575.68097	367.20422	864.2633	12.794769	809.6	707.5	63999	34.75752	10.113222	64.96497	-20.334057	34.757446	10.114213	64.865265	-18.536255	-36.110687	1.8725791	882.8016402721405
17	714.73505	325.30185	898.5057	64.53712	851.0477	149.86984	987.7912	433.93353	815.4	1000.0	67999	36.57905	10.4055	64.94553	-16.46061	36.578854	10.406382	66.03709	-15.315017	-37.846123	1.836904	951.3025448322296
18	914.4206	8.450365	924.2437	903.6762	812.84424	242.79211	954.7844	118.084236	1000.0	912.7	71999	38.196423	10.836788	69.92178	-13.586246	38.19642	10.837314	67.34457	-19.981482	-39.39121	1.7162024	1017.1985530853271
19	721.6875	360.42395	925.14355	1.2782056	730.6885	337.09528	924.9192	38.46835	803.0	810.6	75999	39.687397	11.575016	67.795074	-18.56975	39.687252	11.576116	67.73461	-17.141531	-40.81479	1.7165303	1079.8183872699738
20	890.8546	18.33763	913.2574	863.91864	888.5211	81.118744	997.0086	789.1472	1000.0	1000.0	79999	41.10691	12.183959	70.6568	-17.797241	41.10689	12.184169	69.89905	-15.633765	-42.228382	1.6512256	1148.2507677078247
21	742.8456	344.43964	935.14264	54.792824	749.0743	491.58847	969.4609	-719.0803	812.0	1000.0	83999	42.37396	12.757023	71.03096	-18.333721	42.37406	12.757131	71.97083	-22.012482	-43.42528	1.628148	1216.5180382728577
22	859.7316	79.30571	925.9734	731.66785	616.0195	360.7841	954.16766	11.506452	1000.0	806.7	87999	43.51164	13.153029	73.42201	-14.075501	43.51156	13.153664	73.126915	-23.56007	-44.5294	1.6852212	1279.722995042801
23	919.1742	37.24351	962.976	866.4106	904.4286	64.21422	980.9713	771.12115	1000.0	1000.0	91999	44.45945	13.584147	72.58901	-24.470135	44.45934	13.584737	72.38616	-25.758049	-45.55844	1.7262951	1348.4166543483734
24	862.67206	284.3745	1066.2435	372.0578	888.0373	63.36111	991.1481	794.057	1000.0	1000.0	95999	45.65806	13.832687	75.26789	-28.467525	45.65797	13.833198	75.44775	-17.276909	-46.724037	1.6742483	1416.4354774951935
25	848.78375	217.7333	1081.1565	498.1639	1018.2576	54.66181	1117.2972	953.7939	868.75	1000.0	99999	46.36799	13.976183	79.927765	-18.720314	46.3679	13.976761	79.02307	-16.169918	-47.470978	1.7324681	1484.2933564186096
26	872.307	418.88223	1207.2684	62.098892	1119.168	320.06387	1318.9371	296.47897	807.8	883.0	103999	47.542355	14.352583	78.883835	-27.936783	47.54267	14.352041	79.27415	-23.940912	-48.469738	1.6870949	1548.4861333370209
27	1168.9895	10.926331	1187.4175	1158.7893	678.2083	412.58646	1303.2686	10.101738	1000.0	758.6	107999	49.13822	14.67441	81.54374	-19.576143	49.138077	14.675162	81.814606	-13.512098	-50.083405	1.8484634	1609.7356932163239
28	772.0972	399.9809	1250.5696	148.42033	655.8956	475.86826	1372.6857	104.03889	843.0	548.1	111999	50.528885	15.344209	83.1049	-18.090649	50.52898	15.343909	84.19992	-23.617485	-51.486	1.930993	1664.4766256809235
29	346.67358	487.8965	1412.2659	-210.09341	967.8704	341.18066	1411.0743	317.99185	401.54544	892.4	115999	51.273804	16.544523	85.969345	-26.690649	51.274055	16.545748	82.73067	-17.880129	-52.232944	2.271941	1729.285552740097
30	901.11475	407.41983	1266.1698	389.2686	1237.2389	289.4421	1508.2723	632.23804	721.2	987.2	119999	52.16882	17.78016	87.29197	-17.273806	52.168686	17.78122	89.05925	-30.11597	-53.17075	2.7030885	1796.2527663707733
31	1201.7681	234.32373	1541.0577	970.65735	1326.1725	124.90779	1469.4491	1023.49664	1000.0	1000.0	123999	53.102364	18.910463	89.82536	-22.408802	53.10233	18.912163	90.0392	-24.600183	-54.138145	2.615351	1862.4617631435394
32	1085.8389	304.20148	1432.8892	760.38245	698.85583	299.73825	1158.6909	200.70001	1000.0	771.6	127999	54.234955	19.82354	87.978195	-22.42159	54.23469	19.823954	87.91771	-29.11618	-55.37008	2.776621	1923.7589066028595
33	927.00745	365.77835	1339.2207	360.79257	1219.988	377.88843	1507.484	329.9351	828.8	862.5	131999	54.77925	20.757898	93.79037	-24.28744	54.77912	20.758747	92.12474	-28.624079	-56.328735	3.2881904	1987.0589303970337
34	938.2486	438.38037	1518.7708	284.44113	1176.5376	376.60703	1763.9424	624.2531	1000.0	881.0	135999	55.070015	21.827536	93.346275	-25.99549	55.06968	21.828133	93.100716	-31.322653	-57.086952	4.2011733	2051.3593287467957
35	547.4746	168.99518	868.8597	400.42337	1281.1278	451.98096	1607.9556	284.40115	721.2	869.8	139999	56.90995	23.741346	96.45978	-22.453333	56.909725	23.741566	94.64522	-21.336798	-58.41986	3.9806197	2115.033968448639
36	1137.45	255.43443	1400.2133	736.4636	1268.1261	414.44986	1782.086	623.7545	922.5	847.4	143999	57.54171	25.315834	96.6246	-24.602976	57.541645	25.316776	97.96713	-25.202477	-59.301006	4.569537	2177.7817561626434
37	987.9896	586.1226	1661.4917	141.0226	860.45374	441.8591	1717.889	360.15656	816.6	925.8	147999	58.31926	26.425205	100.004776	-24.320152	58.31915	26.4261	100.85994	-36.86383	-60.41881	5.1790147	2243.692415714264
38	1073.1212	633.6545	1701.645	113.33468	1170.6227	518.84454	1696.418	253.12178	860.8	813.2	151999	59.56898	27.198822	101.16108	-27.107363	59.568695	27.200367	102.39015	-35.678898	-62.018032	5.5270357	2305.8023641109467
39	1176.4934	692.11395	1788.3453	73.79376	1634.1306	158.41818	1806.0564	1326.6981	717.2	980.3	155999	61.49335	27.971912	102.12392	-22.846611	61.49272	27.973831	103.249115	-29.36478	-64.10453	5.713621	2372.0068430900574
40	1163.45	704.2383	1804.7349	98.41052	1388.4027	531.00323	1930.4509	550.8592	817.0	804.5	159999	64.06587	28.896898	104.545494	-21.056644	64.06593	28.898518	105.54379	-30.168957	-66.05151	5.5721207	2433.4516744613647
41	1244.2236	702.81586	1853.5093	250.37305	1006.562	597.49286	1882.5942	32.60248	861.8	727.4	163999	65.31776	29.682	109.144615	-20.115196	65.31701	29.683634	107.61023	-34.821728	-67.553406	5.9476533	2493.602114915848
42	971.9951	728.8123	1965.7139	181.16756	944.34827	843.998	2100.681	11.618953	628.8571	703.4	167999	67.141594	30.559563	113.52243	-35.887142	67.14123	30.560837	111.94636	-45.984604	-69.12054	6.142156	2553.109679698944
43	1271.1553	440.79196	1887.0586	646.20435	1200.4258	758.45514	2134.8948	59.5619	822.6	665.7	171999	69.07915	31.659868	115.11544	-35.32405	69.07881	31.662106	114.9042	-35.926094	-70.850136	6.3090754	2611.7218861579895
44	686.0065	713.6169	1931.69	12.166468	1052.128	774.87573	2283.195	110.31837	492.0	553.6	175999	70.3923	32.92856	116.97357	-32.548363	70.391754	32.929993	117.84919	-39.255585	-72.267845	7.0881233	2666.8342258930206
45	1263.5258	700.71686	2002.038	250.45355	950.18445	895.2397	2070.5918	-833.2914	825.2	886.8	179999	71.9971	33.834766	121.11924	-27.997564	71.99692	33.83611	120.01804	-30.195297	-73.93149	7.765593	2731.122986316681
46	971.24915	516.43774	1805.573	408.66254	1275.4156	803.9247	2090.6558	-614.37787	758.2	905.5	183999	72.97276	34.80827	122.82613	-34.32228	72.972374	34.81021	122.48416	-29.151178	-74.93573	7.558237	2795.3922214508057
47	1069.8721	664.14355	1898.053	268.5854	1329.708	866.0678	2203.5159	-4.2432795	579.2857	902.2	187999	74.48918	35.273823	123.78186	-37.774483	74.488525	35.275375	124.38595	-33.004696	-76.491585	8.648699	2859.9652099609375
48	1200.5559	663.2952	2086.4326	375.45712	1200.2356	677.22186	2039.5413	64.145935	589.2857	923.2	191999	76.58158	35.824398	126.50384	-34.287663	76.5812	35.824753	129.64244	-35.238457	-78.661026	9.196681	2925.2732560634613
49	768.92737	768.8489	2037.5963	16.529718	1501.2144	672.0845	2230.1829	182.89221	388.125	762.9	195999	78.07444	36.781902	128.65765	-39.7288	78.07413	36.78423	132.00905	-42.04015	-80.34048	9.862444	2985.6899876594543
50	872.8677	554.60925	1991.0989	253.79665	943.7217	824.37354	2021.6276	-164.02129	771.3333	775.9	199999	78.82628	37.687458	131.70137	-39.816017	78.8263	37.689186	133.73598	-51.54638	-81.02595	10.366031	3047.0492844581604
51	1743.0914	343.82452	2001.3726	1152.09	1809.4274	583.0037	2328.025	533.1898	1000.0	944.2	203999	79.63438	38.768436	132.67914	-56.20715	79.63345	38.770115	133.79066	-43.44194	-82.17174	11.390724	3112.4523527622223
52	1262.7892	806.3741	2035.1547	32.88275	1950.0992	421.90567	2242.5593	872.2967	738.2	1000.0	207999	80.823044	39.523888	136.85222	-36.046654	80.82273	39.526283	136.001	-47.452248	-83.63213	11.517002	3179.601649284363
53	1061.3667	627.5948	1716.3767	60.269672	1590.9008	811.28827	2350.5479	236.74954	764.8	905.2	211999	81.449356	40.7156	138.16728	-69.61358	81.4489	40.717487	138.77362	-50.658985	-84.50725	12.862672	3245.0675704479218
54	1187.6628	867.34	2232.3564	123.74438	1421.0295	896.4881	2493.5613	303.49902	1000.0	619.6	215999	82.8882	42.144123	143.94444	-30.503374	82.88737	42.14723	144.59271	-62.370823	-85.81742	13.723189	3301.947743654251
55	1436.7885	814.63806	2300.4033	283.81058	2187.1528	27.838545	2232.5483	2128.8235	756.6667	1000.0	219999	83.87524	43.691593	145.87302	-45.88516	83.875336	43.692467	144.73177	-45.49819	-86.93966	14.254729	3368.240779876709
56	1843.6941	603.6957	2349.4011	852.5609	1598.9751	839.4509	2638.0671	188.31586	845.75	737.5	223999	85.492	44.499836	146.81561	-43.85891	85.49188	44.501606	145.65929	-43.46603	-88.748985	14.225202	3428.5769758224487
57	1847.3281	417.24698	2308.6455	1190.3297	1931.6129	709.28973	2420.7412	463.27246	849.4	847.4	227999	87.06668	45.508682	152.90181	-37.695942	87.0667	45.50946	149.07068	-55.097492	-90.00868	14.341025	3491.187810897827
58	1346.9834	753.77124	2407.1113	386.2259	2543.9702	61.691055	2676.5024	2444.2295	612.3333	1000.0	231999	89.42281	46.222385	152.66858	-39.99434	89.42217	46.226322	152.61162	-38.68261	-91.98547	15.108539	3558.0743913650513
59	1869.235	511.52573	2520.9446	1163.7106	2069.5269	678.2296	2499.1394	712.31726	951.4	931.9	235999	90.78828	47.386044	155.01802	-51.112633	90.78893	47.38609	154.46889	-51.152927	-93.44582	15.463189	3623.527720928192
60	1834.3799	789.15393	2379.4067	274.14615	2427.0017	232.67496	2622.2505	1761.3201	801.8	1000.0	239999	93.24934	48.26317	159.59734	-42.24158	93.24854	48.267033	159.50237	-64.72292	-95.76781	16.110489	3690.1395020484924
61	1290.5419	884.3698	2467.8977	92.900116	1980.1918	815.49316	2795.77	624.7709	670.1667	1000.0	243999	94.59284	49.253117	161.1535	-44.893867	94.59188	49.25882	162.9346	-50.620667	-97.12034	16.657825	3757.923246383667
62	2150.436	645.9327	2624.4639	1038.4166	2410.0337	656.9321	2879.7131	895.0147	1000.0	1000.0	247999	95.50428	50.671097	164.19594	-59.96061	95.50304	50.674374	164.17099	-55.872612	-98.433784	17.33539	3825.105330467224
63	2707.931	110.333694	2895.5132	2611.2395	3023.83	83.90086	3162.4912	2847.2012	1000.0	1000.0	251999	98.12431	51.733513	168.81204	-49.842407	98.12351	51.737602	169.00111	-59.12487	-100.85317	18.06206	3891.3542308807373
64	2006.8469	720.6271	2819.161	1042.8634	1411.948	927.204	3039.4192	412.18658	881.25	572.8	255999	100.1852	53.47131	176.86737	-44.868538	100.18374	53.47605	172.85098	-44.409954	-103.29598	18.545551	3947.386414527893
