Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-280.32037	58.92679	-196.28284	-356.00073	-356.49945	19.77231	-317.6873	-395.31036	1000.0	1000.0	3999	0.09481507	1.3851041	8.310164	-5.435508	0.09442724	1.3864709	7.979477	-5.312476	-0.83734405	0.28753078	37.591891050338745
2	-336.2977	72.07242	-236.89087	-440.58548	-187.95801	122.97845	-1.4273236	-380.75656	1000.0	1000.0	7999	3.7843187	4.135967	23.47916	-6.369665	3.7848203	4.138349	23.851377	-6.391447	-5.500669	0.80207163	82.91374349594116
3	-337.11008	113.92707	-242.33194	-527.9334	-372.88373	157.7275	-151.4475	-760.0234	1000.0	1000.0	11999	14.4718275	7.8108015	43.65935	-7.8095813	14.47316	7.813262	41.416893	-7.07694	-17.206993	2.3814776	132.09486031532288
4	-370.2451	56.508064	-288.94406	-441.78207	-278.54895	167.49556	67.83268	-417.58646	1000.0	1000.0	15999	18.62778	11.368519	48.421124	-12.373237	18.62877	11.369748	45.267643	-13.13147	-19.945831	2.5030541	184.23724055290222
5	195.19409	229.28365	533.06946	-85.38772	405.35303	108.256645	548.4867	190.01527	1000.0	1000.0	19999	16.826708	12.75153	49.62642	-15.396238	16.827572	12.751218	49.819065	-14.018703	-17.694042	2.0900342	236.6015763282776
6	1113.6807	382.52078	1542.8364	516.50525	1724.5752	455.6945	2067.7517	433.89615	1000.0	1000.0	23999	18.838293	14.719122	64.85321	-16.618717	18.838928	14.719078	62.930664	-17.45467	-20.015242	2.5161245	289.02624320983887
7	1832.1442	113.821045	1995.9354	1692.2112	2061.0876	415.56537	2427.189	1102.7207	1000.0	1000.0	27999	26.24925	19.308517	80.074684	-18.032904	26.24933	19.308884	81.897896	-18.919214	-27.657684	3.4551954	341.1456563472748
8	2302.6763	205.15733	2579.6763	2019.8534	2721.7659	288.6722	2918.9763	1882.7793	1000.0	1000.0	31999	36.780315	24.665167	100.17622	-19.14049	36.77975	24.666248	100.49915	-21.468761	-38.363235	4.713772	393.34344148635864
9	2814.639	263.94522	3150.807	2410.7341	2618.3374	563.01074	3234.9536	1322.9136	1000.0	1000.0	35999	49.717846	30.964548	130.53508	-17.513388	49.717316	30.965313	130.96613	-20.46239	-51.458954	6.40785	445.7461037635803
10	1570.1532	1380.7429	3076.5027	168.17702	2399.5603	1089.6038	3320.0305	-557.3021	1000.0	1000.0	39999	63.125774	37.59034	150.37718	-20.009785	63.12555	37.590748	152.38373	-20.756569	-65.02599	8.832356	498.12702679634094
11	2750.2693	593.55786	3161.1135	1728.6738	3295.198	165.0703	3521.401	3051.7095	1000.0	1000.0	43999	73.0843	45.129463	180.3542	-26.085598	73.08351	45.13002	180.54803	-21.870533	-75.14377	11.181805	550.3771977424622
12	3032.0122	1072.5137	3686.4185	1174.7758	2856.8062	787.52026	3506.7427	635.26196	1000.0	1000.0	47999	86.16848	52.7051	196.72713	-22.219767	86.16723	52.706615	198.26448	-22.295238	-88.027954	13.19745	602.5901045799255
