Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet1	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-42.42028	3.9433954	-32.371067	-50.639107	-8.886357	3.1874096	-5.4444656	-14.824729	50.0	50.0	3999	-1.8734088	0.73581594	0.07462011	-5.611405	-1.872589	0.73494107	1.4203784	-5.56374	1.1740279	0.08607155	20.39229702949524
2	-42.47729	3.7249255	-31.053694	-51.295918	-7.840065	4.4356346	-2.3065958	-16.9355	50.0	50.0	7999	-3.1835375	1.1780463	0.2154648	-8.890519	-3.1834266	1.1773282	0.20416467	-8.824264	2.4531958	0.12853752	48.330963373184204
3	-26.443867	16.072264	-4.8031616	-48.911522	-11.130562	2.3065548	-6.832531	-13.952418	50.0	50.0	11999	-4.175931	1.4799502	1.3100309	-10.522557	-4.1759357	1.4799867	1.1378603	-10.35547	3.408922	0.24574353	78.8146665096283
4	-9.777429	2.809911	-3.3523955	-16.434547	-8.213377	3.0926323	-3.2241018	-14.368014	50.0	50.0	15999	-4.576545	1.6051965	1.1206951	-10.882317	-4.5765224	1.6057159	1.4391297	-10.621766	3.94026	0.33361188	112.64720129966736
5	-10.23297	3.1748862	-3.4257925	-19.663404	-8.4336605	2.4152732	-4.49964	-11.481535	50.0	50.0	19999	-4.848784	1.8044009	1.0070939	-11.555889	-4.8487353	1.8052098	1.3549618	-11.941877	4.2896404	0.43987128	147.8152539730072
6	-11.060223	3.9860399	-4.270825	-21.224117	-9.469558	3.5286734	-5.6652737	-17.836058	50.0	50.0	23999	-4.9134483	1.7298465	1.2436687	-12.37529	-4.9134445	1.7301117	1.5075735	-12.704124	4.4039845	0.48391697	182.1871361732483
7	-10.293137	3.8998935	-3.4411826	-23.548285	-10.061999	3.9494398	-4.054432	-16.88408	50.0	50.0	27999	-5.365681	1.7380548	2.3409734	-13.465811	-5.365624	1.7382169	2.0162654	-12.859715	4.913348	0.60555893	217.82852363586426
8	-11.610395	4.7002683	-3.0379882	-21.652636	-11.657431	4.389459	-5.4057426	-19.367994	50.0	50.0	31999	-5.7117457	1.845018	2.9872432	-13.184772	-5.71165	1.8451077	2.3715868	-12.979777	5.278162	0.7125305	254.89102697372437
9	-11.790431	5.016076	-2.1690454	-33.111347	-10.953844	5.4392896	-5.5816145	-22.21023	50.0	50.0	35999	-5.9349475	1.852324	2.258438	-13.147725	-5.9349127	1.8523737	2.0480874	-13.146372	5.5178185	0.8036172	292.27733182907104
10	-12.139643	6.784558	-2.6312673	-29.3766	-13.273148	5.710149	-3.7050033	-20.745317	50.0	50.0	39999	-6.1589894	1.8960555	3.5879357	-13.753492	-6.158918	1.8957118	1.640351	-13.560614	5.7491946	0.9118756	329.735627412796
11	-10.750369	4.5762267	-3.8373637	-26.631063	-10.087584	3.2094853	-2.769851	-12.85278	50.0	50.0	43999	-6.305078	2.0051115	2.7321396	-15.135618	-6.305057	2.0052676	2.2772846	-15.021016	5.888188	0.99856985	367.1110417842865
12	-10.243349	4.4490814	-3.6045713	-22.97576	-8.515305	2.8029065	-3.6416092	-13.200358	50.0	50.0	47999	-6.455327	2.054347	2.8344152	-16.376577	-6.4553685	2.0538955	2.8582556	-15.507075	6.047018	1.0335234	404.5926184654236
13	-10.156821	4.5836854	-4.227057	-22.56278	-4.725577	1.6177024	-2.4697788	-7.6359725	50.0	50.0	51999	-6.6487656	2.0889986	2.2212596	-17.367138	-6.6488276	2.089231	3.9415848	-17.270962	6.2673173	1.0920464	442.32321286201477
14	-9.743507	4.885604	-2.836103	-35.479683	-7.295915	3.2649698	-2.3861485	-14.731138	50.0	50.0	55999	-6.854453	2.18964	3.026771	-17.872534	-6.8545227	2.1911476	5.2712746	-16.99862	6.4894004	1.1510366	480.3031668663025
15	-9.497432	5.071685	-2.8688548	-31.208574	-6.5790863	1.521052	-4.4545746	-8.580504	50.0	50.0	59999	-6.95881	2.2588549	5.2058144	-17.626987	-6.9587355	2.2612357	2.9119015	-17.172504	6.5891027	1.2198212	518.0791671276093
16	-8.212076	3.9417696	-2.9840608	-30.130098	-6.9236245	2.2864645	-3.0316753	-10.828015	50.0	50.0	63999	-6.9748473	2.262897	3.7419574	-17.514095	-6.9748883	2.2649312	3.235073	-17.339993	6.61613	1.2679229	555.8315348625183
17	-8.049352	2.8555355	-3.06415	-16.073105	-6.5711718	2.2319872	-3.8963127	-10.98765	50.0	50.0	67999	-7.021478	2.2454095	3.734642	-17.767082	-7.0215445	2.2464912	4.134207	-18.816849	6.6674695	1.2791827	593.555783033371
18	-9.481358	4.0376287	-4.236179	-25.939371	-9.411196	4.6396227	-4.4158854	-18.139317	50.0	50.0	71999	-7.100155	2.2086835	4.5626345	-17.766794	-7.0998783	2.2093616	3.5771217	-17.761787	6.7464895	1.3643672	631.2630133628845
19	-9.930525	4.7037764	-3.0268111	-27.96801	-7.013253	2.540731	-3.9730349	-12.795053	50.0	50.0	75999	-7.204672	2.1922975	2.4084878	-17.50381	-7.204785	2.1941025	2.9506955	-17.205992	6.8691483	1.4151627	669.2865407466888
20	-8.758594	4.097807	-2.2749374	-27.929615	-4.925736	1.8910338	-2.3796227	-9.229424	50.0	50.0	79999	-7.353043	2.2800195	4.212966	-17.925318	-7.3528996	2.282956	3.8869822	-18.083147	7.0086904	1.5046085	706.9388513565063
21	-9.202749	3.296818	-4.661931	-24.53466	-7.74654	2.8895066	-3.4201436	-12.296425	50.0	50.0	83999	-7.4287496	2.3480911	9.626928	-19.287447	-7.4289083	2.3504133	4.1005654	-18.70663	7.088238	1.5391481	744.6887447834015
22	-9.7049	2.9043412	-3.9155726	-17.45699	-6.614956	1.9472497	-3.7799225	-10.189766	50.0	50.0	87999	-7.4704094	2.3717518	3.58281	-19.732653	-7.470285	2.3733988	3.623575	-18.768036	7.1239285	1.5814803	782.5930247306824
23	-10.36429	4.790497	-2.7868397	-24.416428	-9.068331	4.9128623	-2.9307992	-16.15053	50.0	50.0	91999	-7.549229	2.3307948	6.7166457	-19.658796	-7.549379	2.3315077	2.7099237	-18.369001	7.2053304	1.6135503	820.5451195240021
24	-9.532783	4.1975603	-3.163948	-24.791384	-7.861947	3.0685177	-4.023523	-12.400472	50.0	50.0	95999	-7.630266	2.3038962	5.7438107	-19.793722	-7.6302986	2.3046021	2.470348	-19.509914	7.3028417	1.6364553	858.5381624698639
25	-8.804728	3.0616648	-3.8890343	-17.936476	-7.3081994	3.3473148	-2.752353	-15.978953	50.0	50.0	99999	-7.730255	2.3516273	6.530319	-21.43385	-7.7302876	2.3535244	2.5366912	-20.898409	7.421019	1.6455522	896.4761881828308
26	-8.731266	2.9898894	-2.632247	-19.684147	-7.2455482	4.3509417	-3.966869	-19.159	50.0	50.0	103999	-7.7382674	2.3774683	4.8953953	-22.7	-7.7384543	2.3789182	8.434799	-21.098799	7.4241014	1.6221476	934.3971774578094
27	-7.8400927	3.0395038	-2.8532548	-20.357765	-6.385541	2.7646222	-4.1394715	-12.047288	50.0	50.0	107999	-7.745432	2.378899	5.1287584	-19.652868	-7.745595	2.3805017	5.8658185	-19.60697	7.434606	1.6666416	972.1898028850555
28	-8.768305	3.5936015	-4.6011033	-23.473553	-6.4621162	2.8687642	-1.8974398	-13.124332	50.0	50.0	111999	-7.752529	2.374569	8.752693	-20.793743	-7.7524796	2.3761857	3.9629593	-21.785084	7.451538	1.6458732	1010.2849259376526
29	-11.061155	5.315231	-3.0123963	-30.343328	-9.290007	4.711757	-3.8065083	-18.311256	50.0	50.0	115999	-7.7434306	2.3359485	6.701912	-18.788637	-7.7433133	2.337857	4.980739	-18.818558	7.453482	1.6723852	1048.1946291923523
30	-9.069845	4.446999	-2.459037	-25.327467	-7.4925585	1.8253033	-4.8973894	-11.709878	50.0	50.0	119999	-7.7808714	2.3251357	9.519193	-18.954681	-7.7811713	2.32689	6.985213	-18.350399	7.4964924	1.676888	1085.9354977607727
31	-8.921195	3.366139	-4.3927937	-19.55946	-8.318274	4.567625	-2.8320804	-17.498508	50.0	50.0	123999	-7.822976	2.3471267	7.1163254	-20.094566	-7.823102	2.348482	5.424554	-18.460255	7.545044	1.6707758	1124.053624868393
32	-9.185975	3.8052478	-2.4768126	-23.261122	-9.159909	3.01689	-5.676158	-14.453918	50.0	50.0	127999	-7.8706927	2.335208	5.6906815	-19.587526	-7.8707075	2.3368487	6.925321	-19.915495	7.588668	1.7090217	1161.9694426059723
33	-8.837961	3.4148433	-3.7610593	-22.138374	-9.541294	5.358955	-4.346114	-20.184101	50.0	50.0	131999	-7.887282	2.3248825	12.633127	-19.818825	-7.8874345	2.3255904	3.5113945	-20.477304	7.6050944	1.7381163	1199.942066192627
34	-7.670434	3.0194905	-3.3491004	-19.127804	-5.2623253	2.0129068	-2.2508335	-8.692951	50.0	50.0	135999	-7.934959	2.3440936	10.757033	-20.435228	-7.93502	2.3441377	4.051777	-20.187252	7.658614	1.7639871	1237.8946130275726
35	-7.674777	2.7796247	-2.9288254	-26.310667	-5.1921577	1.8045634	-2.5136607	-8.062864	50.0	50.0	139999	-7.955706	2.3720837	7.6147614	-20.788107	-7.9556837	2.3729799	3.778144	-20.288172	7.682199	1.7814634	1275.9415807724
36	-7.760877	2.3099592	-3.2706633	-14.504924	-8.478228	3.170627	-4.001608	-16.291729	50.0	50.0	143999	-7.957691	2.3887382	4.0485244	-20.08699	-7.957619	2.3906963	4.802843	-21.132866	7.6889896	1.7575154	1313.5771644115448
37	-8.009865	2.5322955	-3.274179	-18.012426	-5.8726873	2.1283476	-2.466858	-9.240917	50.0	50.0	147999	-7.973031	2.3531885	6.5272093	-20.991108	-7.9730406	2.354463	2.689429	-20.429295	7.702743	1.8205198	1351.8279068470001
