Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	2.8011694	4.3413444	9.935609	-1.6224577	41.204918	9.348984	48.361313	22.290846	1000.0	1000.0	3999	2.0942717	2.143522	15.674284	-2.2272398	2.0944395	2.1436212	15.840591	-2.1865313	-2.96932	0.07055755	36.10182166099548
2	2.7510972	3.5230837	5.531864	-3.185348	20.64054	4.82891	28.47196	15.926634	1000.0	1000.0	7999	12.031	5.161214	35.37578	0.59245783	12.031033	5.160949	34.656124	0.5812054	-13.7935095	0.2395088	80.5273687839508
3	5.0890274	11.125193	15.510234	-11.6375475	19.388773	8.445126	34.31654	12.330028	1000.0	1000.0	11999	27.355946	5.6517143	51.882385	10.380778	27.355885	5.652204	52.242672	10.278116	-29.198885	0.43965012	127.06803178787231
4	28.20338	2.19681	30.519344	25.684393	30.42455	6.1339765	33.56778	12.1457615	1000.0	1000.0	15999	37.472836	5.612617	60.463318	17.092764	37.472816	5.613093	60.700325	16.733181	-38.539368	0.3294806	179.13615012168884
5	17.144642	4.260772	22.38568	11.501355	24.035862	0.7834314	25.674883	22.897932	1000.0	1000.0	19999	40.63828	8.164343	61.526134	16.27062	40.63829	8.164256	61.153744	16.289448	-41.28289	0.19810873	231.6071741580963
6	31.784496	1.5437287	34.40321	30.402946	38.123524	1.0616472	40.23906	36.546368	1000.0	1000.0	23999	41.587402	8.388382	61.58454	18.801886	41.587387	8.38839	61.564854	18.528759	-42.03614	0.123131394	284.3286759853363
7	34.652897	7.3808875	41.781425	22.670382	31.225063	0.5845501	32.047867	30.0149	1000.0	1000.0	27999	39.486156	7.4361315	59.623142	24.324974	39.486183	7.4360313	59.26051	24.40208	-39.784184	0.08008344	337.16864919662476
8	29.731583	1.0145581	31.100836	28.236933	29.822428	0.60695004	30.83374	28.44405	1000.0	1000.0	31999	36.967175	7.1881685	57.78136	22.50384	36.967186	7.188089	57.955402	22.631062	-37.253365	0.060844332	390.1444375514984
9	34.25036	2.2417135	37.092743	30.822289	31.943735	1.0909086	34.397625	30.855127	1000.0	1000.0	35999	34.72661	7.0484076	56.16069	21.188046	34.726635	7.0483027	56.107162	21.373945	-34.987026	0.05885491	443.54003739356995
10	33.89899	0.8773873	35.221004	33.02531	33.267166	2.3915558	36.076332	28.702885	1000.0	1000.0	39999	32.819088	7.1322155	57.240532	20.360743	32.819088	7.132217	57.06337	20.328234	-33.076458	0.066008285	496.62838912010193
